node_id,label,node_type,label_normalised,married_or_maiden_name,alt_names,seed_degree,source
PERSON_ZAHAF_SLAHEDINE,SLAHEDDINE ZAHAF,PERSON,SLAHEDINE ZAHAF,,,64,seed
PERSON_MABROUK_MOHAMED_MARWEN,MOHAMED MARWEN MABROUK,PERSON,MOHAMED MARWEN MABROUK,,,63,seed
CO_UNION_BANCAIRE_POUR_COMMERCE_L_INDUSTRIE_UBCI,UNION BANCAIRE POUR LE COMMERCE ET L'INDUSTRIE UBCI,COMPANY,UNION BANCAIRE POUR COMMERCE L'INDUSTRIE UBCI,,,59,seed
PERSON_TRIKI_MOHAMED,MOHAMED TRIKI,PERSON,MOHAMED TRIKI,,,58,seed
BLOC_COALITION_NATIONALE,COALITION NATIONALE,PARLIAMENTARY BLOC,COALITION NATIONALE,,,57,seed
BLOC_BLOC_ENNAHDHA,BLOC ENNAHDHA,PARLIAMENTARY BLOC,BLOC ENNAHDHA,,,56,seed
PERSON_TRIKI_NABIL,NABIL TRIKI,PERSON,NABIL TRIKI,,,56,seed
PERSON_JAIDANE_RIADH,RIADH JAIDANE,PERSON,RIADH JAIDANE,,,55,seed
CO_TUNISIENNE_BANQUE,SOCIETE TUNISIENNE DE BANQUE,COMPANY,TUNISIENNE BANQUE,,,54,seed
PERSON_ELOUMI_HICHEM,HICHEM ELLOUMI,PERSON,HICHEM ELOUMI,,,54,seed
CO_DIVA_SICAR,DIVA SICAR,COMPANY,DIVA SICAR,,,52,seed
GOV_ESSID_GOVERNMENT,ESSID GOVERNMENT,GOVERNMENT,ESSID GOVERNMENT,,,51,seed
ORG_CHAMBRE_TUNISO_FRANCAISE_COMMERCE_D_INDUSTRIE,CHAMBRE TUNISO-FRANCAISE DE COMMERCE ET D'INDUSTRIE,ORGANIZATION,CHAMBRE TUNISO FRANCAISE COMMERCE D'INDUSTRIE,,,51,seed
PERSON_FRIKHA_MOHAMED,MOHAMED FRIKHA,PERSON,MOHAMED FRIKHA,,,51,seed
PERSON_MZABI_MZOUGHI,MZOUGHI MZABI,PERSON,MZOUGHI MZABI,,,51,seed
PERSON_DRIS_HICHEM,HICHEM DRISS,PERSON,HICHEM DRIS,,,50,seed
BLOC_BLOC_DEMOCRATE,BLOC DEMOCRATE,PARLIAMENTARY BLOC,BLOC DEMOCRATE,,,49,seed
PERSON_RIAHI_MOHAMED,MOHAMED RIAHI,PERSON,MOHAMED RIAHI,,,49,seed
PERSON_SLAMA_CHIHEBEDINE,CHIHEBEDDINE SLAMA,PERSON,CHIHEBEDINE SLAMA,,,49,seed
PERSON_MABROUK_MOHAMED_ALI,MOHAMED ALI MABROUK,PERSON,MOHAMED ALI MABROUK,,,48,seed
PERSON_MZABI_MONCEF,MONCEF MZABI,PERSON,MONCEF MZABI,,,48,seed
PERSON_BAYAHI_TAIEB,TAIEB BAYAHI,PERSON,TAIEB BAYAHI,,,46,seed
PERSON_BENSALEM_ALI,ALI BEN-SALEM,PERSON,ALI BENSALEM,,,46,seed
PERSON_ELABIDINE_MOHAMED_ZINE,MOHAMED ZINE EL-ABIDINE,PERSON,MOHAMED ZINE ELABIDINE,,,46,seed
PERSON_ELOUMI_FAOUZI,FAOUZI ELLOUMI,PERSON,FAOUZI ELOUMI,,,46,seed
PERSON_MABROUK_ISMAIL,ISMAIL MABROUK,PERSON,ISMAIL MABROUK,,,45,seed
PERSON_SASI_MOHAMED,MOHAMED SASSI,PERSON,MOHAMED SASI,,,45,seed
PERSON_SLAMA_GHASEN,GHASSEN SLAMA,PERSON,GHASEN SLAMA,,,45,seed
CO_POULINA_GROUP_HOLDING,POULINA GROUP HOLDING,COMPANY,POULINA GROUP HOLDING,,,44,seed
CO_SIP_SICAR,SIP SICAR,COMPANY,SIP SICAR,,,44,seed
BLOC_BLOC_QALB_TOUNES,BLOC QALB TOUNES,PARLIAMENTARY BLOC,BLOC QALB TOUNES,,,43,seed
PERSON_CHARFEDINE_RIDHA,RIDHA CHARFEDDINE,PERSON,RIDHA CHARFEDINE,,,43,seed
PERSON_DJILANI_HEDI,HEDI DJILANI,PERSON,HEDI DJILANI,,,43,seed
PERSON_HAMAMI_MOHAMED,MOHAMED HAMMAMI,PERSON,MOHAMED HAMAMI,,,43,seed
CO_BT_SICAR,BT SICAR,COMPANY,BT SICAR,,,42,seed
CO_MODERN_LEASING,MODERN LEASING,COMPANY,MODERN LEASING,,,42,seed
CO_EPARGNE_INVEST_SICAF,EPARGNE INVEST SICAF,COMPANY,EPARGNE INVEST SICAF,,SOCIETE EPARGNE INVEST SICAF,41,seed
CO_GROUPE_CHIMIQUE_TUNISIEN,GROUPE CHIMIQUE TUNISIEN,COMPANY,GROUPE CHIMIQUE TUNISIEN,,,41,seed
CO_PLACEMENTS_TUNISIE_SICAF,PLACEMENTS DE TUNISIE SICAF,COMPANY,PLACEMENTS TUNISIE SICAF,,,41,seed
GOV_JEBALI_GOVERNMENT,JEBALI GOVERNMENT,GOVERNMENT,JEBALI GOVERNMENT,,,41,seed
PERSON_HAMAMI_HABIB,HABIB HAMMAMI,PERSON,HABIB HAMAMI,,,41,seed
PERSON_HAMROUNI_ABDELKADER,ABDELKADER HAMROUNI,PERSON,ABDELKADER HAMROUNI,,,41,seed
PERSON_KAMOUN_MOHAMED,MOHAMED KAMMOUN,PERSON,MOHAMED KAMOUN,,,41,seed
PERSON_ZOUARI_MOHAMED,MOHAMED ZOUARI,PERSON,MOHAMED ZOUARI,,,41,seed
CO_BANQUE_TUNISIE,BANQUE DE TUNISIE BT,COMPANY,BANQUE TUNISIE,,BANQUE DE TUNISIE;BT,40,seed
CO_HANNIBAL_LEASE,HANNIBAL LEASE,COMPANY,HANNIBAL LEASE,,,40,seed
CO_TUNINVEST_SICAR,TUNINVEST SICAR,COMPANY,TUNINVEST SICAR,,,40,seed
PERSON_BENAYED_ABDELWAHEB,ABDELWAHEB BEN-AYED,PERSON,ABDELWAHEB BENAYED,,,40,seed
PARTYSTR_NIDAA_TOUNES_PARTYS_EXECUTIVE_COMMITTEE,NIDAA TOUNES PARTYS EXECUTIVE COMMITTEE,PARTY STRUCTURE,NIDAA TOUNES PARTYS EXECUTIVE COMMITTEE,,,39,seed
PERSON_BENAMOR_BECHIR,BECHIR BEN-AMOR,PERSON,BECHIR BENAMOR,,,39,seed
CO_SFBT,SFBT,COMPANY,SFBT,,,38,seed
CO_TUNISIE_TRADENET,TUNISIE TRADENET,COMPANY,TUNISIE TRADENET,,,38,seed
GOV_UNITED_STATES_DEPARTMENT_OF_STATE,UNITED STATES DEPARTMENT OF STATE,GOVERNMENT,UNITED STATES DEPARTMENT OF STATE,,,38,seed
PERSON_ELOUMI_YADH,YADH ELLOUMI,PERSON,YADH ELOUMI,,,38,seed
GOV_LAARAYEDH_GOVERNMENT,LAARAYEDH GOVERNMENT,GOVERNMENT,LAARAYEDH GOVERNMENT,,,37,seed
PERSON_BOURICHA_ABDELHAMID,ABDELHAMID BOURICHA,PERSON,ABDELHAMID BOURICHA,,,37,seed
PERSON_CHAABANE_MOHAMED,MOHAMED CHAABANE,PERSON,MOHAMED CHAABANE,,,37,seed
CO_ARAB_INTERNATIONAL_LEASE,ARAB INTERNATIONAL LEASE,COMPANY,ARAB INTERNATIONAL LEASE,,AIL;ARAB INTERNATIONAL LEASE AIL,36,seed
CO_BANQUE_TUNISO_KOWEITIENNE,BANQUE TUNISO KOWEITIENNE BTK,COMPANY,BANQUE TUNISO KOWEITIENNE,,BTK,36,seed
CO_BH_BANK,BH BANK,COMPANY,BH BANK,,,36,seed
CO_MAGASIN_GENERAL,MAGASIN GENERAL,COMPANY,MAGASIN GENERAL,,SOCIETE MAGASIN GENERAL,36,seed
CO_TUNISAIR,TUNISAIR,COMPANY,TUNISAIR,,,36,seed
PERSON_DRIS_MHAMED,MHAMMED DRISS,PERSON,MHAMED DRIS,,MHAMED DRISS,36,seed
BLOC_BLOC_AL_HORRA_MOUVEMENT_MACHROUU_TOUNES,BLOC AL-HORRA DU MOUVEMENT MACHROUU TOUNES,PARLIAMENTARY BLOC,BLOC AL HORRA MOUVEMENT MACHROUU TOUNES,,,35,seed
CO_AMEN_BANK,AMEN BANK,COMPANY,AMEN BANK,,,35,seed
CO_COTIF_SICAR,COTIF SICAR,COMPANY,COTIF SICAR,,,35,seed
CO_FINANCIERE_WIDED_SICAF,FINANCIERE WIDED SICAF,COMPANY,FINANCIERE WIDED SICAF,,FWS;LA FINANCIERE WIDED SICAF;LA FINANCIERE WIDED SICAF FWS,35,seed
CO_UNIVERS_INVEST_SICAR,UNIVERS INVEST SICAR,COMPANY,UNIVERS INVEST SICAR,,,35,seed
ORG_CONECT,CONECT,ORGANIZATION,CONECT,,,35,seed
PERSON_DOGHRI_HASINE,HASSINE DOGHRI,PERSON,HASINE DOGHRI,,,35,seed
PERSON_SLAMA_ALI,ALI SLAMA,PERSON,ALI SLAMA,,,35,seed
CO_TUNISIE_LEASING_FACTORING,TUNISIE LEASING ET FACTORING,COMPANY,TUNISIE LEASING FACTORING,,,34,seed
CO_UNION_INTERNATIONALE_BANQUE,UNION INTERNATIONALE DE BANQUE UIB,COMPANY,UNION INTERNATIONALE BANQUE,,UIB,34,seed
PERSON_BENAYED_MOHAMED_HEDI,MOHAMED HEDI BEN-AYED,PERSON,MOHAMED HEDI BENAYED,,,34,seed
PERSON_MOKHTAR_KAIS,KAIS MOKHTAR,PERSON,KAIS MOKHTAR,,,34,seed
PERSON_TAMARZISTE_MEHDI,MEHDI TAMARZISTE,PERSON,MEHDI TAMARZISTE,,,34,seed
CO_BANQUE_TUNISIE_EMIRATS,BANQUE DE TUNISIE ET DES EMIRATS BTE,COMPANY,BANQUE TUNISIE EMIRATS,,BTE,33,seed
GOV_FAKHFAKH_GOVERNMENT,FAKHFAKH GOVERNMENT,GOVERNMENT,FAKHFAKH GOVERNMENT,,,33,seed
PARTYSTR_ENNAHDHA_S_EXECUTIVE_BUREAU,ENNAHDHA'S EXECUTIVE BUREAU,PARTY STRUCTURE,ENNAHDHA'S EXECUTIVE BUREAU,,,33,seed
PARTYSTR_NIDAA_TOUNES_PARTYS_POLITBURO,NIDAA TOUNES PARTYS POLITBURO,PARTY STRUCTURE,NIDAA TOUNES PARTYS POLITBURO,,,33,seed
PERSON_JENAYAH_HOUCINE,HOUCINE JENAYAH,PERSON,HOUCINE JENAYAH,,,33,seed
PERSON_TRIKI_AHMED,AHMED TRIKI,PERSON,AHMED TRIKI,,,33,seed
CO_AIR_LIQUIDE_TUNISIE_SERVICES,AIR LIQUIDE TUNISIE SERVICES,COMPANY,AIR LIQUIDE TUNISIE SERVICES,,,32,seed
CO_COMPAGNIE_TUNISIENNE_FORAGE,COMPAGNIE TUNISIENNE DE FORAGE CTF,COMPANY,COMPAGNIE TUNISIENNE FORAGE,,CTF,32,seed
CO_STEG_ENERGIES_RENOUVELABLES_STEG,STEG ENERGIES RENOUVELABLES STEG ER,COMPANY,STEG ENERGIES RENOUVELABLES STEG,,ER,32,seed
CO_STEG_INTERNATIONAL_SERVICES,STEG INTERNATIONAL SERVICES,COMPANY,STEG INTERNATIONAL SERVICES,,,32,seed
PERSON_AMAR_HABIB,HABIB AMMAR,PERSON,HABIB AMAR,,,32,seed
PERSON_BENCHAABANE_NAAMA_ELOUMI,NAAMA ELLOUMI BEN-CHAABANE,PERSON,NAAMA ELOUMI BENCHAABANE,,,32,seed
PERSON_DRIS_AICHA,AICHA DRISS,PERSON,AICHA DRIS,,,32,seed
PERSON_MAHJOUB_MOHAMED,MOHAMED MAHJOUB,PERSON,MOHAMED MAHJOUB,,,32,seed
PERSON_SAIDI_MOHAMED,MOHAMED SAIDI,PERSON,MOHAMED SAIDI,,,32,seed
CO_BH_EQUITY,BH EQUITY,COMPANY,BH EQUITY,,,31,seed
CO_SEFINA_SICAF,SEFINA SICAF,COMPANY,SEFINA SICAF,,,31,seed
CO_SICAR_AVENIR,SICAR AVENIR,COMPANY,SICAR AVENIR,,,31,seed
CO_TELNET_HOLDING,TELNET HOLDING,COMPANY,TELNET HOLDING,,,31,seed
PERSON_REKIK_SALMA_ELOUMI,SALMA ELLOUMI REKIK,PERSON,SALMA ELOUMI REKIK,,,31,seed
CO_ACCUMULATEUR_TUNISIEN_ASSAD,ACCUMULATEUR TUNISIEN ASSAD,COMPANY,ACCUMULATEUR TUNISIEN ASSAD,,,30,seed
CO_COMPAGNIE_INTERNATIONALE_LEASING,COMPAGNIE INTERNATIONALE DE LEASING,COMPANY,COMPAGNIE INTERNATIONALE LEASING,,,30,seed
CO_TUNISIENNE_DASSURANCES_REASSURANCES_STAR,SOCIETE TUNISIENNE DASSURANCES ET DE REASSURANCES STAR,COMPANY,TUNISIENNE DASSURANCES REASSURANCES STAR,,,30,seed
PERSON_BELHIBA_ABDELAZIZ,ABDELAZIZ BELHIBA,PERSON,ABDELAZIZ BELHIBA,,,30,seed
PERSON_DRIS_ZOHRA,ZOHRA DRISS,PERSON,ZOHRA DRIS,,,30,seed
PERSON_HAMROUNI_ABDELATIF,ABDELLATIF HAMROUNI,PERSON,ABDELATIF HAMROUNI,,,30,seed
PERSON_HORCHANI_RACHED,RACHED HORCHANI,PERSON,RACHED HORCHANI,,,30,seed
CO_BANQUE_FINANCEMENT_PETITES_MOYENNES_ENTREPRISES,BANQUE DE FINANCEMENT DES PETITES ET MOYENNES ENTREPRISES BFPME,COMPANY,BANQUE FINANCEMENT PETITES MOYENNES ENTREPRISES,,BFPME,29,seed
CO_ENNAKL_AUTOMOBILES,ENNAKL AUTOMOBILES SA,COMPANY,ENNAKL AUTOMOBILES,,,29,seed
CO_MENINX_HOLDING,MENINX HOLDING,COMPANY,MENINX HOLDING,,,29,seed
CO_TUNISIENNE_FILTRES_MISFAT,SOCIETE TUNISIENNE DES FILTRES MISFAT,COMPANY,TUNISIENNE FILTRES MISFAT,,,29,seed
CO_TUNISIENNE_SUCRE,SOCIETE TUNISIENNE DE SUCRE,COMPANY,TUNISIENNE SUCRE,,SOCIETE TUNISIENNE DU SUCRE,29,seed
GOV_JOMAA_GOVERNMENT,JOMAA GOVERNMENT,GOVERNMENT,JOMAA GOVERNMENT,,,29,seed
GOV_MECHICHI_GOVERNMENT,MECHICHI GOVERNMENT,GOVERNMENT,MECHICHI GOVERNMENT,,,29,seed
CO_DELICE_HOLDING,DELICE HOLDING,COMPANY,DELICE HOLDING,,,28,seed
CO_D_ETUDE_PROJETS,SOCIETE D'ETUDE DE PROJETS,COMPANY,D'ETUDE PROJETS,,,28,seed
CO_MT_ELLOUMI,ETABLISSEMENT MT ELLOUMI,COMPANY,MT ELLOUMI,,,28,seed
CO_SOCIETES_CIMENTS_BIZERTE,SOCIETES DES CIMENTS DE BIZERTE,COMPANY,SOCIETES CIMENTS BIZERTE,,,28,seed
CO_TUNINVEST_FINANCE_GROUP,TUNINVEST FINANCE GROUP,COMPANY,TUNINVEST FINANCE GROUP,,,28,seed
ORG_NATIONAL_ENDOWMENT_FOR_DEMOCRACY,NATIONAL ENDOWMENT FOR DEMOCRACY,ORGANIZATION,NATIONAL ENDOWMENT FOR DEMOCRACY,,,28,seed
PERSON_AREM_JAMEL,JAMEL AREM,PERSON,JAMEL AREM,,,28,seed
PERSON_MHIRI_SAMI,SAMI MHIRI,PERSON,SAMI MHIRI,,,28,seed
PERSON_ZOUARI_HAFEDH,HAFEDH ZOUARI,PERSON,HAFEDH ZOUARI,,,28,seed
CO_SANIMED,SANIMED,COMPANY,SANIMED,,,27,seed
ORG_GROUPE_DIMPULSION_ECONOMIQUE_POUR_PARTENARIAT_FRANCE_TUNISIE,GROUPE DIMPULSION ECONOMIQUE POUR LE PARTENARIAT FRANCE TUNISIE,ORGANIZATION,GROUPE DIMPULSION ECONOMIQUE POUR PARTENARIAT FRANCE TUNISIE,,,27,seed
PERSON_AFAS_MOHAMED,MOHAMED AFFAS,PERSON,MOHAMED AFAS,,,27,seed
PERSON_AMDOUNI_MOURAD,MOURAD AMDOUNI,PERSON,MOURAD AMDOUNI,,,27,seed
PERSON_DJILANI_MOHAMED_HECHMI,MOHAMED HECHMI DJILANI,PERSON,MOHAMED HECHMI DJILANI,,,27,seed
PERSON_KAMOUN_HEDI,HEDI KAMMOUN,PERSON,HEDI KAMOUN,,,27,seed
BLOC_BLOC_NATIONAL,BLOC NATIONAL,PARLIAMENTARY BLOC,BLOC NATIONAL,,,26,seed
CO_ARAB_TUNISIAN_LEASE,ARAB TUNISIAN LEASE,COMPANY,ARAB TUNISIAN LEASE,,ARAB TUNISIAN LEASE ATL;ATL,26,seed
CO_ASSURANCE_COMAR,ASSURANCE COMAR,COMPANY,ASSURANCE COMAR,,,26,seed
CO_ATELIERS_MECANIQUES_SAHEL,ATELIERS MECANIQUES DU SAHEL AMS,COMPANY,ATELIERS MECANIQUES SAHEL,,AMS;LES ATELIERS MECANIQUES DU SAHEL,26,seed
CO_IDEAL_SANITAIRE,IDEAL SANITAIRE,COMPANY,IDEAL SANITAIRE,,,26,seed
CO_TUNINVEST_SERVICES,TUNINVEST SERVICES,COMPANY,TUNINVEST SERVICES,,,26,seed
CO_TUNISIENNE_INDUSTRIES_PNEUMATIQUES_STIP,SOCIETE TUNISIENNE DES INDUSTRIES DE PNEUMATIQUES STIP,COMPANY,TUNISIENNE INDUSTRIES PNEUMATIQUES STIP,,,26,seed
ORG_AMERICAN_AFRICAN_UNION_AMAFU,"AMERICAN AFRICAN UNION ""AMAFU""",ORGANIZATION,AMERICAN AFRICAN UNION AMAFU,,,26,seed
ORG_ASSOCIATION_PARTENARIAT_TUNISO_ALLEMANDE,ASSOCIATION DE PARTENARIAT TUNISO-ALLEMANDE,ORGANIZATION,ASSOCIATION PARTENARIAT TUNISO ALLEMANDE,,,26,seed
PERSON_ABDELKEFI_FADHEL,FADHEL ABDELKEFI,PERSON,FADHEL ABDELKEFI,,,26,seed
PERSON_SLAMA_RIDHA,RIDHA SLAMA,PERSON,RIDHA SLAMA,,,26,seed
CO_AGENCE_CONTROLE_TECHNIQUE_INTERNATIONALE,AGENCE DE CONTROLE TECHNIQUE INTERNATIONALE,COMPANY,AGENCE CONTROLE TECHNIQUE INTERNATIONALE,,,25,seed
CO_ATTIJARI_BANK,ATTIJARI BANK,COMPANY,ATTIJARI BANK,,,25,seed
CO_CEREALIS,CEREALIS,COMPANY,CEREALIS,,,25,seed
CO_GENERALE_INDUSTRIELLE_PRODUITS_ALIMENTAIRES,GENERALE INDUSTRIELLE DE PRODUITS ALIMENTAIRES GIPA,COMPANY,GENERALE INDUSTRIELLE PRODUITS ALIMENTAIRES,,GIPA;LA GENERALE INDUSTRIELLE DES PRODUITS ALIMENTAIRES GIPA,25,seed
CO_INTERMETAL,INTERMETAL,COMPANY,INTERMETAL,,,25,seed
CO_LOUKIL_INVESTMENT_GROUP,LOUKIL INVESTMENT GROUP LIG,COMPANY,LOUKIL INVESTMENT GROUP,,LIG,25,seed
CO_TPAP,TPAP,COMPANY,TPAP,,SOCIETE DE TPAP;SOCIETE TPAP,25,seed
CO_TUNISIE_TELECOM,TUNISIE TELECOM,COMPANY,TUNISIE TELECOM,,,25,seed
PERSON_ELOUMI_AWATEF,AWATEF ELLOUMI,PERSON,AWATEF ELOUMI,,,25,seed
PERSON_HAMAMI_KHALED,KHALED HAMMAMI,PERSON,KHALED HAMAMI,,,25,seed
CO_AL_BADR_SICAF,AL BADR SICAF,COMPANY,AL BADR SICAF,,,24,seed
CO_ARAB_TUNISIAN_BANK,ARAB TUNISIAN BANK ATB,COMPANY,ARAB TUNISIAN BANK,,ATB,24,seed
CO_BTE_SICAR,BTE SICAR,COMPANY,BTE SICAR,,,24,seed
CO_CITY_CARS,CITY CARS,COMPANY,CITY CARS,,,24,seed
CO_KARAMA_HOLDING,KARAMA HOLDING,COMPANY,KARAMA HOLDING,,,24,seed
CO_LABORATOIRES_GALPHARMA,LABORATOIRES GALPHARMA,COMPANY,LABORATOIRES GALPHARMA,,,24,seed
CO_NATIONALE_CHEMINS_FER_TUNISIENS_SNCFT,SOCIETE NATIONALE DES CHEMINS DE FER TUNISIENS SNCFT,COMPANY,NATIONALE CHEMINS FER TUNISIENS SNCFT,,,24,seed
CO_NUTRIMIX,NUTRIMIX,COMPANY,NUTRIMIX,,,24,seed
CO_SLAMA_FRERES,SLAMA FRERES,COMPANY,SLAMA FRERES,,,24,seed
CO_SODEK_SICAR,SODEK SICAR,COMPANY,SODEK SICAR,,,24,seed
CO_TUNISIE_CABLES,TUNISIE CABLES,COMPANY,TUNISIE CABLES,,,24,seed
PERSON_BENAHMED_HICHEM,HICHEM BEN-AHMED,PERSON,HICHEM BENAHMED,,,24,seed
PERSON_CHAABANE_FAOUZI,FAOUZI CHAABANE,PERSON,FAOUZI CHAABANE,,,24,seed
PERSON_SELAMI_HEDI_KARIM,HEDI KARIM SELLAMI,PERSON,HEDI KARIM SELAMI,,,24,seed
PERSON_TEKAYA_HOUDA,HOUDA TEKAYA,PERSON,HOUDA TEKAYA,,,24,seed
BLOC_BLOC_COALITION_AL_KARAMA,BLOC COALITION AL-KARAMA,PARLIAMENTARY BLOC,BLOC COALITION AL KARAMA,,,23,seed
CO_CARTHAGE_MEDICAL,SOCIETE CARTHAGE MEDICAL,COMPANY,CARTHAGE MEDICAL,,,23,seed
CO_CENTRE_FINANCIER_AUX_ENTREPRENEURS_TUNISIE,CENTRE FINANCIER AUX ENTREPRENEURS TUNISIE,COMPANY,CENTRE FINANCIER AUX ENTREPRENEURS TUNISIE,,,23,seed
CO_PARENIN,PARENIN,COMPANY,PARENIN,,,23,seed
CO_TRANSPORT_D_HYDROCARBURES_PAR_PIPELINE_AU_SAHARA_SOTRAPIL,SOCIETE DE TRANSPORT ET D'HYDROCARBURES PAR PIPELINE AU SAHARA SOTRAPIL,COMPANY,TRANSPORT D'HYDROCARBURES PAR PIPELINE AU SAHARA SOTRAPIL,,,23,seed
CO_TUNINVEST,TUNINVEST,COMPANY,TUNINVEST,,,23,seed
GOVORG_CONSEIL_ANALYSES_ECONOMIQUES,CONSEIL DES ANALYSES ECONOMIQUES,GOVERNMENTAL ORGANIZATION,CONSEIL ANALYSES ECONOMIQUES,,,23,seed
PERSON_BOURICHA_JALEL,JALEL BOURICHA,PERSON,JALEL BOURICHA,,,23,seed
PERSON_DOGHRI_MONCEF,MONCEF DOGHRI,PERSON,MONCEF DOGHRI,,,23,seed
PERSON_HASAN_MOHSEN,MOHSEN HASSAN,PERSON,MOHSEN HASAN,,,23,seed
PERSON_SELAMI_SLIM,SLIM SELLAMI,PERSON,SLIM SELAMI,,,23,seed
CO_BH_ASSURANCE,BH ASSURANCE,COMPANY,BH ASSURANCE,,,22,seed
CO_HBG_HOLDING,HBG HOLDING,COMPANY,HBG HOLDING,,,22,seed
CO_MED_OIL_COMPANY,MED OIL COMPANY SA,COMPANY,MED OIL COMPANY,,MED OIL COMPANY,22,seed
CO_NOUVELLE_MAISON_VILLE_TUNIS_MONOPRIX,NOUVELLE MAISON DE LA VILLE DE TUNIS MONOPRIX,COMPANY,NOUVELLE MAISON VILLE TUNIS MONOPRIX,,,22,seed
CO_TAWASOL_GROUP_HOLDING,TAWASOL GROUP HOLDING TGH,COMPANY,TAWASOL GROUP HOLDING,,TAWASOL GROUP HOLDING;TGH,22,seed
CO_TUNISIE_LEASING,TUNISIE LEASING,COMPANY,TUNISIE LEASING,,,22,seed
CO_UNIVERS_PARTICIPATIONS_SICAF,UNIVERS PARTICIPATIONS SICAF,COMPANY,UNIVERS PARTICIPATIONS SICAF,,SOCIETE UNIVERS PARTICIPATIONS SICAF,22,seed
ORG_FOUNDATION_TO_PROMOTE_OPEN_SOCIETY,FOUNDATION TO PROMOTE OPEN SOCIETY,ORGANIZATION,FOUNDATION TO PROMOTE OPEN SOCIETY,,,22,seed
