edge_id,from_node_id,to_node_id,from_label,to_label,from_type,to_type,edge_label_raw,role_canonical,tie_class,layer,is_former,is_self_loop,source_line,evidence
SEEDE_1111331eb1b08c96,PERSON_GHARIANI_ANIS,CO_GERMAN_TUNISIAN_INTERNATIONAL_MANUFACTURING,ANIS GHARIANI,GERMAN TUNISIAN INTERNATIONAL MANUFACTURING GTIM,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9707,seed_only
SEEDE_0ece1abf5b327672,PERSON_GHARIENI_ANIS,CO_GERMAN_TUNISIAN_INTERNATIONAL_MANUFACTURING,ANIS GHARIENI,GERMAN TUNISIAN INTERNATIONAL MANUFACTURING GTIM,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9708,seed_only
SEEDE_e6d4227a79a50276,PERSON_JEMAI_ABDERAOUF,CO_GERMAN_TUNISIAN_SERVICE,ABDERRAOUF JEMAI,GERMAN TUNISIAN SERVICE,PERSON,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,9709,seed_only
SEEDE_9007b117d732466f,PERSON_BENABDALAH_RADHOUANE,CO_GERMANY_INTERNATIONAL,RADHOUANE BEN-ABDALLAH,GERMANY INTERNATIONAL,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9710,seed_only
SEEDE_fec8ae5f700dfc05,PERSON_KARIMI_AMJAD,CO_GERMANY_SERVICES_CONSULTING,AMJAD KARIMI,GERMANY SERVICES CONSULTING,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9711,seed_only
SEEDE_7b04eed1ce947a9b,PERSON_SCHMITZ_PETER,ORG_GERMANY_TRADE_INVEST_GTAI,PETER SCHMITZ,GERMANY TRADE & INVEST - GTAI,PERSON,ORGANIZATION,PRESIDENT,president,leadership,civil_society,False,False,9712,seed_only
SEEDE_0db699c7c76f3cf9,PERSON_BAYAHI_TAHER,CO_GERVASONI,TAHER BAYAHI,GERVASONI,PERSON,COMPANY,BOARD MEMBER,administrateur,corporate_officer,corporate,False,False,9713,seed_only
SEEDE_39a43da8dd1b48a1,PERSON_BAYAHI_TAIEB,CO_GERVASONI,TAIEB BAYAHI,GERVASONI,PERSON,COMPANY,BOARD MEMBER,administrateur,corporate_officer,corporate,False,False,9714,seed_only
SEEDE_ac998ef70e62c7f8,PERSON_BAYAHI_YAHIA,CO_GERVASONI,YAHIA BAYAHI,GERVASONI,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9715,seed_only
SEEDE_341f2969f82ab6fe,PERSON_MABROUK_ABDESALEM,CO_GES_INFO,ABDESSALEM MABROUK,GES INFO,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9716,seed_only
SEEDE_84c592314c358a8d,PERSON_MABROUK_ALI,CO_GEST_HOTEL_LAFAYETTE,ALI MABROUK,GEST HOTEL LAFAYETTE,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9717,seed_only
SEEDE_c9605a18127a4c09,PERSON_LAABIDI_TAREK,CO_GESTION_RESTAURATION_DANIMATION_TOURISTIQUE_GERAT,TAREK LAABIDI,GESTION DES ETABLISSEMENTS DE RESTAURATION ET DANIMATION TOURISTIQUE GERAT,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9718,seed_only
