spell_id,obs_date,obs_kind,obs_event_id,evidence_quote
SP_460d1249871049631cf9,2007-11-20,onset,EV_0aba5ffbeed4e9654ad7,"- Gérance : Monsieur El Bechir Boufateh est nommé gérant de la société pour toute sa durée, avec tous les pouvoirs énoncés au statut les plus étendus,"
SP_6f1af6cf7fed70f8f5a8,2007-12-14,onset,EV_386063669dceda8ce8c3,"Gérance : M. Mehdi Houas est nommé gérant de la société, avec les pouvoirs énoncés aux statuts les plus étendus."
SP_257ca96511522d66f33c,2007-12-25,onset,EV_557587a8fe7befbfd847,Gérance : Monsieur Sofiene Kamoun est nommé gérant de la société pour toute sa durée avec tous les pouvoirs énoncés au statut les plus étendus.
SP_dbcfaccc2b6e7b88dcd6,2007-07-28,onset,EV_e512016b13fa40107886,Gérance : Monsieur Maher Rabah avec les pouvoirs les plus étendus dans le cadre des statuts.
SP_3a3968075a294b7e0d08,2007-12-27,onset,EV_72c01c499c74a0379eb4,Gérant : Mr Néjib Bouatay avec les pouvoirs les plus étendus.
SP_589d996ca81f68247b61,2007-08-27,onset,EV_6d650fbfd7ef95cc0ea6,"2) En vertu du procès-verbal du conseil d'administration du 27 août 2007, enregistré à la recette des finances Habib Thameur, en date du 6 décembre 2007, sous le n° 07706884, quittance n° M68790, dont"
SP_74f0f15217eb969cfeb0,2007-06-11,terminus,EV_982810562bc72bebadd9,"1/ En vertu du procès-verbal du conseil d'administration daté du 11 juin 2007, enregistré à la REAS, 1er bureau de Tunis, en date du 12 décembre 2007, sous le n° 7812064, quittance n° 14340, Madame Am"
SP_77d88207bb58718a7b92,2007-06-11,terminus,EV_334769b6f9783a7d6262,"1/ En vertu du procès-verbal du conseil d'administration daté du 11 juin 2007, enregistré à la REAS, 1er bureau de Tunis, en date du 12 décembre 2007, sous le n° 7812064, quittance n° 14340, Madame Am"
SP_02299dcd5db6770410c2,2011-04-06,onset,EV_ddc356a0ca987d5deaf6,"2/ En vertu du Procès Verbal du Conseil d'Administration du 06 avril 2011, enregistré à la Recette des Finances Habib Thameur en date du 18 avril 2011, sous le n° 11702177, quittance n° M26347, Monsie"
SP_40dc6e404299c4ab297b,2007-04-16,renewal,EV_a1b22f00528c5b5572e3,- Renouvellement du mandat de Monsieur Hedi Djilani en sa qualité de président directeur général de la société et ce pour toute la durée de son mandat d'administrateur et jouit des pouvoirs les plus é
SP_40dc6e404299c4ab297b,2009-08-13,renewal,EV_0981db8e86c0facbbbe8,Renouvellement du mandat de Monsieur Hedi Djilani en sa qualité de Président Directeur Général de la société et ce pour toute la durée de son mandat d'administrateur et jouit des pouvoirs les plus éte
SP_468867191f0ba163edca,2007-04-16,renewal,EV_07434a934a2a7c4ad4f6,- Renouvellement du mandat de Monsieur Abdelkader Esseghaier en sa qualité de Directeur Général Adjoint de la société et ce pour toute la durée de son mandat d'administrateur et dispose des mêmes pouv
SP_468867191f0ba163edca,2008-12-22,terminus,EV_4b43b9a8ecd18876d391,- Acceptation de la démission de Monsieur Abdelkader Esseghaier de ses fonctions de Directeur Général Adjoint de la société.
SP_8123fe4a084564e32905,2007-12-04,terminus,EV_6b5041ad64a4cb67eccc,"Par procès-verbal de l'assemblée générale extraordinaire enregistré à la recette des finances de Ras Djebel sous le numéro 07703700, reçu n° M036901, en date du 4 décembre 2007, déposé deux copies au "
SP_ed9f9fc75d9a5e6e79e4,2007-12-13,onset,EV_b04884f5239c49c490c3,Gérance: Monsieur Claudio Biolcati Rinaldi est nommé gérant de la société avec tous les pouvoirs énoncés aux statuts.
SP_b99005c49d6fde283f33,2007-12-31,onset,EV_e15b75deda588dec5d13,Gérance : Mr Tahar Chahmi est nommé gérant de la société avec tous les pouvoirs énoncés au statut les plus étendus.
SP_73c3e9ec0aabbb33e742,2007-12-24,onset,EV_cecc9d775951d51fb2e0,Gérant : Mr Mohsen Mhedhbi avec les pouvoirs les plus étendus.
SP_4d31386095ac61641d1c,2007-12-10,renewal,EV_a0948cb9da4de5c896d3,"- Le renouvellement du mandat du commissaire aux comptes Monsieur Fayçal Derbel, pour les exercices suivant 2008, 2009 et 2010."
SP_4e7a4a5f6e6c9a3173e7,2007-06-07,terminus,EV_58ab26e8c32a72179c55,"- Les associés ont accepté la démission de Monsieur Radhouane Ben Hammouda Bouattour, de ses fonctions de co-gérant, à cet effet, Monsieur Mongi Ben Hammouda Bouattour, devient l'unique gérant de la s"
SP_c81e2d96ea1b330206fc,2007-06-07,terminus,EV_565d54a0b69aed40db41,"- Les associés ont accepté la démission de Monsieur Radhouane Ben Hammouda Bouattour, de ses fonctions de co-gérant, à cet effet, Monsieur Mongi Ben Hammouda Bouattour, devient l'unique gérant de la s"
SP_cc1efd9cb116b6dbaa5a,2007-04-04,onset,EV_e068bc11f55c29cbe1f9,Gérant : Mr Mohamed B. Moncef Mzabi.
SP_705f93b1ba6775d226b9,2008-01-07,onset,EV_1c50bf1e37c97fda6b29,Gérance : Madame Amel Bochra Mabrouk est désignée gérante de la société avec les pleins pouvoirs pour une durée indéterminée.
SP_31fa8f9ad95e98d8e6da,2007-08-11,onset,EV_4cf9cbd7d06eec4288b1,Gérance : Mr Rabbaoui Mahmoud est nommé gérant de la société avec les pouvoirs les plus étendus.
SP_c7f85d7e1f01d4b45305,2006-02-01,renewal,EV_454ffe9cec88758be426,"- le renouvellement du mandat de Mr Yadh Elloumi en tant que commissaire aux comptes de la C.H.C.V pour les exercices 2006, 2007 et 2008."
SP_d4e3c025d2970fb984d8,2007-10-25,onset,EV_1af0b95d9a6815005a76,- Nomination de Mr Karim Ben Sedrine gérant de la société.
SP_20a972b198b23e19d451,2007-12-27,onset,EV_09a598e1be940eb1480a,Gérance : Monsieur Mohamed Sami Ben Ayed est nommé gérant de la société avec les pouvoirs les plus étendus pour gérer la société.
SP_cf546d6855e0fb8c3e73,2008-01-15,terminus,EV_a5e5bda973dad7a8173b,"- D'accepter la démission de Monsieur Férid Abbas de ses fonctions de Gérant,"
SP_358c2dfb2481ca034ca9,2008-01-15,onset,EV_2d17077a1337802bcbee,"- De nommer Monsieur Sadreddine Abbas en qualité de Gérant pour une période de trois ans débutant le 1er novembre 2007, et expirant à l'issue de l'A.G.O. qui se prononcera sur la gestion de l'année 20"
SP_98e31f33845b68b088c6,2007-12-28,onset,EV_490926a8731f17e692fe,"- nomination en qualité d'administrateurs, pour une durée de trois exercices 2008, 2009 et 2010, Messieurs : Abdessalem Ben Ayed, Rafik Ben Ayed et Olivier Bouyssonie,"
SP_986b479252f278c23e11,2007-12-28,onset,EV_202d687e8ca78b3436fe,Monsieur Abdessalem Ben Ayed en qualité de président directeur général pour la durée de son mandat d'administrateur avec les pouvoirs nécessaires pour la direction de la société.
SP_274f2e083fe28d987ad8,2007-12-17,onset,EV_1c26c05f08a636456a43,Gérance : Monsieur Younes Jebri est nommé gérant de la société.
SP_f87288262272fe872d18,2007-12-27,onset,EV_ad4e5c4cd21c6c761f01,Gérance : Monsieur Mounir Hammami est nommé gérant de la société.
SP_4f079baa442b6f3420de,2007-12-31,onset,EV_68d07486ef2c6c1577fe,Gérance : Monsieur Lotfi Ben Bechir Brahem est nommé gérant de la société avec les pouvoirs les plus étendus.
SP_709d6ebf477454cf16ab,2008-01-11,renewal,EV_8d3dc11a7096ab43e781,- décidé à l'unanimité le renouvellement du mandat de Monsieur Mohamed Néjib Essafi en qualité de directeur général de l'International Sicar pour une durée de trois ans.
SP_709d6ebf477454cf16ab,2011-11-29,confirmation,EV_6e8beed521dd9ba0aa2d,Le renouvellement de la nomination de M. Néjib Essafi en tant que Directeur Général de la société International Sicar pour une nouvelle période de 3 ans.
SP_6a7117ca158d269a1223,2007-07-02,onset,EV_a033a5d5049ae090b937,"Et suivant procès-verbal de la réunion du conseil d'administration, en date du 7 juillet 2007, enregistré à la recette des finances d'Ezzahra, le 3 octobre 2007, sous le n° 07702589, il a été décidé d"
SP_9d96b469fee775e17f9e,2007-12-17,onset,EV_0bd9189c0b008da4ab56,"En vertu du procès-verbal de la réunion du conseil d'administration tenue en date du 17 décembre 2007, enregistré à la recette de l'enregistrement des actes de sociétés de Tunis, 1er Bureau, en date d"
SP_f5de22a4a5c584304b7e,2007-12-17,onset,EV_604d24833a935845694d,"- La nomination de Monsieur Ali Slama, Madame Faouzia Slama, Monsieur Ghassen Slama, Mr Chihebeddine Slama et la société A.T.D SICAR en qualité d'administrateurs pour les exercices 2007, 2008 et 2009."
SP_f5de22a4a5c584304b7e,2010-09-30,confirmation,EV_3b17ab3cebf0509f0299,"- La nomination de Monsieur Ali Slama, Madame Faouzia Slama et M. Chihebeddine Slama en qualité d'administrateurs pour les exercices 2010, 2011 et 2012."
SP_822254c4bd97aa71a121,2007-12-17,onset,EV_9a6df77a0bcf19db49f5,"- La nomination de Monsieur Ali Slama, Madame Faouzia Slama, Monsieur Ghassen Slama, Mr Chihebeddine Slama et la société A.T.D SICAR en qualité d'administrateurs pour les exercices 2007, 2008 et 2009."
SP_822254c4bd97aa71a121,2010-09-30,confirmation,EV_69747f064297ff6624c1,"- La nomination de Monsieur Ali Slama, Madame Faouzia Slama et M. Chihebeddine Slama en qualité d'administrateurs pour les exercices 2010, 2011 et 2012."
SP_47efdada3699a4906130,2007-12-17,onset,EV_305b44512374fecd8bdd,"- La nomination de Monsieur Ali Slama, Madame Faouzia Slama, Monsieur Ghassen Slama, Mr Chihebeddine Slama et la société A.T.D SICAR en qualité d'administrateurs pour les exercices 2007, 2008 et 2009."
SP_6ffe683f292976934d40,2007-12-17,onset,EV_8a5ae5666ae78c917e39,"- La nomination de Monsieur Ali Slama, Madame Faouzia Slama, Monsieur Ghassen Slama, Mr Chihebeddine Slama et la société A.T.D SICAR en qualité d'administrateurs pour les exercices 2007, 2008 et 2009."
SP_6ffe683f292976934d40,2010-09-30,confirmation,EV_002f3d1e227c2a05ccab,"- La nomination de Monsieur Ali Slama, Madame Faouzia Slama et M. Chihebeddine Slama en qualité d'administrateurs pour les exercices 2010, 2011 et 2012."
SP_a5314bde48f17be55ac7,2007-12-17,renewal,EV_a242d27bcebab270557b,"- Le renouvellement du mandat du Monsieur Ali Slama, en qualité de Président du Conseil d'Administration et ce, pour la durée de son mandat d'administrateur."
SP_a5314bde48f17be55ac7,2010-09-30,renewal,EV_b5b9d91605152f6a6de0,"- Le renouvellement du mandat de Monsieur Ali Slama, en qualité de président du conseil d'administration et ce, pour la durée de son mandat d'administrateur."
SP_3218a05f5b66ad7f9bdf,2007-12-17,renewal,EV_a2ab5e8fa8677314899c,"- Le renouvellement du mandat du Madame Faouzia Slama, en qualité de Directeur Général et ce pour la durée de son mandat d'administrateur."
SP_3218a05f5b66ad7f9bdf,2010-09-30,renewal,EV_2e4dde20d4395f545a35,"- Le renouvellement du mandat de Madame Faouzia Slama, en qualité de directeur général et ce, pour la durée de son mandat d'administrateur."
SP_aabf4469c05e5cdfe5d6,2007-12-17,renewal,EV_e2e1ec6edc77bc3ec996,"- Le renouvellement du mandat du Monsieur Ghassen Slama, en qualité de Directeur Général adjoint et ce, pour la durée de son mandat d'administrateur."
SP_c724ff28ef14aeca9999,2007-06-09,renewal,EV_7c0a08b0f85f1101ff04,"- La renouvellement du mandat de Monsieur Chokri Ben Tenfous, Monsieur Mohamed Néjib Ben Tenfous, M. Chawki Ben Tenfous et Madame Néjiba Ben Tenfous en qualité d'administrateurs pour les exercices 200"
SP_14e1f57e4ec3da121522,2007-06-09,renewal,EV_0e2a93ecf65b80cabeb3,"- La renouvellement du mandat de Monsieur Chokri Ben Tenfous, Monsieur Mohamed Néjib Ben Tenfous, M. Chawki Ben Tenfous et Madame Néjiba Ben Tenfous en qualité d'administrateurs pour les exercices 200"
SP_14e1f57e4ec3da121522,2007-06-09,renewal,EV_a2169f865767b6eb21d7,"- La renouvellement du mandat de Monsieur Chokri Ben Tenfous, Monsieur Mohamed Néjib Ben Tenfous, M. Chawki Ben Tenfous et Madame Néjiba Ben Tenfous en qualité d'administrateurs pour les exercices 200"
SP_a9ea51474ccbf09035e5,2007-06-09,renewal,EV_bf1a1629f08e4f3bc3f0,"- La renouvellement du mandat de Monsieur Chokri Ben Tenfous, Monsieur Mohamed Néjib Ben Tenfous, M. Chawki Ben Tenfous et Madame Néjiba Ben Tenfous en qualité d'administrateurs pour les exercices 200"
SP_d98dd47e98f4c72cb475,2007-06-09,renewal,EV_40766b3422c19a3f69c5,"2- Par procès-verbal de la réunion du conseil d'administration en date du 9 juin 2007, enregistré à la recette des finances d'enregistrement des actes de sociétés 1er bureau - Tunis en date du 31 déce"
SP_0e7e8b4b471ebef3bb39,2006-09-25,renewal,EV_b6813469574a340f9589,"Il appert du procès-verbal de l'AGE du 25 septembre 2006 enregistré le 28 septembre 2006 à la recette des finances de Mégrine sous le n° 06703089, quittance n° M042821, le renouvellement de mandat du "
SP_01a3130a329b8973aa37,2007-08-04,onset,EV_dd56ff3d814d672aba11,"- a nommé en qualité de commissaire aux comptes pour une durée de trois ans, Mr Tijani Chaâbane."
SP_d02a48bc28cdc9b2ec0f,2007-11-10,onset,EV_62cf7cdd53b6d072ed6e,"Gérance : Mme Saida Bessrour est nommée gérante de la société avec les pouvoirs les plus étendus, et Mr Sami Ben Sedrine est nommée co-gérant."
SP_a93549fe84308600ca04,2008-01-12,onset,EV_52312968e860ee4bc5c0,Gérance : Monsieur Yasser Hammami est nommé gérant de la société avec tous les pouvoirs prévus par la loi.
SP_8e39dabbdd41a9465dd0,2007-03-03,onset,EV_dd2336ce1913ddef2665,6 - décide de nommer administrateurs Mlle Malek Bouaouaja et Mlle Mariem Bouaouaja pour les exercices 2007 à 2009.
SP_5107a1e868b880e1db09,2007-03-03,onset,EV_ff6b22d07ea95f6cb900,6 - décide de nommer administrateurs Mlle Malek Bouaouaja et Mlle Mariem Bouaouaja pour les exercices 2007 à 2009.
SP_46af1f38857591e11d79,2007-12-22,onset,EV_876a7e83a3f8b28528f7,"4- de nommer Messieurs Mourad Ben Amar, Abdessalem Hafsa, Salem Abdellah et Abdelaziz Said membres au Conseil d'administration et Monsieur Mourad Ben Amar président directeur général de la société ave"
SP_46af1f38857591e11d79,2008-02-21,confirmation,EV_59b00b3efcb5e5ac3eee,"Suivant Procès-verbal le premier conseil d'administration réunie en date du 21 février 2008, enregistré à la recette de l'enregistrement des actes de sociétés, guichet unique à Sfax en date du 25 févr"
SP_606914394c6e4130033b,2007-12-10,onset,EV_02120f78753da3f918da,"Il appert du P.V de l'assemblée générale ordinaire daté du 10 décembre 2007, enregistré à la recette des finances Chihia le 25 décembre 2007 sous le n° 07700650, quittance n° M021730, dont deux exempl"
SP_10dcff16c780758d786a,2007-11-25,onset,EV_a64b67a0b2a1ab1d0f93,"- Monsieur Ahmed Abdelkéfi a été nommé président du conseil d'administration,"
SP_b53952e5e784797753ae,2007-11-25,onset,EV_48d164b0489132bbc67d,- Monsieur Mohamed Aziz Mebarek a été nommé directeur général pour une durée de trois ans.
SP_41a08182f5e90fecdb16,2007-12-10,onset,EV_34e9464b2474ab2b0edb,Gérance : Mr Jabri Imed est désigné gérant avec les pouvoirs les plus étendus.
SP_73bb1d97e5722dd244d0,2008-01-03,onset,EV_02bb6e1d728ce2e07c7f,- Gérance : Mr Triki Ali.
SP_0a16c7df249d4854c0b0,2008-01-02,onset,EV_30049854b9c885a01c59,"Gérance : Mr Kmimech Chokri, est nommé gérant de la société avec les pouvoirs les plus étendus."
SP_a883fd797b2855c18ff0,2008-01-03,onset,EV_3cdc30a4b84fa8953ce2,Gérance : Monsieur Mohamed Nasr est nommé gérant de la société pour toute sa durée avec les pouvoirs les plus étendus.
SP_7a41f5ca45e40e6bcec1,2007-12-03,onset,EV_9e717ba719a5fd510ab7,Gérace : Monsieur Mourad Alamdouni Almoussi est nommé gérant de la société pour toute sa durée avec tous les pouvoirs les plus étendus.
SP_3699731869f3929f768e,2007-11-27,onset,EV_67812460ba5f35e671f5,"Les associés décident de nommer Monsieur Yahia Bayahi gérant de la société pour la durée de 3 ans avec les pouvoirs les plus étendus, ainsi ils décident de reconduire la nomination du cabinet N.F.C, i"
SP_fa9751d15e9bbac1633f,2008-01-04,onset,EV_0b18201dcb88108df5be,"Suite au procès-verbal du 4 janvier 2008, enregistré à la recette des finances à la Mornaguia le 14 janvier 2008 sous le n° 08700041, quittance n° M002016, dont deux exemplaires ont été déposés au gre"
SP_394881a2c4bdcb8caad9,2008-01-17,onset,EV_974a26a9e4f450c8a1e0,- Monsieur Daniel Lambotte est nommé cogérant de la société.
SP_bf13bf538710339dc406,2008-01-01,onset,EV_f85dfbd3d2fc9e825904,"- Monsieur Hafedh Ben Ahmed Gharbi a été désigné nouveau gérant de la société, à compter du 1er janvier 2008, et ce, pour une période de 7 ans, avec les pouvoirs les plus étendus pour agir au nom de l"
SP_a6b4c4a57ed03baf0b5b,2007-11-22,onset,EV_522b1fae372473ab302c,"Et suivant procès-verbal de l'assemblée générale ordinaire du 22 novembre 2007, enregistré à la recette des finances d'Ezzahra le 29 novembre 2007 sous le n° 007703041, il a été décidé de nommer Mr Me"
SP_3399a6516a4336bfb32f,2008-01-18,onset,EV_00a4130a2f95a596d206,Gérance : M. Youssef Foughali - commissaire aux comptes : M. Hassen Dridi.
SP_f47b7c338b9502d8ab98,2007-12-18,onset,EV_fb356ee5f707ce2d2891,Gérance : Monsieur Mohamed Triki est nommé gérant de la société avec tous les pouvoirs énoncés aux statuts.
SP_224c25149a6de32af7d1,2007-12-13,onset,EV_b3e2ba5b35bcda186bf4,Gérance : Monsieur Khaled Ben Hariz est nommé gérant de la société avec les pouvoirs les plus étendus.
SP_5a198b9dd6a9e1d73d59,2008-01-08,onset,EV_576d1789abd1ff034785,"- La nomination de Monsieur Yahia Bayahi en qualité de président directeur général de la société CETRAM, avec les pouvoirs les plus étendus pour diriger la société."
SP_72a278ade065e5c9a34f,2007-07-04,onset,EV_9f7e184507a7be0482ed,"Suivant procès-verbaux des assemblées générales ordinaire et extraordinaire du 4 juillet 2007, enregistré respectivement à la recette des finances d'Akouda le 8 septembre 2007, sous le n° 07701076 et "
SP_4e5c878513e490c64b9f,2008-01-24,onset,EV_44705369c8687a3e9fae,Mr Sadok Maiza est nommé PDG de la société pour la période de son mandat d'administrateur avec les pouvoirs les plus étendus.
SP_4447632ae6c0b6b04380,2007-11-01,onset,EV_4d5787d5983b24fe7936,"Monsieur Amor Kouki Bahri, la SODINO : représentée par Monsieur Ridha Mrabet, la SICAR INVEST, représentée par Madame Essia Zar, la TSPP, représentée par Monsieur Amor Alaya, SODEZ représentée par Mon"
SP_f3eeddbee3da7d9b642d,2007-07-11,onset,EV_bc69eea6116919b62e82,Gérance: Monsieur Nigro Cosimo Francesco est nommé gérant statutaire avec les pouvoirs les plus étendus et pour une durée illimitée.
SP_712402841115f8ba380b,2008-01-08,onset,EV_6fee1ac4836de90d87fb,Gérance : Mr Najib Zouari est nommé gérant.
SP_58b28d5133d0b27bf09d,2007-10-04,onset,EV_47a71abf0c171a1b0925,Gérance : Nomination de Monsieur Abid Nouri gérant de la société pouvoirs les plus étendus.
SP_3fc326b268ab903cf952,2007-10-04,onset,EV_6fb98f9c90b6e752eaaa,Gérance : La société est administrée par Monsieur Moez Trabelsi comme gérant statutaire de la société et il dispose des pouvoirs les plus étendus.
SP_5d25448e35e1996368df,2007-12-14,renewal,EV_ed542cf99beb1f257a59,"- Le renouvellement du mandat des administrateurs : Mr Jacques Lanxade, Mr Slaheddine Ben Said, Mr Denis Drummond, la Société Tunisienne de Banque « STB », et la nomination de Mr Christian de Boissieu"
SP_276d681b481e5e238a77,2008-01-03,onset,EV_8534aae011a1b9c02dcd,"a décidé de désigner comme membres du conseil d'administration, pour la durée prévue par l'article 16 des statuts, c'est-à-dire pour une durée de trois ans : Monsieur Fethi Mokhtar, Madame Insaf Mokht"
SP_e7f1e0714829d57a3ca9,2008-01-03,onset,EV_b4ee981d96ac7d80079f,"a décidé de désigner comme membres du conseil d'administration, pour la durée prévue par l'article 16 des statuts, c'est-à-dire pour une durée de trois ans : Monsieur Fethi Mokhtar, Madame Insaf Mokht"
SP_310f1821aa87da4ef03a,2008-01-03,onset,EV_a19bf4d9570ab40169cc,"a décidé de désigner comme membres du conseil d'administration, pour la durée prévue par l'article 16 des statuts, c'est-à-dire pour une durée de trois ans : Monsieur Fethi Mokhtar, Madame Insaf Mokht"
SP_0cde196d126cd288e121,2006-06-09,renewal,EV_596f57bbcfa48b07c24d,"- renouvellement du mandat du gérant actuel à savoir Monsieur Mohamed Meddeb, pour une période de 3 ans s'achevant avec la tenue de l'assemblée générale ordinaire qui aura à statuer sur les états fina"
SP_0cde196d126cd288e121,2009-07-29,renewal,EV_fef036d5caad98826167,"- Renouvellement du mandat du Gérant; actuel Monsieur Mohamed Meddeb, pour une période de 3 ans s'achevant avec la tenue de l'Assemblée Générale Ordinaire qui aura à statuer sur les états financiers r"
SP_0cde196d126cd288e121,2012-06-11,renewal,EV_c763504785a820ac8701,"- Renouvellement du mandat du Gérant, actuel Monsieur Mohamed Meddeb, pour une période de 3 ans avec les pouvoirs les plus étendus, s'achèvant avec la tenue de l'Assemblée Générale Ordinaire qui aura "
SP_b5ce2eab75d5e6dde957,2007-12-10,onset,EV_1e01597e419f2c910cfd,"instance de Sfax, le 5 janvier 2008, sous le n° D81191597, il a été décidé la nomination de Mr Mounir Kamoun en tant que gérant de la Société SOKAPO sise à la zone industrielle Oued Chaâbouni ainsi qu"
SP_6065f3d82a49b1de6e6c,2007-12-11,onset,EV_b183231695c522dbc8ab,"Selon procès-verbal du conseil d'administration en date du 16 janvier 2008, enregistré à la recette de l'enregistrement des actes de sociétés 1er Bureau de Tunis en date du 21 janvier 2008, quittance "
SP_b26c89ac891588bb4815,2008-01-08,onset,EV_86afd43c1220575eb2d5,"Gérance : Monsieur Franck, Aldo Renda, est nommé gérant de la société avec les pleins pouvoirs."
SP_664b4ff488583c0b955c,2008-01-02,onset,EV_2f9f688b69115200bb87,Gérance : Mr. Abdelaziz Makhloufi.
SP_6a6e8ab9b94408c4d914,2008-01-26,onset,EV_9d2cb96cff1823e0a5b6,"Suivant P.V, élaboré par les 2 huissiers Maître Sirine Triki et Adel Debbiche en date du 26 janvier 2008 au tribunal de cassation de Menzel Témime, il a été décidé : la dissolution et la liquidation d"
SP_63abc7873e63391f38d0,2008-01-24,onset,EV_cb1ddb865650932cc48b,"Aux termes du procès-verbal de l'AGE tenue, le 17 janvier 2008, enregistré à la recette de l'enregistrement des actes de sociétés à Sfax, le 21 janvier 2008 sous le n° 08800293, quittance M000300, dép"
SP_0b832f632a18e7c187c8,2008-01-04,terminus,EV_187e313fe128356ea6af,- Gérance : Monsieur Mnif Mohamed Najib gérant de la société en remplacement de Mme Mnif Ibtissem démissionnaire.
SP_36ac8c3adf1c1d5402f5,2008-01-21,onset,EV_464ebfae43ad214dadf6,- Gérance : Monsieur Rafik Bouchamaoui est nommé gérant de la société avec tous les pouvoirs énoncés aux statuts.
SP_8b46acf97daf932ab7a5,2008-01-24,onset,EV_b525611901a454292eae,Gérant : Mr Hamimed Hachmi avec les pouvoirs les plus étendus.
SP_d9439f8eb8c233d72d43,2008-01-29,terminus,EV_00910a4b638e89846bf0,"- La Démission de Monsieur Dario Filippini de la gérance,"
