panel_id,granularity,period_start,period_end,from_node_id,to_node_id,role_canonical,layer,certainty,evidence_tier,spell_id
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_BOUGUENA_ABDELHAMID,CO_GOLDEN_EXPORT,dga,corporate,certain,gazette_dated,SP_a1df09e147922af15a06
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_ABDENADHER_KARIM,CO_BELDIMED,president_ca,corporate,certain,gazette_dated,SP_2959882a5ea288106598
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_MABROUK_AMEL,CO_PATRIMOINE_SICAF,administrateur_delegue,corporate,certain,gazette_dated,SP_9a66c631eb2362b0b017
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_SMAOUI_SAMI,CO_HEWLETT_PACKARD_MAGHREB,cogerant,corporate,probable,gazette_dated,SP_0e07c595fb19e98b6ed0
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_AMDOUNI_SAMIRA,CO_PITA_SHOES,gerant,corporate,certain,gazette_dated,SP_65d4e8da0b4b3c0bf4af
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_ELHAMDI_LOTFI,CO_PITA_SHOES,cogerant,corporate,certain,gazette_dated,SP_6ebdc3f7beeff3ede9b9
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_TRIKI_AHMED,CO_DEX,gerant,corporate,certain,gazette_dated,SP_d1d2445a9d5213b5b59c
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_CHAABANE_MBAREK,CO_SOTULAME,gerant,corporate,certain,gazette_dated,SP_cd8c94302ce508d944ab
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_KAMOUN_MOEZ,CO_FOCUS_LOCATION,gerant,corporate,certain,gazette_dated,SP_927edbce15975f61c4c3
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_DRIRA_MOHAMED,CO_DREAM_FASHION_TUNISIE,gerant,corporate,certain,gazette_dated,SP_7b3d1800df76cabb7f5e
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HAMAMI_MOHAMED_ALI,CO_ESPACE_FORM,gerant,corporate,certain,gazette_dated,SP_411d0e66c57915bbb9b3
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_COSIMO_CARIERO,CO_FRUITS_CARTHAGE,gerant,corporate,certain,gazette_dated,SP_de4b8f6911714e0120b9
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_ELWARDI_MOHAMED,CO_TUNISIA_FOOD_INDUSTRY,gerant,corporate,certain,gazette_dated,SP_32bfe3210c70fb52fba9
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_SLAMA_ABDELHAKIM,CO_PACKPLUS,administrateur,corporate,probable,gazette_dated,SP_5a4492118dc08cd658df
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_SLAMA_LASAAD,CO_PACKPLUS,administrateur,corporate,probable,gazette_dated,SP_5c5c8ff867b4487c53e1
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_SLAMA_MOHAMED_AMIN,CO_PACKPLUS,administrateur,corporate,probable,gazette_dated,SP_9fafdaa9f7b4e4c1cbb1
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_SLAMA_MOHAMED_AMIN,CO_PACKPLUS,pdg,corporate,probable,gazette_dated,SP_fff7032dd72f7f1ac18c
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_HAMAMI_KHEDIJA,CO_ALLO_TAXI_SFAX,gerant,corporate,certain,gazette_dated,SP_5cc0d7ee4b89d1e44bd7
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_ZOUARI_TAREK,CO_EXACTT_CONSULTING_TUNISIE,gerant,corporate,certain,gazette_dated,SP_0be40ba548ab6a6601ca
yearly:2011,yearly,2011-01-01,2011-12-31,PERSON_CHAHED_IMED,CO_ITALO_TUNISIENNE_TRANSFORMATION_FABRICATION_FIBRES,gerant,corporate,certain,gazette_dated,SP_247cb4caee7bc16af1c9
