entity_id,firm_name,listing_event,event_date,event_year,market,isin,ticker,doc_node_key,doc_url
F4d8230833e,HEXABYTE,admission,2012-01-19,2012,Marché Alternatif des titres de capital de la,,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9%C2%A0%C2%AB-hexabyte-%C2%BB,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_HEXABYTE.pdf
Fd6b8c29687,AMS,admission,2012-05-11,2012,Marché Alternatif des titres de capital de la,,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-et-le-placement-garanti-sur-les-actions-de-la-soci%C3%A9t%C3%A9%C2%A0%C2%AB-ams-%C2%BB,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_AMS.pdf
Fdf608d7c16,NEW BODY LINE,admission,2013-03-12,2013,Marché Alternatif des titres de capital de la,,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-et-le-placement-garanti-sur-les-actions-de-la-soci%C3%A9t%C3%A9%C2%A0%C2%ABnew-body,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_AE_TECH.pdf
F2100f42734,AE TECH,admission,2013-03-12,2013,Marché Alternatif des titres de capital de la,,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-et-le-placement-garanti-sur-les-actions-de-la-soci%C3%A9t%C3%A9%C2%A0%C2%AB-ae-tech-%C2%BB,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_AE_TECH_0.pdf
F70fdd8020c,OTH,admission,2013-05-08,2013,Marché Principal de la Cote de la Bourse,TN0007530017,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-et-le-placement-garanti-sur-les-actions-de-la-soci%C3%A9t%C3%A9-%C2%A0one-tech,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_OTH.pdf
F2a4e6fde1a,SYPHAX AIRLINES,admission,2013-05-28,2013,Marché Alternatif de la Cote de la Bourse,TN0007560014,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-et-le-placement-garanti-sur-les-actions-de-la-soci%C3%A9t%C3%A9-%C2%A0syphax,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_SYPHAX_AIRLINES.pdf
F15dc59f779,EURO-CYCLES 1-A partir du lundi 17 juin 2013,admission,2013-06-16,2013,Marché Principal de la Cote de la Bourse,TN0007570013,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-et-le-placement-garanti-sur-les-actions-de-la-soci%C3%A9t%C3%A9-%C2%A0euro-cycles,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_EURO_CYCLES.pdf
Fc039a1e349,HANNIBAL LEASE 1-A partir du vendredi 21 juin 2013,admission,2013-06-20,2013,Marché Principal de la Cote de la Bourse,TN0007310139,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-et-le-placement-garanti-sur-les-actions-de-la-soci%C3%A9t%C3%A9-%C2%A0-%C2%A0hannibal,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_HANNIBAL_LEASE.pdf
F8a7d5e17f3,CITY CARS,admission,2013-11-19,2013,Marché Principal de la Cote de la Bourse,TN0007550015,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-et-du-placement-global-sur-les-actions-de-la-soci%C3%A9t%C3%A9-%C2%A0%C2%A0city-cars,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_CITY_CARS.pdf
F714ea6bbe3,MANUFACTURE DE PANNEAUX BOIS DU SUD –MPBS- 1-A partir du Mardi 24 décembre 2013,admission,2013-12-24,2013,Marché Principal de la Cote de la Bourse,TN0007620016,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9-mpbs-0,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_MPBS.pdf
F59e005aede,UNIMED A partir du jeudi 28 avril 2016,admission,2016-04-28,2016,Marché Principal de la Cote de la Bourse,TN0007720014,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ouvert-sur-les-actions-de-la-soci%C3%A9t%C3%A9-unimed,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opo_UNIMED.pdf
F1d2b89fd96,SANIMED A partir du lundi 16 janvier 2017,admission,2017-01-16,2017,Marché Alternatif de la Cote de la Bourse,TN0007730013,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9-sanimed,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_sanimed.pdf
Fbec99e6c01,ATELIER DU MEUBLE INTERIEURS A partir du mardi 14 mars 2017,admission,2017-03-15,2017,Marché Principal de la Cote de la Bourse,TN0007740012,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9-atelier-du-meuble-int%C3%A9rieurs,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_sami.pdf
F6b4c5e023b,TUNISIE VALEURS 1‐ A partir du lundi 24 septembre 2018,admission,2018-09-24,2018,Marché Principal de la Cote de la Bourse,TN0007790017,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9-tunisie-valeurs,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/opf_tval_2018.pdf
Fc3b521625d,Assurances Maghrebia 1‐ A partir du mardi 29 décembre 2020,admission,2020-12-30,2020,Marché Principal de la Cote de la Bourse,TN0007830011,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9-assurances-maghrebia,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/opf_resultat_ass_maghrebia_2020.pdf
F6ddde10149,SMART TUNISIE,admission,2021-12-27,2021,Marché Principal de la Cote de la Bourse,TNQPQXRODTH8,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9-smart-tunisie,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_smart_2021.pdf
F4d3d5fcb76,STA,admission,2022-03-11,2022,Marché Principal de la Cote de la Bourse,TNNGTFLC2986,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9-tunisienne-d%E2%80%99automobiles-%C2%AB-sta-%C2%BB,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_sta_2022.pdf
F9313592273,ASSURANCES MAGHREBIA VIE,admission,2022-12-28,2022,Marché Principal de la Cote de la Bourse,TNDKJ8O68X14,AMV,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9-assurances-maghrebia-vie,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/avis_resultat_ass_maghrebia_vie.pdf
F075c694be3,PRODUCTION AGRICOLE DE TEBOULBA,radiation,2023-11-03,2023,Marché,,,r%C3%A9sultat-de-loffre-publique-de-retrait-sur-les-actions-de-la-soci%C3%A9t%C3%A9-sopat,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opr_sopat_021123.pdf
