entity_id,canonical_name,gender,basis,n_female_titles,n_male_titles,n_untitled_rows
Paf5b4e9c39,Raoudha BEJAOUI**,F,1 female honorific,1,0,0
P3f33aec370,Rim LOUKIL,F,1 female honorific,1,0,0
Pe960d06d87,Rim Lakhoua (***),F,1 female honorific,1,0,0
P5099ca1591,Roukaya BEN YOUSSEF,F,1 female honorific,1,0,0
P3a1e6dfce3,Rym OUESLATI,F,2 female honorifics,2,0,0
P64be7092e7,SONIA HARROUCH Elle-même 31 décembre 2024 Membre du comité,F,1 female honorific,1,0,0
P48020e12e9,Saba Abdennadher,F,1 female honorific,1,0,0
Pe3bd098e24,Salma BABBOU,F,2 female honorifics,2,0,2
P5ba7ff761e,Salma ELLOUMI REKIK,F,12 female honorifics,12,0,0
Pc69f0c3403,Saloua ARAB ***,F,6 female honorifics,6,0,4
P1ccfb8894d,Samar Malla,F,1 female honorific,1,0,0
P24c4f35363,Samia KAROUI ZOUAOUI,F,1 female honorific,1,0,0
Pe84b7dd7fb,Samia TNANI,F,1 female honorific,1,0,0
Pe01dd80609,Samira BELKADHI,F,3 female honorifics,3,0,0
P5cbc638b45,Samira GHRIBI,F,3 female honorifics,3,0,0
Pd3e5dd3dad,Samira Maarouf Bouraoui,F,2 female honorifics,2,0,0
P4d857c70ae,Sara Masmoudi,F,1 female honorific,1,0,0
Pe1f39a2f25,Sarra REJEB,F,1 female honorific,1,0,0
P3404a2cd8f,Selmo Longor : Lo Générole d'Audit & Conseil,F,1 female honorific,1,0,0
P46bd5e3026,Sonia Ben Frej Larbi,F,1 female honorific,1,0,0
Pb981d0b6ed,Sonia REKIK,F,4 female honorifics,4,0,0
P751b7e14a6,Sonia SAHLI,F,2 female honorifics,2,0,0
Pafc5d7ce61,Sonya BOURICHA,F,5 female honorifics,5,0,0
P4999aa9d29,Souhir Taktak,F,7 female honorifics,7,0,0
P744710b73b,Thouraya ’ZOUGHI,F,1 female honorific,1,0,0
P3aea433801,Véronique de la BACHELERIE,F,2 female honorifics,2,0,0
Pa7639fb646,WAFA KHOUADJA SFAR,F,4 female honorifics,4,0,0
P635ef98175,Wided BoUcHaMaoUi,F,1 female honorific,1,0,0
P0aa4334ef2,Yosra FENDRI: Médecin,F,1 female honorific,1,0,0
P25d3b21847,amel BoUcHaMaoUi,F,1 female honorific,1,0,0
P6a419502c9,ABDELAZIZ BEN,M,3 male honorifics,0,3,0
P1a97728c44,ABDELAZIZ BEN YOUSSEF,M,4 male honorifics,0,4,0
Pb251ec9d98,ABDELLATIF BEN JEMAA,M,2 male honorifics,0,2,0
Pe6c0b2afb0,ABDERAZEK LOUATI,M,1 male honorific,0,1,0
P011412a744,ABDESSATTAR KRIMI,M,2 male honorifics,0,2,0
P42493c6aaf,AISSA HIDOUSSI,M,1 male honorific,0,1,0
Pc30e0b31c6,AMINE CHOUAIEB,M,3 male honorifics,0,3,0
Pb41997b054,Abdel Monem KOLSI,M,1 male honorific,0,1,1
Pb3c73afca3,Abdel Monerm KOLS|,M,1 male honorific,0,1,0
Pcc3504b7e5,Abdelaziz Mahfoudhi,M,2 male honorifics,0,2,0
P73f67e93e3,Abdelhafidh BEN OTHMAN,M,1 male honorific,0,1,0
P454b33b40f,Abdelhafidh KALLEL,M,4 male honorifics,0,4,0
P0476cd4d3e,Abdelhamid BOURICHA,M,1 male honorific,0,1,0
P2f788eea5f,Abdelhay CHOUIKHA,M,3 male honorifics,0,3,0
P872ff27584,Abdeljalil BEN MOSBAH,M,6 male honorifics,0,6,0
Pf1b1e2b93a,Abdeljelil BAHRI,M,1 male honorific,0,1,0
P823cfff25d,Abdelkader BOUDRIGA,M,2 male honorifics,0,2,0
P2e2c55f36c,Abdelkader HAMROUNI,M,2 male honorifics,0,2,1
Pafb6f9d5e7,Abdelkader TRAD,M,3 male honorifics,0,3,0
Pfd2d502218,Abdelkader ZGOULLI,M,1 male honorific,0,1,0
P59ab881878,Abdelkarim LASSOUED,M,1 male honorific,0,1,0
P418084a00d,Abdellatif EL FEKIH,M,1 male honorific,0,1,0
Pd7d37f781c,Abdellatif HAMROUNI,M,1 male honorific,0,1,0
P6e140ee298,Abdellatif HMAM,M,1 male honorific,0,1,0
Paa9617c262,Abdelmajid Aoudni,M,1 male honorific,0,1,0
P8a7267d626,Abdelwahab KALLEL,M,1 male honorific,0,1,0
P11cdaf986b,Abdelwaheb BEN AYED,M,3 male honorifics,0,3,0
Pc74b96cc62,Abdelwaheb Bellaj,M,2 male honorifics,0,2,0
Pb926b0a9fd,Abdelwaheb ESSAFI,M,2 male honorifics,0,2,2
P6748ee6472,Abdelwaheb KALLEL,M,3 male honorifics,0,3,1
P3a0ea052db,Abdelwahed GOUIDER,M,1 male honorific,0,1,0
P295d1e7f77,Abdenahmen MEZOUARI,M,1 male honorific,0,1,0
P563d8d581d,Abderraouf Klibi,M,3 male honorifics,0,3,1
P2ed80c4bfe,Abderrazak BEN AMMAR,M,14 male honorifics,0,14,0
P00c8b4fce8,Abderrazak LOUATI,M,2 male honorifics,0,2,0
P6a63ce3184,Abderrazak ZOUARI,M,5 male honorifics,0,5,2
Pe728940892,Abderrazek Louati,M,1 male honorific,0,1,0
P4de92fbaf5,Abdessatar Ben Ghedifa (**),M,1 male honorific,0,1,0
P27d97e67a7,Abdessatar KRIMI*’,M,5 male honorifics,0,5,0
P2f2fe49ecb,Abdessattar BEN GHEDIFA,M,8 male honorifics,0,8,0
P5888be63af,Abedelkerim MERDASSI,M,1 male honorific,0,1,0
Pc5d2ae3064,Abelaziz MAHFOUDHI,M,1 male honorific,0,1,0
P7980216789,Abou Hafs Amor Najai,M,7 male honorifics,0,7,0
Pfdcd44baca,Achraf Ayadi,M,5 male honorifics,0,5,0
Pda99b6b3ec,Achraf MEZNI,M,2 male honorifics,0,2,0
P74a788e566,Achref MEZNI,M,1 male honorific,0,1,0
P30b0e3c719,Adel ALAYA,M,3 male honorifics,0,3,0
P195a713c35,Adel GRAR,M,2 male honorifics,0,2,1
P58fe5af45e,Adel Goucha,M,4 male honorifics,0,4,0
P71784f0808,Adel HAMIDA (contrat conclu en 2019),M,1 male honorific,0,1,0
P77287472c8,Adel Zarrouk,M,4 male honorifics,0,4,0
Pbfe64a8d11,Afif BEN YAHIA,M,8 male honorifics,0,8,0
Pbc118f51e2,Ahmed ABDELKEFI,M,22 male honorifics,0,22,5
P7d7398ad22,Ahmed Adel BADRELDINE,M,1 male honorific,0,1,0
P87d856f279,Ahmed Adel Manaa,M,1 male honorific,0,1,0
P345b67e68e,Ahmed BEN GHAZI (Président du Conseil),M,1 male honorific,0,1,0
P8f336ecc93,Ahmed BEN MASSAOUD,M,2 male honorifics,0,2,0
P4db6635664,Ahmed BENALI,M,1 male honorific,0,1,0
P4d4c95a281,Ahmed BOUZGUENDA,M,2 male honorifics,0,2,1
P88b3bb3d8d,Ahmed Badreldine,M,4 male honorifics,0,4,0
Pf0212e1f0e,Ahmed Bcn Ghazi,M,1 male honorific,0,1,0
P752b80f270,Ahmed Ben GHAZI * (independent),M,1 male honorific,0,1,0
Pc96b684111,Ahmed Ben GHAZI * (indépendant),M,1 male honorific,0,1,0
P8081ddecf9,Ahmed Ben Ghazi,M,3 male honorifics,0,3,0
P2da701b178,Ahmed Ben JEMAA ** (Représentant des petits actionnaires),M,4 male honorifics,0,4,1
Pc74e537127,Ahmed EL KARM,M,10 male honorifics,0,10,26
Pd7b35e3352,Ahmed Farhat BEN GHAZI (Président du Conseil),M,3 male honorifics,0,3,0
P34299fc92e,Ahmed KALLEL,M,8 male honorifics,0,8,0
P91852baa7c,Ahmed KALLEL Administrateur Indépendant,M,2 male honorifics,0,2,0
Pde7c06c076,Ahmed Karim Haj,M,1 male honorific,0,1,0
P41abae83a4,Ahmed MAHJOUB,M,1 male honorific,0,1,1
P6c36e75b16,Ahmed MEDDEB,M,1 male honorific,0,1,0
P4a290a143d,Ahmed Mongi HORCHANI Administrateur Lui-même 2018 - 2020,M,2 male honorifics,0,2,0
P1611de248f,Ahmed Rjiba,M,5 male honorifics,0,5,0
P2ebb1d0c8f,Ahmed Trabelsi,M,20 male honorifics,0,20,0
Pab6e85d761,Al! GHODBANI,M,1 male honorific,0,1,0
P133caf543e,Alain MERLOT,M,3 male honorifics,0,3,0
Pe7fd2217b3,Alain MORFIN,M,8 male honorifics,0,8,0
P6e95ad9b4a,Alain SCHMITTER,M,2 male honorifics,0,2,0
Pbb4a8e6744,Alexandre MAYMAT,M,1 male honorific,0,1,0
P99d5f5eb77,Alexandre SAADA,M,1 male honorific,0,1,0
Pb80969cddd,Ali Abdallah,M,2 male honorifics,0,2,0
P369c775b6d,Ali Dhrif Bouzidi,M,3 male honorifics,0,3,0
P6bf9b54105,Ali Ismaïl,M,6 male honorifics,0,6,0
Pf252ffcb35,Ali Kooli,M,2 male honorifics,0,2,0
P15a70a347e,Ali OUERGHI,M,1 male honorific,0,1,0
Pa99e4d95fd,Ali Radhouani,M,3 male honorifics,0,3,0
Pdc984e96e0,Amenallah BEN TEMESSEK,M,1 male honorific,0,1,0
Pe0043b1471,Amine Allam,M,2 male honorifics,0,2,0
Pa4e1ef1f39,Ammar MARZOUGUI,M,1 male honorific,0,1,0
P7aff7621b3,Ammar TLILI,M,1 male honorific,0,1,0
