entity_id,canonical_name,year,pc_state_ownership,pc_state_board,pc_officeholder,pc_public_bank,pc_political_figure,pc_officeholder_former,pc_public_bank_equity,max_state_stake_pct,pc_narrow,pc_broad,n_evidence,n_evidence_ocr,categories
F5038da9360,BH BANK,2012,1,1,1,0,0,0,0,,1,1,8,0,civil_servant|state_organ_seat|state_shareholder
F5038da9360,BH BANK,2015,1,1,0,0,0,0,0,,0,1,5,1,state_organ_seat|state_shareholder
F5038da9360,BH BANK,2017,0,1,1,0,0,1,0,,0,1,3,0,civil_servant|state_organ_seat
F5038da9360,BH BANK,2018,0,1,1,0,0,1,0,,0,1,4,0,civil_servant|ministerial_adviser|state_organ_seat
F5038da9360,BH BANK,2021,0,1,1,0,0,0,0,,1,1,3,0,ministerial_adviser|state_organ_seat
F6e61ff4d56,BH BF *,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F5d94d34b35,BH LEASING,2022,0,0,0,1,0,0,0,,0,1,2,0,public_bank_seat
F5d94d34b35,BH LEASING,2025,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F8576e881f3,BH TECHNOLOGIE,2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F286e0a531c,BHO,2014,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F286e0a531c,BHO,2015,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F96ec05b9bb,BHP,2014,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F96ec05b9bb,BHP,2015,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F7997cc7202,BIAT,2019,0,0,1,0,0,1,0,,0,1,4,0,minister|secretary_of_state
F7997cc7202,BIAT,2020,0,0,1,0,0,1,0,,0,1,3,0,governor|minister
Ff23d50c4d4,BIO TECHNOPOLE SIDI THABET,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F81e9d7dc1b,"BIZERTA RESORT""",2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F1be7caffd0,BM TECHNOLOGIE,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F5ccaee3c36,BNA,2008,1,1,0,1,0,0,0,,0,1,9,0,public_bank_interlock|state_organ_seat|state_shareholder
F5ccaee3c36,BNA,2013,0,1,0,0,0,0,0,,0,1,4,4,state_organ_seat
F5ccaee3c36,BNA,2014,0,1,0,0,0,0,0,,0,1,5,5,state_organ_seat
F5ccaee3c36,BNA,2015,0,0,1,0,0,0,0,,1,1,3,3,state_representative
F5ccaee3c36,BNA,2016,0,0,1,0,0,0,0,,1,1,6,6,state_representative
F5ccaee3c36,BNA,2017,1,0,1,0,0,0,0,,1,1,10,4,state_representative|state_shareholder
Fc781527303,BNA ASSURANCE,2025,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fe838dfaeec,BONNA Tunisie,2006,0,0,0,1,0,0,0,,0,1,2,0,public_bank_seat
Fe838dfaeec,BONNA Tunisie,2007,0,0,0,1,0,0,0,,0,1,2,0,public_bank_seat
Fd2d677736e,BT,2024,0,0,1,0,0,1,0,,0,1,1,0,governor
Fdfe226c860,BTE (ADP),2008,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fdfe226c860,BTE (ADP),2010,0,1,1,0,0,0,0,,1,1,13,0,cabinet_staff|central_bank|ministry_organ|state_organ_seat
Fdfe226c860,BTE (ADP),2011,0,1,1,0,0,0,0,,1,1,13,0,cabinet_staff|ministry_organ|state_organ_seat
Fdfe226c860,BTE (ADP),2016,1,1,1,0,0,0,0,,1,1,7,0,cabinet_staff|state_organ_seat|state_shareholder
Fdfe226c860,BTE (ADP),2017,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fe851154c1d,BTK,2009,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fe851154c1d,BTK,2011,1,0,1,0,0,0,0,,1,1,4,0,ministry_organ|state_shareholder
Fe851154c1d,BTK,2014,1,0,1,0,0,0,0,,1,1,6,1,ministry_organ|state_shareholder
Fe851154c1d,BTK,2016,1,0,1,0,0,0,0,,1,1,5,0,ministry_organ|state_shareholder
Fe851154c1d,BTK,2024,1,1,1,0,0,0,0,,1,1,5,0,ministry_organ|state_organ_seat|state_shareholder
Fe851154c1d,BTK,2025,1,1,0,0,0,0,0,,0,1,2,0,state_organ_seat|state_shareholder
Fe11432a6d8,BTK LEASING,2021,0,0,0,1,0,0,0,,0,1,2,0,public_bank_seat
F16c513851c,BTQI,1997,0,0,1,0,0,0,0,,1,1,1,0,state_representative
F0e6e83438c,BUAT,2024,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F0e6e83438c,BUAT,2026,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
Fa1bfa4d335,"Bourse des Valeurs Mobilières N""gz/s4 du 29 avril lgg2",1990,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F6fb284d35e,C.NS.S,2005,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
F4998732b7b,CAPITALE -BS,1996,0,1,0,0,0,0,0,,0,1,2,0,state_organ_seat
Ff9b9132a52,CARTHAGE CEMENT,2019,1,0,0,0,0,0,0,,0,1,1,0,state_shareholder
F5c3d78cc15,CDC DEVELOPPEMENT,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F2f31635f4f,"CHERAIET""",2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F36bd12b853,CIE HOTELIERE DES CENTRES VILLES ( HOTEL ANDALOUS),2009,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F696d1a681f,"CIE MED. DE TOURISME ""HOTEL DALIA""",2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fd228d2488b,CIL,2010,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F0590bcb4f4,CLUB),2019,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F96c49b5f3a,CTAMA,2008,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F901f29da5b,CTAMA IMMOBILIERE,2024,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F901f29da5b,CTAMA IMMOBILIERE,2026,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F8dbbc403f5,Caisse Tunisienne des Assurances Mutuelles Agricoles,2013,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
Fb5d11c2f49,"Ce comité, composé de 4 membres et de tout",2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
F88b7950445,Cette amélioration s'est reflétée sur les indicateurs,2017,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
Fa733927bd0,Cette cellule est chargée de coordonner,2012,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
F8b4a3be494,Chef du Gouvernement chargé des dossiers,2012,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
Fe123d28fed,Confidentialité,2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
