spell_id,person_id,person_label,org_id,org_label,role_canonical,layer,tie_class,onset,terminus,onset_lo,onset_hi,terminus_lo,terminus_hi,left_censored,right_censored,onset_interval_censored,terminus_interval_censored,onset_rule,terminus_rule,onset_event_id,terminus_event_id,expected_end_date,duration_days,duration_lo,duration_hi,evidence_n,evidence_tier,link_status,confidence,needs_review
SP_cbb5b337edddb070b9b8,PERSON_AMAR_MOHAMED,MOHAMED AMMAR,CO_APEA,APEA,gerant,corporate,corporate_officer,2007-06-27,,2007-06-27,2007-06-27,,2012-12-31,False,True,False,False,event:appointed,,EV_862f779f24098e50f3ef,,,,,,1,gazette_dated,resolved,0.64,False
SP_833160f78c294b59c506,PERSON_SEGNERE_JEAN_PIERE,JEAN PIERRE SEGNERE,CO_BIOPHYMED_MAGHREB,BIOPHYMED MAGHREB,gerant,corporate,corporate_officer,2007-12-21,,2007-12-21,2007-12-21,,2012-12-31,False,True,False,False,event:appointed,,EV_537cc5fdf678ab23bcd3,,,,,,1,gazette_dated,resolved,0.675,False
SP_460d1249871049631cf9,PERSON_BOUFATEH_BECHIR,BECHIR BOUFATEH,CO_IDEALE_CONFECTION,IDEALE CONFECTION,gerant,corporate,corporate_officer,2007-11-20,,2007-11-20,2007-11-20,,2012-12-31,False,True,False,False,event:appointed,,EV_0aba5ffbeed4e9654ad7,,,,,,1,gazette_dated,resolved,0.675,False
SP_6f1af6cf7fed70f8f5a8,PERSON_HOUAS_MEHDI,MEHDI HOUAS,CO_TALAN_TUNISIE,TALAN TUNISIE,gerant,corporate,corporate_officer,2007-12-14,,2007-12-14,2007-12-14,,2012-12-31,False,True,False,False,event:appointed,,EV_386063669dceda8ce8c3,,,,,,1,gazette_dated,resolved,0.675,False
SP_257ca96511522d66f33c,PERSON_KAMOUN_SOFIEN,SOFIEN KAMMOUN,CO_ZINC_TUNISIA,ZINC TUNISIA,gerant,corporate,corporate_officer,2007-12-25,,2007-12-25,2007-12-25,,2012-12-31,False,True,False,False,event:appointed,,EV_557587a8fe7befbfd847,,,,,,1,gazette_dated,resolved,0.675,False
SP_3a3968075a294b7e0d08,PERSON_BOUATAY_NEJIB,NEJIB BOUATAY,CO_BOUATAY_CONFECTION_SOBOCO,SOCIETE BOUATAY CONFECTION SOBOCO,gerant,corporate,corporate_officer,2007-12-27,,2007-12-27,2007-12-27,,2012-12-31,False,True,False,False,event:appointed,,EV_72c01c499c74a0379eb4,,,,,,1,gazette_dated,resolved,0.675,False
SP_589d996ca81f68247b61,PERSON_MABROUK_AMEL,AMEL MABROUK,CO_IMMOBILIERE_TUNISIENNE,SOCIETE IMMOBILIERE TUNISIENNE,pdg,corporate,corporate_officer,2007-08-27,2008-08-28,2007-08-27,2007-08-27,2007-08-27,2008-08-28,False,False,False,True,event:appointed,org_dissolved,EV_6d650fbfd7ef95cc0ea6,,,367,0,367,1,gazette_dated,resolved,0.63,False
SP_74f0f15217eb969cfeb0,PERSON_MABROUK_AMEL,AMEL MABROUK,CO_PATRIMOINE_SICAF,LE PATRIMOINE SICAF,pdg,corporate,corporate_officer,,2007-06-11,,2007-06-11,2007-06-11,2007-06-11,True,False,True,False,exit_implies_earlier_onset,event:resigned,,EV_b0cc8883209161fce1c2,,,0,,1,gazette_dated,resolved,0.7718,False
SP_77d88207bb58718a7b92,PERSON_MABROUK_FARES,FARES MABROUK,CO_PATRIMOINE_SICAF,LE PATRIMOINE SICAF,pdg,corporate,corporate_officer,,2007-06-11,,2007-06-11,2007-06-11,2007-06-11,True,False,True,False,exit_implies_earlier_onset,event:resigned,,EV_259da3076d1f1d1451be,,,0,,1,gazette_dated,resolved,0.7493,False
SP_02299dcd5db6770410c2,PERSON_MABROUK_FARES,FARES MABROUK,CO_PATRIMOINE_SICAF,LE PATRIMOINE SICAF,pdg,corporate,corporate_officer,2011-04-06,,2011-04-06,2011-04-06,,2012-12-31,False,True,False,False,event:appointed,,EV_ddc356a0ca987d5deaf6,,,,,,1,gazette_dated,resolved,0.7493,False
SP_40dc6e404299c4ab297b,PERSON_DJILANI_HEDI,HEDI DJILANI,CO_CRJ_CONSTRUCTION,CRJ CONSTRUCTION,pdg,corporate,corporate_officer,,,,2007-04-16,,2012-12-31,True,True,True,False,renewal_implies_earlier_onset,,EV_a1b22f00528c5b5572e3,,,,,,2,gazette_dated,resolved,0.7425,False
SP_468867191f0ba163edca,PERSON_ESEGHAIER_ABDELKADER,ABDELKADER ESSEGHAIER,CO_CRJ_CONSTRUCTION,CRJ CONSTRUCTION,dga,corporate,corporate_officer,,2008-12-22,,2007-04-16,2008-12-22,2008-12-22,True,False,True,False,renewal_implies_earlier_onset,event:resigned,EV_07434a934a2a7c4ad4f6,EV_4b43b9a8ecd18876d391,,,616,,2,gazette_dated,resolved,0.765,False
SP_ed9f9fc75d9a5e6e79e4,PERSON_RINALDI_CLAUDIO_BIOLCATI,CLAUDIO BIOLCATI RINALDI,CO_TUNISIAN_ITALIAN_CONSULTING_GROUP,TUNISIAN ITALIAN CONSULTING GROUP,gerant,corporate,corporate_officer,2007-12-13,,2007-12-13,2007-12-13,,2012-12-31,False,True,False,False,event:appointed,,EV_b04884f5239c49c490c3,,,,,,1,gazette_dated,resolved,0.675,False
SP_b99005c49d6fde283f33,PERSON_CHAHMI_TAHER,TAHER CHAHMI,CO_IMPRIMERIE_PAPETERIE_ETIQUETTES_CHAHMI,IMPRIMERIE PAPETERIE ET ETIQUETTES CHAHMI IPEC,gerant,corporate,corporate_officer,2007-12-31,,2007-12-31,2007-12-31,,2012-12-31,False,True,False,False,event:appointed,,EV_e15b75deda588dec5d13,,,,,,1,gazette_dated,resolved,0.675,False
SP_73c3e9ec0aabbb33e742,PERSON_MHADHBI_MOHSEN,MOHSEN MHADHBI,CO_FIMCO_INTERNATIONAL,FIMCO INTERNATIONAL,gerant,corporate,corporate_officer,2007-12-24,,2007-12-24,2007-12-24,,2012-12-31,False,True,False,False,event:appointed,,EV_cecc9d775951d51fb2e0,,,,,,1,gazette_dated,resolved,0.63,False
SP_4d31386095ac61641d1c,PERSON_DERBEL_FAYCEL,FAYCEL DERBEL,CO_LOLITA,SOCIETE LOLITA,commissaire_aux_comptes,corporate,corporate_officer,,,,2007-12-10,,2012-12-31,True,True,True,False,renewal_implies_earlier_onset,,EV_a0948cb9da4de5c896d3,,,,,,1,gazette_dated,resolved,0.72,False
SP_0cc05bf7b22e50aca7c8,PERSON_MECHIM_MUSTAPHA,MUSTAPHA MECHIM,CO_TUNIFOOD,TUNIFOOD,representant,corporate,corporate_officer,2007-10-01,,2007-10-01,2007-10-01,,2012-12-31,False,True,False,False,event:appointed,,EV_0d8cf662a419a5a2f4ba,,,,,,1,gazette_dated,resolved,0.63,False
SP_cc1efd9cb116b6dbaa5a,PERSON_MZABI_MOHAMED_MONCEF,MOHAMED MONCEF MZABI,CO_IMMOBILIERE_PROVIDENCE,SOCIETE IMMOBILIERE PROVIDENCE,gerant,corporate,corporate_officer,2007-04-04,,2007-04-04,2007-04-04,,2012-12-31,False,True,False,False,event:appointed,,EV_e068bc11f55c29cbe1f9,,,,,,1,gazette_dated,resolved,0.675,False
SP_705f93b1ba6775d226b9,PERSON_MABROUK_AMEL_BOCHRA,AMEL BOCHRA MABROUK,CO_A_PART,SOCIETE A PART,gerant,corporate,corporate_officer,2008-01-07,,2008-01-07,2008-01-07,,2012-12-31,False,True,False,False,event:appointed,,EV_1c50bf1e37c97fda6b29,,,,,,1,gazette_dated,resolved,0.675,False
SP_31fa8f9ad95e98d8e6da,PERSON_RABAOUI_MAHMOUD,MAHMOUD RABAOUI,CO_CRACOCARTE_TUNISIE,CRACOCARTE TUNISIE,gerant,corporate,corporate_officer,2007-08-11,,2007-08-11,2007-08-11,,2012-12-31,False,True,False,False,event:appointed,,EV_4cf9cbd7d06eec4288b1,,,,,,1,gazette_dated,resolved,0.675,False
SP_c7f85d7e1f01d4b45305,PERSON_ELOUMI_YADH,YADH ELLOUMI,CO_COMPAGNIE_HOTELIERE_CENTRES_VILLES,COMPAGNIE HOTELIERE DES CENTRES VILLES,commissaire_aux_comptes,corporate,corporate_officer,,,,2006-02-01,,2012-12-31,True,True,True,False,renewal_implies_earlier_onset,,EV_454ffe9cec88758be426,,,,,,1,gazette_dated,ambiguous,0.5998,True
SP_d4e3c025d2970fb984d8,PERSON_BENSEDRINE_KARIM,KARIM BEN-SEDRINE,CO_INTERIMA,INTERIMA,gerant,corporate,corporate_officer,2007-10-25,,2007-10-25,2007-10-25,,2012-12-31,False,True,False,False,event:appointed,,EV_1af0b95d9a6815005a76,,,,,,1,gazette_dated,resolved,0.675,False
SP_931c2d045ef3fd4b14a0,PERSON_SLAMA_MOHAMED,MOHAMED SLAMA,CO_MONDE_DELICIEUX_SOMODE,LE MONDE DELICIEUX SOMODE,gerant,corporate,corporate_officer,2008-01-11,,,2008-01-11,,2012-12-31,False,True,False,False,event:appointed,,EV_de860223d8ae7670c70b,,,,,,1,gazette_dated,resolved,0.675,False
SP_08970deb411a662a18c8,PERSON_BENAYED_RAFIK,RAFIK BEN-AYED,ORGMENTION_Dénomination** : Energy Trading Company E T C » - SA,Dénomination** : Energy Trading Company E T C » - SA,administrateur,corporate,corporate_officer,2007-12-28,,2007-12-28,2007-12-28,,2012-12-31,False,True,False,False,event:appointed,,EV_32403e4edb9e722d1e97,,2010-12-27,,,,1,gazette_dated,ambiguous,0.4275,True
SP_63671c654cd919ad427f,PERSON_BENAYED_ABDESALEM,ABDESSALEM BEN-AYED,ORGMENTION_Dénomination** : Energy Trading Company E T C » - SA,Dénomination** : Energy Trading Company E T C » - SA,pdg,corporate,corporate_officer,2007-12-28,,2007-12-28,2007-12-28,,2012-12-31,False,True,False,False,event:appointed,,EV_9b0160218477c476fc9d,,,,,,1,gazette_dated,ambiguous,0.4275,True
SP_274f2e083fe28d987ad8,PERSON_JEBRI_YOUNES,YOUNES JEBRI,CO_JBM_ORGANISATION,JBM ORGANISATION,gerant,corporate,corporate_officer,2007-12-17,,2007-12-17,2007-12-17,,2012-12-31,False,True,False,False,event:appointed,,EV_1c26c05f08a636456a43,,,,,,1,gazette_dated,resolved,0.675,False
SP_f87288262272fe872d18,PERSON_HAMAMI_MOUNIR,MOUNIR HAMMAMI,CO_HOLY_INFORMATIQUE,HOLY INFORMATIQUE,gerant,corporate,corporate_officer,2007-12-27,,2007-12-27,2007-12-27,,2012-12-31,False,True,False,False,event:appointed,,EV_ad4e5c4cd21c6c761f01,,,,,,1,gazette_dated,resolved,0.675,False
SP_4f079baa442b6f3420de,PERSON_BRAHEM_LOTFI,LOTFI BRAHEM,CO_BRIQUETERIE_BRAHEM_COMPAGNIE,BRIQUETERIE BRAHEM ET COMPAGNIE BBC,gerant,corporate,corporate_officer,2007-12-31,,2007-12-31,2007-12-31,,2012-12-31,False,True,False,False,event:appointed,,EV_68d07486ef2c6c1577fe,,,,,,1,gazette_dated,resolved,0.675,False
SP_709d6ebf477454cf16ab,PERSON_ESAFI_NEJIB,NEJIB ESSAFI,CO_INTERNATIONAL_SICAR,INTERNATIONAL SICAR,dg,corporate,corporate_officer,,,,2008-01-11,,2012-12-31,True,True,True,False,renewal_implies_earlier_onset,,EV_8d3dc11a7096ab43e781,,,,,,2,gazette_dated,ambiguous,0.6593,True
SP_f5de22a4a5c584304b7e,PERSON_SLAMA_ALI,ALI SLAMA,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,GENERALE INDUSTRIELLE ALIMENTAIRE SLAMA GIAS,administrateur,corporate,corporate_officer,2007-12-17,,2007-12-17,2007-12-17,,2012-12-31,False,True,False,False,event:appointed,,EV_604d24833a935845694d,,,,,,2,gazette_dated,resolved,0.855,False
SP_822254c4bd97aa71a121,PERSON_SLAMA_FAOUZIA_KHALFALAH,FAOUZIA KHALFALLAH SLAMA,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,GENERALE INDUSTRIELLE ALIMENTAIRE SLAMA GIAS,administrateur,corporate,corporate_officer,2007-12-17,,2007-12-17,2007-12-17,,2012-12-31,False,True,False,False,event:appointed,,EV_9a6df77a0bcf19db49f5,,,,,,2,gazette_dated,resolved,0.9,False
SP_47efdada3699a4906130,PERSON_SLAMA_GHASEN,GHASSEN SLAMA,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,GENERALE INDUSTRIELLE ALIMENTAIRE SLAMA GIAS,administrateur,corporate,corporate_officer,2007-12-17,,2007-12-17,2007-12-17,,2012-12-31,False,True,False,False,event:appointed,,EV_305b44512374fecd8bdd,,,,,,1,gazette_dated,ambiguous,0.54,True
SP_6ffe683f292976934d40,PERSON_SLAMA_CHIHEBEDINE,CHIHEBEDDINE SLAMA,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,GENERALE INDUSTRIELLE ALIMENTAIRE SLAMA GIAS,administrateur,corporate,corporate_officer,2007-12-17,,2007-12-17,2007-12-17,,2012-12-31,False,True,False,False,event:appointed,,EV_8a5ae5666ae78c917e39,,,,,,2,gazette_dated,resolved,0.9,False
SP_a5314bde48f17be55ac7,PERSON_SLAMA_ALI,ALI SLAMA,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,GENERALE INDUSTRIELLE ALIMENTAIRE SLAMA GIAS,president_ca,corporate,corporate_officer,,,,2007-12-17,,2012-12-31,True,True,True,False,renewal_implies_earlier_onset,,EV_a242d27bcebab270557b,,,,,,2,gazette_dated,resolved,0.855,False
SP_3218a05f5b66ad7f9bdf,PERSON_SLAMA_FAOUZIA_KHALFALAH,FAOUZIA KHALFALLAH SLAMA,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,GENERALE INDUSTRIELLE ALIMENTAIRE SLAMA GIAS,dg,corporate,corporate_officer,,,,2007-12-17,,2012-12-31,True,True,True,False,renewal_implies_earlier_onset,,EV_a2ab5e8fa8677314899c,,,,,,2,gazette_dated,resolved,0.9,False
SP_aabf4469c05e5cdfe5d6,PERSON_SLAMA_GHASEN,GHASSEN SLAMA,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,GENERALE INDUSTRIELLE ALIMENTAIRE SLAMA GIAS,dga,corporate,corporate_officer,,,,2007-12-17,,2012-12-31,True,True,True,False,renewal_implies_earlier_onset,,EV_e2e1ec6edc77bc3ec996,,,,,,1,gazette_dated,ambiguous,0.54,True
SP_c724ff28ef14aeca9999,PERSON_BENTANFOUS_CHOKRI,CHOKRI BEN-TANFOUS,CO_CAP_TAGUERMESS_CENTER,CAP TAGUERMESS CENTER,administrateur,corporate,corporate_officer,,,,2007-06-09,,2012-12-31,True,True,True,False,renewal_implies_earlier_onset,,EV_7c0a08b0f85f1101ff04,,,,,,1,gazette_dated,ambiguous,0.5985,True
SP_14e1f57e4ec3da121522,PERSON_BENTANFOUS_MOHAMED_NEJIB,MOHAMED NEJIB BEN-TANFOUS,CO_CAP_TAGUERMESS_CENTER,CAP TAGUERMESS CENTER,administrateur,corporate,corporate_officer,,,,2007-06-09,,2012-12-31,True,True,True,False,renewal_implies_earlier_onset,,EV_0e2a93ecf65b80cabeb3,,,,,,2,gazette_dated,resolved,0.6435,False
SP_a9ea51474ccbf09035e5,PERSON_BENTANFOUS_CHAWKI,CHAWKI BEN-TANFOUS,CO_CAP_TAGUERMESS_CENTER,CAP TAGUERMESS CENTER,administrateur,corporate,corporate_officer,,,,2007-06-09,,2012-12-31,True,True,True,False,renewal_implies_earlier_onset,,EV_bf1a1629f08e4f3bc3f0,,,,,,1,gazette_dated,resolved,0.6435,False
SP_d98dd47e98f4c72cb475,PERSON_BENTANFOUS_CHOKRI,CHOKRI BEN-TANFOUS,CO_CAP_TAGUERMESS_CENTER,CAP TAGUERMESS CENTER,pdg,corporate,corporate_officer,,,,2007-06-09,,2012-12-31,True,True,True,False,renewal_implies_earlier_onset,,EV_40766b3422c19a3f69c5,,,,,,1,gazette_dated,ambiguous,0.5985,True
SP_01a3130a329b8973aa37,PERSON_CHAABANE_TIJANI,TIJANI CHAABANE,CO_DORCAS_NUTRITION,DORCAS NUTRITION,commissaire_aux_comptes,corporate,corporate_officer,2007-08-04,2009-07-11,2007-08-04,2007-08-04,2007-08-04,2009-07-11,False,False,False,True,event:appointed,org_dissolved,EV_5c362953e08225aaf991,,2010-08-03,707,0,707,1,gazette_dated,resolved,0.63,False
SP_d02a48bc28cdc9b2ec0f,PERSON_BENSEDRINE_SAMI,SAMI BEN-SEDRINE,CO_BOUHAIRA_INTERNATIONNAL_TRADING,BOUHAIRA INTERNATIONNAL TRADING,cogerant,corporate,corporate_officer,2007-11-10,,2007-11-10,2007-11-10,,2012-12-31,False,True,False,False,event:appointed,,EV_62cf7cdd53b6d072ed6e,,,,,,1,gazette_dated,resolved,0.63,False
SP_a93549fe84308600ca04,PERSON_HAMAMI_YASER,YASSER HAMMAMI,CO_IDPROD,IDPROD,gerant,corporate,corporate_officer,2008-01-12,,2008-01-12,2008-01-12,,2012-12-31,False,True,False,False,event:appointed,,EV_52312968e860ee4bc5c0,,,,,,1,gazette_dated,resolved,0.675,False
SP_606914394c6e4130033b,PERSON_ZAHAF_SLAHEDINE,SLAHEDDINE ZAHAF,CO_TUNISIENNE_FABRICATION_PEINTURE_SOTUFAP,SOCIETE TUNISIENNE DE FABRICATION DE PEINTURE SOTUFAP,commissaire_aux_comptes,corporate,corporate_officer,2007-12-10,,2007-12-10,2007-12-10,,2012-12-31,False,True,False,False,event:appointed,,EV_02120f78753da3f918da,,,,,,1,gazette_dated,ambiguous,0.6014,True
SP_10dcff16c780758d786a,PERSON_ABDELKEFI_AHMED,AHMED ABDELKEFI,CO_TUNINVEST_SERVICES,TUNINVEST SERVICES,president_ca,corporate,corporate_officer,2007-11-25,,2007-11-25,2007-11-25,,2012-12-31,False,True,False,False,event:appointed,,EV_a64b67a0b2a1ab1d0f93,,,,,,1,gazette_dated,resolved,0.72,False
SP_b53952e5e784797753ae,PERSON_MBAREK_MOHAMED_AZIZ,MOHAMED AZIZ MBAREK,CO_TUNINVEST_SERVICES,TUNINVEST SERVICES,dg,corporate,corporate_officer,2007-11-25,,2007-11-25,2007-11-25,,2012-12-31,False,True,False,False,event:appointed,,EV_48d164b0489132bbc67d,,2010-11-24,,,,1,gazette_dated,resolved,0.7633,False
SP_41a08182f5e90fecdb16,PERSON_JABRI_IMED,IMED JABRI,CO_MULTI_SERVICES_AUTOS,SOCIETE MULTI SERVICES AUTOS,gerant,corporate,corporate_officer,2007-12-10,,2007-12-10,2007-12-10,,2012-12-31,False,True,False,False,event:appointed,,EV_34e9464b2474ab2b0edb,,,,,,1,gazette_dated,resolved,0.675,False
SP_a883fd797b2855c18ff0,PERSON_NASR_MOHAMED,MOHAMED NASR,CO_PAPER_CUP,PAPER CUP,gerant,corporate,corporate_officer,2008-01-03,,2008-01-03,2008-01-03,,2012-12-31,False,True,False,False,event:appointed,,EV_3cdc30a4b84fa8953ce2,,,,,,1,gazette_dated,resolved,0.675,False
SP_7a41f5ca45e40e6bcec1,PERSON_AMDOUNI_MOURAD,MOURAD AMDOUNI,CO_TECHNOLOGY_ASSOCIATES,SOCIETE TECHNOLOGY ASSOCIATES,gerant,corporate,corporate_officer,2007-12-03,,2007-12-03,2007-12-03,,2012-12-31,False,True,False,False,event:appointed,,EV_9e717ba719a5fd510ab7,,,,,,1,gazette_dated,ambiguous,0.6278,True
SP_fa9751d15e9bbac1633f,PERSON_SASI_MOHAMED,MOHAMED SASSI,CO_MODERNE_CARRIERES_SABLE,SOCIETE MODERNE DES CARRIERES DE SABLE,associe,corporate,corporate_officer,2008-01-04,,2008-01-04,2008-01-04,,2012-12-31,False,True,False,False,event:appointed,,EV_0b18201dcb88108df5be,,,,,,1,gazette_dated,resolved,0.72,False
SP_3399a6516a4336bfb32f,PERSON_FOUGHALI_YOUSEF,YOUSSEF FOUGHALI,CO_HUILE_KHADIJA,HUILE KHADIJA,commissaire_aux_comptes,corporate,corporate_officer,2008-01-18,,2008-01-18,2008-01-18,,2012-12-31,False,True,False,False,event:appointed,,EV_00a4130a2f95a596d206,,,,,,1,gazette_dated,resolved,0.63,False
SP_f47b7c338b9502d8ab98,PERSON_TRIKI_MOHAMED,MOHAMED TRIKI,CO_BGI_BONNE_GOUVERNANCE_INFORMATIQUE,BGI BONNE GOUVERNANCE INFORMATIQUE,gerant,corporate,corporate_officer,2007-12-18,,2007-12-18,2007-12-18,,2012-12-31,False,True,False,False,event:appointed,,EV_fb356ee5f707ce2d2891,,,,,,1,gazette_dated,resolved,0.6604,False
SP_224c25149a6de32af7d1,PERSON_BENHRIZ_KHALED,KHALED BEN-HRIZ,CO_FOOD_DECORATION,FOOD DECORATION,gerant,corporate,corporate_officer,2007-12-13,,2007-12-13,2007-12-13,,2012-12-31,False,True,False,False,event:appointed,,EV_b3e2ba5b35bcda186bf4,,,,,,1,gazette_dated,resolved,0.654,False
SP_72a278ade065e5c9a34f,PERSON_MABROUK_YOUSEF,YOUSSEF MABROUK,CO_NOVA_MEUBLE,NOVA MEUBLE,unspecified,corporate,corporate_officer,2007-07-04,,2007-07-04,2007-07-04,,2012-12-31,False,True,False,False,event:appointed,,EV_9f7e184507a7be0482ed,,2010-07-03,,,,1,gazette_dated,ambiguous,0.4487,True
SP_4447632ae6c0b6b04380,PERSON_ZAR_ESIA,ESSIA ZAR,CO_EAUX_MINERALES_BEJA_RAYAN,SOCIETE DES EAUX MINERALES BEJA RAYAN,commissaire_aux_comptes,corporate,corporate_officer,2007-11-01,,2007-11-01,2007-11-01,,2012-12-31,False,True,False,False,event:appointed,,EV_4d5787d5983b24fe7936,,2010-10-31,,,,1,gazette_dated,resolved,0.63,False
SP_f3eeddbee3da7d9b642d,PERSON_FRANCESCO_NIGRO_COSIMO,NIGRO COSIMO FRANCESCO,CO_AIR_PRESS_CONSULTING,SOCIETE AIR PRESS CONSULTING,gerant,corporate,corporate_officer,2007-07-11,,2007-07-11,2007-07-11,,2012-12-31,False,True,False,False,event:appointed,,EV_bc69eea6116919b62e82,,,,,,1,gazette_dated,resolved,0.675,False
SP_712402841115f8ba380b,PERSON_ZOUARI_NEJIB,NEJIB ZOUARI,CO_SMC_CONFECTION,SMC CONFECTION,gerant,corporate,corporate_officer,2008-01-08,,2008-01-08,2008-01-08,,2012-12-31,False,True,False,False,event:appointed,,EV_6fee1ac4836de90d87fb,,,,,,1,gazette_dated,resolved,0.675,False
