vertex.id,node_id,label,node_type
11783,CO_TRADECO,TRADECO,ORG
11784,CO_TUNISIA_TECH,TUNISIA TECH,ORG
11785,CO_ZEINA_FOOD_TUNISIA,ZEINA FOOD TUNISIA,ORG
11786,PERSON_NASR_KHALED,KHALED NASR,PERSON
11787,PERSON_GIUSEPE_GIANMARIO,GIANMARIO GIUSEPPE,PERSON
11788,CO_AGROLIVE_SERVICES,AGROLIVE SERVICES,ORG
11789,PERSON_SASI_KHALIL,KHALIL SASSI,PERSON
11790,CO_NEXTLAB_SOLUTIONS,NEXTLAB SOLUTIONS,ORG
11791,PERSON_MHIRI_MAHBOUBA,MAHBOUBA MHIRI,PERSON
11792,PERSON_GARGOURI_ADEL,ADEL GARGOURI,PERSON
11793,PERSON_KILANI_SAMIR,SAMIR KILANI,PERSON
11794,CO_ARABE_FINITION_REVETEMENT_SAFIR,ARABE DE FINITION ET DE REVETEMENT SAFIR,ORG
11795,CO_DORII_TRANSPORT_MARCHANDISE,DORII DE TRANSPORT DE MARCHANDISE,ORG
11796,PERSON_HAMAMI_ABDELKARIM,ABDELKARIM HAMMAMI,PERSON
11797,CO_HAPPY_EVENTS_PARK,SOCIETE HAPPY EVENTS PARK,ORG
11798,PERSON_HAMAMI_RIHAB,RIHAB HAMMAMI,PERSON
11799,CO_AMANI_ALU,AMANI ALU,ORG
11800,PERSON_CHAABENE_GHASEN_BENHEDI,GHASSEN BEN-HEDI CHAABENE,PERSON
11801,CO_CHAABANE_COLLECTE_DECHETS_GMC,CHAABANE COLLECTE DES DECHETS GMC,ORG
11802,PERSON_CHAABOUNI_ANIS,ANIS CHAABOUNI,PERSON
11803,"ORGMENTION_ASSOCIATIONS, PARTIS, SYNDICATS ET SYNDICS","ASSOCIATIONS, PARTIS, SYNDICATS ET SYNDICS",ORG
11804,PERSON_MANSOURI_ALA,ALA MANSOURI,PERSON
11805,PERSON_DELAI_SIWAR,SIWAR DELLAI,PERSON
11806,PERSON_MANSOURI_NIHEL,NIHEL MANSOURI,PERSON
11807,PERSON_CHAABANE_AHMED_LARBI,AHMED LARBI CHAABANE,PERSON
11808,CO_CLEAN_WORD,CLEAN WORD,ORG
11809,CO_PROMOTION_IMMOBILIERE_INDUSTRIELLE_SUD_SOPISUD,SOCIETE DE PROMOTION IMMOBILIERE INDUSTRIELLE DU SUD SOPISUD,ORG
11810,PERSON_TRIKI_NESRINE,NESSRINE TRIKI,PERSON
11811,PERSON_KAMOUN_SAMEH,SAMEH KAMMOUN,PERSON
11812,CO_SAFA_BUISNESS,SAFA BUISNESS,ORG
11813,PERSON_JERAD_ABDELMAJID_KILANI,ABDELMAJID KILANI JERAD,PERSON
11814,CO_ITALO_TUNISIENNE_CONFECTION,ITALO TUNISIENNE DE CONFECTION ITC,ORG
11815,PERSON_HAMROUNI_LATIFA,LATIFA HAMROUNI,PERSON
11816,CO_MEGA_SERVICES,MEGA SERVICES,ORG
11817,CO_CLEAN_ENVIRONNEMENT,CLEAN ENVIRONNEMENT,ORG
11818,CO_MRH_INTERNATIONAL_TERADING,MRH INTERNATIONAL TERADING,ORG
11819,CO_AL_DO_VI_PELLETERIA_ITALIA,AL.DO.VI. PELLETERIA ITALIA,ORG
11820,PERSON_VINCENZI_ALESANDRO,ALESSANDRO VINCENZI,PERSON
11821,CO_MAS_METAL,MAS METAL,ORG
11822,PERSON_TRIFI_ZAHER,ZAHER TRIFI,PERSON
11823,CO_GERMAN_POWER,GERMAN POWER,ORG
11824,CO_BEST_LIFE_PARAPHARMACIE,BEST LIFE PARAPHARMACIE,ORG
11825,PERSON_SASI_IMEN,IMEN SASSI,PERSON
11826,CO_THE_TEAM_CONSULTING,THE TEAM CONSULTING,ORG
11827,PERSON_HAJKACEM_CHAWKI,CHAWKI HAJ KACEM,PERSON
11828,ORGMENTION_Société CANTIERI DE MARE,Société CANTIERI DE MARE,ORG
11829,PERSON_GHOZIA_SOFIEN,SOFIEN GHOZZIA,PERSON
11830,PERSON_KHROUF_FAYCEL,FAYCEL KHROUF,PERSON
11831,PERSON_NOUIRA_CHAKER,CHAKER NOUIRA,PERSON
11832,CO_NEJMA_CONFECTION,SOCIETE NEJMA CONFECTION,ORG
11833,CO_2B_AGENCY,2B AGENCY,ORG
11834,PERSON_BENGHEDHIFA_ABDESATAR,ABDESSATTAR BEN-GHEDHIFA,PERSON
11835,CO_JARDINS_BATEAUX,SOCIETE JARDINS ET BATEAUX,ORG
11836,PERSON_DRIDI_FOUED,FOUED DRIDI,PERSON
11837,CO_FRANCO_TRADING_COMPANY,FRANCO TRADING COMPANY,ORG
11838,PERSON_BENREJAB_RIADH,RIADH BEN-REJAB,PERSON
11839,PERSON_SASI_SARAH,SARAH SASSI,PERSON
11840,CO_SSAM_INTERNATIONAL_TRADE,SSAM INTERNATIONAL TRADE,ORG
11841,PERSON_JEMEL_NEBRAS,NEBRAS JEMEL,PERSON
11842,CO_KAOUN,KAOUN,ORG
11843,CO_STIVEL,STIVEL,ORG
11844,CO_MOSAICO_PRODUCTION,MOSAICO PRODUCTION,ORG
11845,CO_TUNISIAN_OLIVE_WOOD,TUNISIAN OLIVE WOOD,ORG
11846,PERSON_QUIRION_MARISOL,MARISOL QUIRION,PERSON
11847,CO_DISTRIFROID,SOCIETE DISTRIFROID,ORG
11848,CO_COMMERCIAL_MATERIELS_EQUIPEMENTS,COMMERCIAL MATERIELS ET EQUIPEMENTS,ORG
11849,CO_DEXPLOITATION_AGRICOLE_ESSABA,SOCIETE DEXPLOITATION AGRICOLE ESSABA,ORG
11850,PERSON_DRIS_RIDHA,RIDHA DRISS,PERSON
11851,CO_ALFA_CONSEIL,LA SOCIETE ALFA CONSEIL,ORG
11852,CO_ELECTROMOLKA,ELECTROMOLKA,ORG
11853,PERSON_HAMROUNI_RAOUIA,RAOUIA HAMROUNI,PERSON
11854,CO_AHMED_DAGRICULTURE,AHMED DAGRICULTURE,ORG
11855,CO_INSTITUT_POLYTECHNIQUE_PRIVE_SCIENCES_AVANCEES_SUD,INSTITUT POLYTECHNIQUE PRIVE DES SCIENCES AVANCEES DU SUD,ORG
11856,CO_SELECT_BAR,SELECT BAR,ORG
11857,PERSON_BENOUEGHREM_MOHAMED_NEJIB,MOHAMED NEJIB BEN-OUEGHREM,PERSON
11858,CO_GENERAL_PLASTIC,GENERAL PLASTIC,ORG
11859,CO_LANDOR_HOLDING,LANDOR HOLDING,ORG
11860,PERSON_MORELE_ALAIN,ALAIN MORELE,PERSON
11861,CO_DMG_MORI_FRANCE_SAS,DMG MORI FRANCE SAS,ORG
11862,PERSON_DAHMANI_MOHAMED_SAHBI,MOHAMED SAHBI DAHMANI,PERSON
11863,PERSON_WASIM_ABES,ABBES WASSIM,PERSON
11864,ORGMENTION_Réorganisation de la géante,Réorganisation de la géante,ORG
11865,PERSON_JEMAL_WAFA,WAFA JEMAL,PERSON
