from_node_id,to_node_id,role_canonical,layer,certainty,spell_id
PERSON_CHHAIDER_ABDELMAJID,CO_SMVDA_EL_KHADRA,administrateur,corporate,certain,SP_733c83259ad20c8e25a0
PERSON_BENJEMAA_KHALED,CO_SMVDA_EL_KHADRA,pdg,corporate,certain,SP_9629f288094d0e93c67a
PERSON_MZABI_MZOUGHI,CO_INTERNATIONALE_TOURISTIQUE_IMMOBILIERE_SITI,administrateur,corporate,certain,SP_0fef7e8cbf2055ee5c42
PERSON_MZABI_MONCEF,CO_INTERNATIONALE_TOURISTIQUE_IMMOBILIERE_SITI,administrateur,corporate,certain,SP_cf203e94b42b35e0901f
PERSON_MZABI_MOHAMED_SADOK,CO_INTERNATIONALE_TOURISTIQUE_IMMOBILIERE_SITI,administrateur,corporate,certain,SP_3547dd94372b0be40037
PERSON_MZABI_MZOUGHI,CO_INTERNATIONALE_TOURISTIQUE_IMMOBILIERE_SITI,pdg,corporate,certain,SP_75391324ab0a376b6d7e
PERSON_TRABELSI_ABDELMONAEM,CO_CONGELATION_TOUS_PRODUITS_PECHE_AGRICOLE_SOCEPA,unspecified,corporate,certain,SP_6d5ea82818e14df23c50
PERSON_STA_LAZHAR,CO_NEW_TECHNOLOGY_CORPORATION,president_ca,corporate,certain,SP_e89d0c7256403b1902c5
PERSON_ZOUARI_MAHER,CO_NORTH_AFRICA_INTERNATIONAL_BANK,member,corporate,certain,SP_836157bfca11ee8361bc
PERSON_ESASI_ABDELAZIZ,ORGE_40e2fdaa55aeb7794c5d,administrateur,corporate,probable,SP_e7f90e421a16af1791d8
PERSON_ESASI_NABIL,ORGE_40e2fdaa55aeb7794c5d,administrateur,corporate,probable,SP_1d3c84671a467ef29a1f
PERSON_AMESTOY_PHILIPE,ORGE_ad626795cd374088e74a,president_ca,corporate,certain,SP_00e1b949cff591ef2c4f
PERSON_KAROUI_HAMED,CO_TOURISTIQUE_TOUR_KHALEF,unspecified,corporate,probable,SP_d2a3a709f229a5b78578
PERSON_DRIS_ZOHRA,CO_TOURISTIQUE_TOUR_KHALEF,unspecified,corporate,probable,SP_8bb8ae7847a77144dd1e
PERSON_ELOUMI_ABOUDA,CO_AGRO_ZITEX,president_ca,corporate,certain,SP_7b32b6125916c5af560c
PERSON_MABROUK_RAOUDHA,CO_TRANS_INVEST_MABROUK,gerant,corporate,certain,SP_aaeca05f7fa9a18c192f
