node_id,label,node_class,degree,in_giant_component
CO_ABDELMAJID_TRIKI_TRANSPORT_MARCHANDISE,SOCIETE ABDELMAJID TRIKI DE TRANSPORT MARCHANDISE,company,1,1
CO_ABDELMAJID_TRIKI_TRANSPORT_TERRESTRE,SOCIETE ABDELMAJID TRIKI DE TRANSPORT TERRESTRE,company,1,0
CO_ABDELMAJID_TRIKI_TRANSPORT_TERRESTRE_MARCHANDISES,SOCIETE ABDELMAJID TRIKI DE TRANSPORT TERRESTRE DE MARCHANDISES,company,2,1
CO_ABDELMOULA,ETABLISSEMENT ABDELMOULA,company,3,1
CO_ABDELMOUMEN_SERVICES_GENERAL,ABDELMOUMEN SERVICES GENERAL,company,1,0
CO_ABDELWAHAB_FRIKHA_FORMES_OUTILS_A2FO,ABDELWAHAB FRIKHA FORMES ET OUTILS A2FO,company,1,0
CO_ABDEL_AND_COMPANY_SERVICE_ACOSERV,ABDEL AND COMPANY SERVICE ACOSERV,company,1,1
CO_ABDEL_HEDI_ZOUARI_STATION,SOCIETE ABDEL HEDI ET ZOUARI STATION AZ,company,2,0
CO_ABDENNADHER,ETABLISSEMENTS ABDENNADHER,company,7,1
CO_ABDENNADHER_CERAMIQUE_ACC,SOCIETE ABDENNADHER CERAMIQUE ACC,company,2,1
CO_ABDENNADHER_DESIGN,ABDENNADHER DESIGN,company,1,1
CO_ABDENNADHER_KHEDHIRA,SOCIETE ABDENNADHER ET KHEDHIRA,company,1,0
CO_ABDENNADHER_MOLKA_EXPORT,ABDENNADHER MOLKA EXPORT,company,2,0
CO_ABDENNADHER_MOLKA_EXPORT_SAME,SOCIETE ABDENNADHER MOLKA EXPORT SAME,company,1,0
CO_ABDENNADHER_REALISATION_RESEAUX_A2R,SOCIETE ABDENNADHER DE REALISATION DES RESEAUX A2R,company,1,1
CO_ABDERRAHIM_TRANSPORT,ABDERRAHIM TRANSPORT,company,1,0
CO_ABDERRAHMAN_TRAVAUX_ELECTRIQUES_SATE,SOCIETE ABDERRAHMAN DE TRAVAUX ELECTRIQUES SATE,company,1,1
CO_ABDERRAOUF_ELLOUMI_ARCHITECTE,ABDERRAOUF ELLOUMI ARCHITECTE AEA,company,1,0
CO_ABDI_DISRIBUTION,ABDI DISRIBUTION,company,1,0
CO_ABDRRAZAK_HAMROUNI,SOCIETE ABDRRAZAK HAMROUNI,company,1,1
CO_ABH,ABH,company,2,1
CO_ABICH_MOTEUR,SOCIETE ABICH MOTEUR,company,1,1
CO_ABIDTEX,ABIDTEX,company,2,1
CO_ABIR_SERVICES,ABIR SERVICES,company,1,1
CO_ABM_IMMOBILIER,ABM IMMOBILIER,company,5,1
CO_ABM_INFORMATIQUE,ABM INFORMATIQUE,company,1,1
CO_ABM_MANAGEMENT,ABM MANAGEMENT,company,5,1
CO_ABM_NETTOYAGE_MAINTENANCE_CUISINES_INDUSTRIELLES,ABM NETTOYAGE ET MAINTENANCE DE CUISINES INDUSTRIELLES,company,1,0
CO_ABOU_DHABI_INVESTMENT_AUTHORITY,ABOU DHABI INVESTMENT AUTHORITY ADIA,company,1,1
CO_ABRAJ_PROMOTION_IMMOBILIERE,ABRAJ DE PROMOTION IMMOBILIERE,company,2,1
CO_ABRAJ_TUNIS_PROMOTION_IMMOBILIERE,ABRAJ TUNIS DE PROMOTION IMMOBILIERE,company,4,1
CO_ABRASIF_ITALIA,SOCIETE ABRASIF ITALIA,company,1,0
CO_ABRI_DESIGN,SOCIETE ABRI DESIGN,company,1,0
CO_ABS_CONFECTION,SOCIETE ABS CONFECTION,company,2,0
CO_ABS_EKO,ABS EKO,company,1,0
CO_ABS_ELECTRONIQUE,ABS ELECTRONIQUE,company,1,1
CO_ABTEX,ABTEX,company,1,0
CO_AB_CONSO,AB CONSO,company,1,1
CO_AB_CORPORATION,AB CORPORATION,company,12,1
CO_AB_CORPORATION_SICAR,AB CORPORATION SICAR,company,1,1
CO_AB_DISTRIBUTION,AB DISTRIBUTION,company,1,0
CO_AB_FINANCES_CONSULTING,AB FINANCES CONSULTING,company,1,1
CO_AB_PACKAGING,AB PACKAGING,company,1,1
CO_AB_PROMOTION,AB PROMOTION,company,7,1
CO_AB_PROMOTION_IMMOBILIERE,AB PROMOTION IMMOBILIERE,company,1,1
CO_AC2M,SOCIETE AC2M,company,1,0
CO_ACADEMIE_ARTS,SOCIETE ACADEMIE DES ARTS,company,1,1
CO_ACADEMIE_FERRIE,ACADEMIE FERRIE,company,1,0
CO_ACADEMIE_PYTHAGORE,ACADEMIE PYTHAGORE AP,company,1,0
CO_ACADEMY_FOR_LEARNING_ETLEADERSHIP_A2L,ACADEMY FOR LEARNING ETLEADERSHIP A2L,company,1,1
CO_ACAPLAST_FRANCE,ACAPLAST FRANCE,company,5,0
CO_ACAPLAST_TUNISIE,ACAPLAST TUNISIE,company,3,0
CO_ACC,ACC,company,2,1
CO_ACCELYA_FRANCE_SAS,ACCELYA FRANCE SAS,company,1,0
CO_ACCELYA_TUNISIE,ACCELYA TUNISIE,company,1,0
CO_ACCEL_SERVICES,ACCEL SERVICES,company,1,1
CO_ACCENTURE_HOLDINGS_FRANCE_SAS,ACCENTURE HOLDINGS FRANCE SAS,company,2,0
CO_ACCENTURE_SAS,ACCENTURE SAS,company,1,0
CO_ACCENTURE_SAS_TUNISIA,ACCENTURE SAS TUNISIA,company,2,0
CO_ACCESSOIRES_DERIVES_TEXTILE,ACCESSOIRES ET DERIVES DU TEXTILE ADT,company,1,1
CO_ACCESSOIRES_MEDICAUX_SAIDI,SOCIETE DES ACCESSOIRES MEDICAUX SAIDI,company,1,1
CO_ACCESSOIRES_METALLIQUES_BATIMENT_MENUISERIE,SOCIETE ACCESSOIRES METALLIQUES DU BATIMENT ET MENUISERIE AMB,company,1,0
CO_ACCESSOIRES_SANITAIRES_SANA,SOCIETE DES ACCESSOIRES SANITAIRES SANA,company,2,1
CO_ACCESSOIRES_TEXTILES_COMPANY,ACCESSOIRES TEXTILES COMPANY ATC,company,2,0
CO_ACCESSOIRES_TEXTILE_COMPANY_CAT,SOCIETE ACCESSOIRES TEXTILE COMPANY CAT,company,1,0
CO_ACCESS_DISTRIBUTION,ACCESS DISTRIBUTION,company,1,0
CO_ACCESS_PRINT,ACCESS PRINT,company,1,1
CO_ACCESS_PUB,ACCESS PUB,company,1,0
CO_ACCESS_TO_E_BUSINESS,ACCESS TO E BUSINESS,company,1,1
CO_ACCESS_TO_E_BUSINESS_INTERNATIONAL,ACCESS TO E BUSINESS INTERNATIONAL,company,1,1
CO_ACCUMULATEUR_TUNISIEN_ASSAD,ACCUMULATEUR TUNISIEN ASSAD,company,30,1
CO_ACEA_PLUS,ACEA PLUS,company,1,0
CO_ACEM_INDUSTRY,ACEM INDUSTRY,company,2,1
CO_ACES,SOCIETE ACES,company,2,1
CO_ACES_TRADING,ACES TRADING,company,1,1
CO_ACIA_HOLDING,ACIA HOLDING,company,4,0
CO_ACIERIES_TUNISIE_SIDENOR,SOCIETE DES ACIERIES DE TUNISIE SIDENOR,company,2,1
CO_ACIER_TECHNOLOGIE,SOCIETE ACIER ET TECHNOLOGIE,company,1,1
CO_ACOBEN,ACOBEN,company,4,1
CO_ACOMED,ACOMED,company,3,0
CO_ACOSERV_IMMOBILIERE,ACOSERV IMMOBILIERE,company,1,1
CO_ACOSERV_INDUSTRIE,ACOSERV INDUSTRIE,company,1,1
CO_ACQUATICA,ACQUATICA,company,1,1
CO_ACQUA_MAGHREB_DISTRIBUTION_PRODUIT_LIQUIDATION,SOCIETE ACQUA MAGHREB DISTRIBUTION DU PRODUIT DE LA LIQUIDATION,company,1,1
CO_ACRYLAINE,SOCIETE ACRYLAINE,company,3,1
CO_ACS_FRANCE,ACS FRANCE,company,1,0
CO_ACTIA_AFRICA,ACTIA AFRICA,company,6,1
CO_ACTIA_AUTOMOTIVE_FRANCE,ACTIA AUTOMOTIVE FRANCE,company,4,1
CO_ACTIA_GROUP,ACTIA GROUP,company,3,1
CO_ACTIA_TUNISIA,ACTIA TUNISIA,company,1,1
CO_ACTIA_TUNISIE,ACTIA TUNISIE,company,6,1
CO_ACTIFS_PRECIEUX_APEX,ACTIFS PRECIEUX APEX,company,5,1
CO_ACTIF_CONSULTING,ACTIF CONSULTING,company,1,0
CO_ACTION_AVIS,ACTION AVIS,company,1,1
CO_ACTION_RAPIDE,ACTION RAPIDE,company,1,0
CO_ACTIS_INVESTMENT_HOLDINGS_LIMITED,ACTIS INVESTMENT HOLDINGS LIMITED,company,1,1
CO_ACTIS_INVESTMENT_HOLDINGS_N_78_LIMITED,ACTIS INVESTMENT HOLDINGS N° 78 LIMITED,company,1,1
CO_ACTIVHOTELS,ACTIVHOTELS,company,1,1
CO_ACTIVITES_RECYCLAGE_CAOUTCHOUC_ASRC,ACTIVITES DE RECYCLAGE DU CAOUTCHOUC ASRC,company,1,0
CO_ACTIVITE_RECYCLAGE_CAOUTCHOUC,ACTIVITE DE RECYCLAGE DE CAOUTCHOUC,company,2,1
CO_ADACTIM,ADACTIM,company,8,1
CO_ADACTIM_TECH,ADACTIM TECH,company,2,1
CO_ADACTIS,ADACTIS,company,2,1
CO_ADAMS_CO_INTERNATIONAL_TRADING,ADAMS ET CO INTERNATIONAL TRADING,company,1,1
CO_ADAM_DISTRIBUTION,ADAM DE DISTRIBUTION,company,2,1
CO_ADAM_EXPORT,ADAM EXPORT,company,1,0
CO_ADAM_EXPORTATION_MAGHREB,ADAM EXPORTATION MAGHREB,company,1,1
CO_ADAM_GAMES,ADAM GAMES,company,1,0
CO_ADAM_OIL,ADAM OIL,company,1,1
CO_ADATEX,ADATEX,company,1,0
CO_ADD_VALUE_CONSULTING,ADD VALUE CONSULTING,company,1,1
CO_ADECCO_FRANCE,ADECCO FRANCE,company,2,1
CO_ADECCO_HOLDING_EUROPE_BV_NETHERLANDS,ADECCO HOLDING EUROPE BV NETHERLANDS,company,1,1
CO_ADECCO_HOLDING_FRANCE,ADECCO HOLDING FRANCE,company,2,1
CO_ADECCO_INTERNATIONAL_HOLDING_BV_NETHERLANDS,ADECCO INTERNATIONAL HOLDING BV NETHERLANDS,company,1,1
CO_ADECCO_OFFSHORE_TUNISIE,ADECCO OFFSHORE TUNISIE,company,1,1
CO_ADECCO_OFF_SHORE,ADECCO OFF SHORE,company,3,1
CO_ADECCO_TUNISIE,ADECCO TUNISIE,company,7,1
CO_ADEM,SOCIETE ADEM,company,2,1
CO_ADEM_BATIMENT,SOCIETE ADEM DE BATIMENT,company,1,0
CO_ADEM_CONFECTION,ADEM + CONFECTION,company,1,0
CO_ADHESIF_ELASTIQUE_ADHE_ELS,SOCIETE ADHESIF ELASTIQUE ADHE ELS,company,2,1
CO_ADHE_ELS_INTERNATIONAL,SOCIETE ADHE ELS INTERNATIONAL,company,1,1
CO_ADIE_INTERTIONAL,ADIE INTERTIONAL,company,2,1
CO_ADITECTUNISIE,ADITECTUNISIE,company,1,1
CO_ADJUVANTE_INDUSTRIELS_SADIN,SOCIETE DES ADJUVANTE INDUSTRIELS SADIN,company,1,1
CO_ADJUVIVANTS_PRD_AUTOM_IND_APA_INDUSTRIE,ADJUVIVANTS PRD AUTOM IND APA INDUSTRIE,company,1,1
CO_ADLENE_HAMMAMI,SOCIETE ADLENE HAMMAMI,company,1,0
CO_ADMIRAL_TRAVEL_AND_EVENTS,SOCIETE ADMIRAL TRAVEL AND EVENTS,company,1,1
CO_ADOS,LES ADOS,company,1,0
CO_ADRIMAX,ADRIMAX,company,1,0
CO_ADV,ADV,company,1,0
CO_ADVANCED_COMPUTER_SOLUTIONS,ADVANCED COMPUTER SOLUTIONS ACS,company,2,1
CO_ADVANCED_DERIVATIVE_SERVICES,ADVANCED DERIVATIVE SERVICES,company,1,1
CO_ADVANCED_E_TECHNOLOGIES_AETECH,ADVANCED E TECHNOLOGIES AETECH,company,2,1
CO_ADVANCED_FOR_EDUCATION,ADVANCED FOR EDUCATION,company,1,0
CO_ADVANCED_TECHNOLOGIE_SERVICES,SOCIETE ADVANCED TECHNOLOGIE SERVICES ATS,company,1,0
CO_ADVANCE_CONSULTING,ADVANCE CONSULTING,company,1,1
CO_ADVANS_FRANCE,ADVANS SA (FRANCE),company,1,1
CO_ADVANS_PHARMA,ADVANS PHARMA,company,3,1
CO_ADVANS_SICAR_LUXEMBOURG,ADVANS SICAR (LUXEMBOURG),company,1,1
CO_ADVANS_TUNISIE,ADVANS TUNISIE,company,14,1
CO_ADV_ALLIANCE,ADV ALLIANCE,company,1,1
CO_ADWYA,ADWYA,company,17,1
CO_AD_NEGOCE,AD NEGOCE,company,1,0
CO_AD_PART_BETEILIGUNGEN_III_AG_CO_KG,AD-PART BETEILIGUNGEN III AG & CO.KG,company,2,0
CO_AD_PART_BETEILIGUNGEN_II_AG_CO_KG,AD-PART BETEILIGUNGEN II AG &. CO.KG,company,2,0
CO_AEC_WIRING,AEC WIRING,company,1,1
CO_AEFRANCE_WEB_AGENCY,AEFRANCE WEB AGENCY,company,1,0
CO_AEGIS_MEDIA_FRANCE,AEGIS MEDIA FRANCE,company,1,0
CO_AEROLIA_FRANCE,AEROLIA FRANCE,company,1,0
CO_AEROMECA,AEROMECA,company,2,0
CO_AEROMECA_TUNISIE,AEROMECA TUNISIE,company,1,0
CO_AEROSOL_CAP_BON,SOCIETE AEROSOL DU CAP BON,company,4,1
CO_AEROTECH,AEROTECH,company,1,1
CO_AERO_IMMOBILIERE,AERO IMMOBILIERE,company,1,0
CO_AERO_TUNISIA,AERO TUNISIA,company,4,1
CO_AETA_HOLDING,AETA HOLDING,company,4,0
CO_AETECH,AETECH,company,2,1
CO_AE_TECH,AE TECH,company,7,1
CO_AFAMEC,AFAMEC,company,2,0
CO_AFEK_BATIMENTS,AFEK BATIMENTS,company,1,1
CO_AFFARLYET,AFFARLYET,company,1,0
CO_AFIFA,AFIFA,company,1,0
CO_AFKAR_IMMOBILIERE,AFKAR IMMOBILIERE,company,2,1
CO_AFKAR_TUNISIA,AFKAR TUNISIA,company,1,1
CO_AFREN_DISTRIBUTION,AFREN DISTRIBUTION,company,6,1
CO_AFRICACORP,AFRICACORP,company,3,0
CO_AFRICAINE_COMMERCE,SOCIETE AFRICAINE DE COMMERCE,company,1,0
CO_AFRICAINE_DESIGN_AMEUBLEMENT_MEUBLES,"AFRICAINE DESIGN, AMEUBLEMENT ET MEUBLES ADAM",company,3,1
CO_AFRICAINE_DEVELOPPEMENT_ECHANGES_COMMERCIAUX,AFRICAINE DE DEVELOPPEMENT DES ECHANGES COMMERCIAUX ADEC,company,3,1
CO_AFRICAINE_D_INDUSTRIE_DEFFILOCHAGE_SAFIEF,SOCIETE AFRICAINE D'INDUSTRIE ET DEFFILOCHAGE SAFIEF,company,1,0
CO_AFRICAINE_ENCRES_PEINTURES_AFREN_E_P,SOCIETE AFRICAINE DES ENCRES ET PEINTURES AFREN E+P,company,1,1
CO_AFRICAINE_INDUSTRIES_AGROALIMENTAIRES,SOCIETE AFRICAINE DES INDUSTRIES AGROALIMENTAIRES,company,1,1
CO_AFRICAINE_PEINTURE,SOCIETE AFRICAINE DE PEINTURE,company,1,1
CO_AFRICAINE_PEINTURE_PLANET,SOCIETE AFRICAINE DE PEINTURE PLANET,company,5,0
CO_AFRICAINE_POUR_COULEURS_SERVICES,SOCIETE AFRICAINE POUR LES COULEURS ET LES SERVICES,company,1,1
CO_AFRICAINE_SERVICES_BATIMENT,SOCIETE AFRICAINE DE SERVICES DE BATIMENT,company,1,1
CO_AFRICAINE_SERVICES_GENERAUX_TUNISIE,LA SOCIETE AFRICAINE DES SERVICES GENERAUX TUNISIE,company,1,1
CO_AFRICAIN_GLOBAL_SERVICES_TUNISIE,AFRICAIN GLOBAL SERVICES TUNISIE,company,1,1
CO_AFRICAN_CREATIVE_FIAVORS,AFRICAN CREATIVE FIAVORS ACF,company,1,1
CO_AFRICAN_RECYCLING_AFREC,SOCIETE AFRICAN RECYCLING AFREC,company,1,1
CO_AFRICAN_TRADE_INTERNATIONAL,SOCIETE AFRICAN TRADE INTERNATIONAL,company,1,0
CO_AFRICAN_TRANSPORT_TRANSIT_SOUS_TRAITANCE,AFRICAN TRANSPORT ET TRANSIT ET SOUS TRAITANCE ATTS,company,1,0
CO_AFRICAN_TUNISIAN_COMMERCIAL_ATC_GROUP,AFRICAN TUNISIAN COMMERCIAL ATC GROUP,company,1,0
CO_AFRICAN_UNITED_BUSINESS,SOCIETE AFRICAN UNITED BUSINESS AUB,company,1,0
CO_AFRICA_BITUME,AFRICA BITUME,company,2,1
CO_AFRICA_CASSETTES,AFRICA CASSETTES,company,1,0
CO_AFRICA_CONSULTING_EXPORT_SOLUTIONS,AFRICA CONSULTING EXPORT SOLUTIONS ACES,company,1,1
CO_AFRICA_ELECTRIQUE,SOCIETE AFRICA ELECTRIQUE,company,3,1
CO_AFRICA_EQUIPEMENT,AFRICA EQUIPEMENT,company,4,0
CO_AFRICA_FOR_MONDIAL_TRADING_COMPANY,AFRICA FOR MONDIAL TRADING COMPANY AMTC,company,5,1
CO_AFRICA_FRIP,AFRICA FRIP,company,4,1
CO_AFRICA_HOLDING,AFRICA HOLDING,company,8,1
CO_AFRICA_IMPORT_EXPORT,AFRICA IMPORT EXPORT,company,3,1
CO_AFRICA_INDUSTRIE,AFRICA INDUSTRIE,company,7,1
CO_AFRICA_LINGE_INTER,SOCIETE AFRICA LINGE INTER,company,1,0
CO_AFRICA_MARBRE_GRANITE,AFRICA MARBRE ET GRANITE,company,1,0
CO_AFRICA_MARINE,AFRICA MARINE,company,1,1
CO_AFRICA_MODE,AFRICA MODE,company,3,1
CO_AFRICA_OIL_SERVICES,AFRICA OIL SERVICES,company,1,0
CO_AFRICA_POTENTERG_HOLDING,AFRICA POTENTERG HOLDING,company,3,1
CO_AFRICA_POTENT_ERG_HOLDING,AFRICA POTENT ERG HOLDING,company,3,1
CO_AFRICA_SERVICES_HOLDING,AFRICA SERVICES HOLDING,company,3,0
CO_AFRICA_SOLAR,AFRICA SOLAR,company,1,1
CO_AFRICA_TV_PRODUCTION,AFRICA TV PRODUCTION,company,1,1
CO_AFRICINVEST,AFRICINVEST,company,1,1
CO_AFRICINVEST_FINANCIAL_SECTOR,AFRICINVEST FINANCIAL SECTOR,company,2,1
CO_AFRICINVEST_FINANCIAL_SECTOR_LIMITED,AFRICINVEST FINANCIAL SECTOR LIMITED,company,1,1
CO_AFRICINVEST_FUND_III_LLC,AFRICINVEST FUND III LLC,company,1,1
CO_AFRICONSULT,AFRICONSULT,company,1,1
CO_AFRIC_FROID,AFRIC FROID,company,1,0
CO_AFRIC_SUPPORT,AFRIC SUPPORT,company,2,1
CO_AFRIKAPLAST,SOCIETE AFRIKAPLAST,company,1,1
CO_AFRIKA_MAGLIERIA_CONFEZIONE,SOCIETE AFRIKA MAGLIERIA CONFEZIONE,company,1,0
CO_AFRIKA_PLAST,AFRIKA PLAST,company,1,0
CO_AFRIKISOL_INDUSTRIE,AFRIKISOL INDUSTRIE,company,4,0
CO_AFRIK_PROSPECT_AND_CONNECT,AFRIK PROSPECT AND CONNECT,company,1,0
CO_AFRILANCE,AFRILANCE,company,3,0
CO_AFRIQUE_ACIER,SOCIETE AFRIQUE ACIER,company,14,1
CO_AFRIQUE_ACIER_SAFAC,SOCIETE AFRIQUE ACIER SAFAC,company,6,1
CO_AFRIQUE_ACIER_SOFAC,SOCIETE AFRIQUE ACIER SOFAC,company,1,1
CO_AFRIQUE_AUTOS,SOCIETE AFRIQUE AUTOS,company,1,0
CO_AFRIQUE_BETON,AFRIQUE BETON,company,6,0
CO_AFRIQUE_BOIS,SOCIETE AFRIQUE BOIS,company,2,1
CO_AFRIQUE_CHIMIE,SOCIETE AFRIQUE CHIMIE,company,1,0
CO_AFRIQUE_FRANCE_TEXTILE,AFRIQUE FRANCE TEXTILE,company,4,0
CO_AFRIQUE_LOCATION_VOITURES,SOCIETE AFRIQUE LOCATION DE VOITURES,company,1,1
CO_AFRIQUE_MABRE,SOCIETE AFRIQUE DE MABRE,company,1,1
CO_AFRIQUE_MARBRE_SAM,SOCIETE AFRIQUE MARBRE SAM,company,1,1
CO_AFRIQUE_POLY_ASSISTANCE,AFRIQUE POLY ASSISTANCE,company,1,1
CO_AFRIQUE_TRAVAUX,AFRIQUE TRAVAUX,company,7,1
CO_AFRIQUIA_MEDICAMENTS_AFRIMED,AFRIQUIA MEDICAMENTS AFRIMED,company,1,1
CO_AFRIQUIA_OIL_SERVICES,SOCIETE AFRIQUIA OIL SERVICES,company,1,1
CO_AFRITEX,AFRITEX,company,2,1
CO_AFRITRAC,AFRITRAC,company,1,1
CO_AFRIVALEUR,AFRIVALEUR,company,2,1
CO_AFRIVAL_SEURS_SICAF,AFRIVAL SEURS SICAF,company,1,1
CO_AFRIVISION,AFRIVISION,company,9,1
CO_AFRIVISION_ELECTRONICS,AFRIVISION ELECTRONICS,company,1,1
CO_AFRIVISION_SERVICE,AFRIVISION SERVICE,company,3,1
CO_AFRI_CHROME,AFRI CHROME,company,1,0
CO_AFROFLEX,AFROFLEX,company,7,1
CO_AFRO_MED_SERVICES_GENERAUX_TRAVAUX,AFRO MED DES SERVICES GENERAUX ET TRAVAUX,company,1,1
CO_AGENCEMENT_MENUISERIE_GENERALE,SOCIETE AGENCEMENT MENUISERIE GENERALE AMG,company,1,0
CO_AGENCE_CONTROLE_TECHNIQUE_INTERNATIONALE,AGENCE DE CONTROLE TECHNIQUE INTERNATIONALE,company,18,1
CO_AGENCE_EL_AMANA_IMMOBILIERE_AEL,AGENCE EL-AMANA IMMOBILIERE AEL,company,1,1
CO_AGENCE_FONCIERE_TOURISTIQUE,AGENCE FONCIERE TOURISTIQUE,company,1,1
CO_AGENCE_FRANCAISE_DEVELOPPEMENT_FRANCE,AGENCE FRANCAISE DE DEVELOPPEMENT FRANCE,company,3,1
CO_AGENCE_FRANCE,AGENCE FRANCE,company,2,0
CO_AGENCE_FRANCO_TUNISIENNE_DARCHITECTURE_AFTA,AGENCE FRANCO TUNISIENNE DARCHITECTURE AFTA,company,1,0
