id_type,value_normalised,rne_name_fr,rne_name_ar,rne_category,rne_year_creation,seed_org_id,seed_org_label,match_basis,match_score,is_identity,n_jort_orgs
matricule_fiscal,1580418H,,STE VEVO COSMETIQUE,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580421C,SOCIETE MAJD DE COMMERCE,شركة مجد للتجارة  ش م م,SOCIETE,2018,,,generic_fuzzy,0.8,0,1
matricule_fiscal,1580435J,STE AYCHA TRADING,شركة عايشة ترايدنق,SOCIETE,2018,CO_AYCHA_TRADING,SOCIETE AYCHA TRADING,exact,1.0,1,1
matricule_fiscal,1580436K,EXSOL SYSTEMS,اكسول سيستيمز,SOCIETE,2018,,,generic_fuzzy,0.7778,0,1
matricule_fiscal,1580449Q,STE V M TUNIS SERVICES,شركة تونس خدمات,SOCIETE,2018,,,generic_fuzzy,0.875,0,1
matricule_fiscal,1580453L,STE GO TO MARKET,قو توماركت,SOCIETE,2018,,,generic_fuzzy,0.6667,0,1
matricule_fiscal,1580456P,ELYNARTS,شركة الينار,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580457Q,STE HIGH STAR,شركة النجمة العالية,SOCIETE,2018,,,generic_fuzzy,0.8421,0,1
matricule_fiscal,1580460K,SOCIETE PETRA AFRICANA,شركة باترا أفريكانا,SOCIETE,2018,CO_PETRA_AFRICANA,PETRA AFRICANA,exact,1.0,1,1
matricule_fiscal,1580463N,SINA EVENTS,STE SINA EVENTS,SOCIETE,2018,,,generic_fuzzy,0.8,0,1
matricule_fiscal,1580465Q,STE M  ET Y recyclage,م و ي للرسكلة,SOCIETE,2018,,,generic_fuzzy,0.8182,0,1
matricule_fiscal,1580467S,OCIETE LA CERISE SUR LE GATEAU,شركة لا سيريز سير لو قاطو,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580468T,SOCIETE RESEARCH AND DEVELOPMENT COMPANY IN SERVICES AND INDUSTRY  RDCSI,شركة البحث و التطوير في الخدمات و الصناعة,SOCIETE,2018,,,generic_fuzzy,0.8421,0,1
matricule_fiscal,1580470M,,ميمو للتوزيع,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580472P,SOCIETE BELHAJ SERVICE,شركة بلحاج للخدمات,SOCIETE,2018,,,generic_fuzzy,0.8235,0,1
matricule_fiscal,1580479X,PARIS BREST,باري بريست,SOCIETE,2018,,,discriminating_fuzzy,0.6667,0,1
matricule_fiscal,1580484T,STE EZDIHAR DU MOUSSE,شركة الإزدهار للموس,SOCIETE,2018,CO_EZDIHAR,SOCIETE EZDIHAR,discriminating_fuzzy,1.0,1,1
matricule_fiscal,1580494W,LUXURY WASH  &  SERVICES CARS,لوكسوري واش اند سرفيس كارز,SOCIETE,2018,,,generic_fuzzy,0.8421,0,1
matricule_fiscal,1580504E,W K A,و . ك . أ,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580519M,PROJECT MANAGEMENT & CONSULTING,ادارة اعمال و استشارات,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1580522G,STE KARRAY FOURATI EVENTS-KFC EVENTS,شركة كراي فراتي ايفانتس,SOCIETE,2018,,,generic_fuzzy,0.8,0,1
matricule_fiscal,1580524J,MED IMPRESSION,ماد للطباعة,SOCIETE,2018,,,generic_fuzzy,0.6897,0,1
matricule_fiscal,1580528N,SOCIETE ZAINEB DES EQUIPEMENTS AGRICOLES,شركة زينب للتجهيزات الفلاحية ش م م,SOCIETE,2018,,,generic_fuzzy,0.8462,0,1
matricule_fiscal,1580529P,,شركة الخمير للتجارة,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580535M,STE DONIA FILMS,دنيا فيلم,SOCIETE,2018,,,discriminating_fuzzy,0.7273,0,1
matricule_fiscal,1580543M,STE DE DISTRIBUTION LYS COSMETICS,شركة التوزيع ليس كوسمتيك,SOCIETE,2018,,,generic_fuzzy,0.8889,0,1
matricule_fiscal,1580544N,STE DARINE  DECO,شركة درين ديكو,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1580550L,ARSOUTEX,أرسوتاكس,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580551M,STE YASMINE TRADING,ياسمين ترادينق,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1580560N,STE EL AHMAD SUARL,شركة الأحمد,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580568X,STE EBECA DISTRIBUTION,شركة ايبيكا ديستريبسيون,SOCIETE,2018,,,generic_fuzzy,0.8889,0,1
matricule_fiscal,1580575W,STE JERBA TOP TECH,شركة جربة توب تاك,SOCIETE,2018,,,generic_fuzzy,0.7273,0,1
matricule_fiscal,1580578Z,STE SOLTANI,شركة سلطاني,SOCIETE,2018,CO_SOLTANI_FOOD_DISTRIBUTION,SOCIETE SOLTANI FOOD DISTRIBUTION,discriminating_fuzzy,1.0,1,1
matricule_fiscal,1580588B,SOCIETE CRAFTUNISIA,شركة CRAFTUNISIA  ش ش م م,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580597C,"STE AL AMID TRANSFORMATION METAL ""A T M ""","شركة العميد ترونسفورمسيون متال "" أ ت م """,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1580598D,SELIM TRADING,سليم ترايدينغ,SOCIETE,2018,,,generic_fuzzy,0.8235,0,1
matricule_fiscal,1580608M,BIO GAIA,بيوقيا,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580611G,,شركة مواد البناء والتجهيزات بالجنوب,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580619Q,Sté FILPRO,Sté FILPRO,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580621J,STE GARANCHA ELECTRIC,شركة قرنشا الكتريك,SOCIETE,2018,,,generic_fuzzy,0.8421,0,1
