suspect_id,kind,left_id,left_label,right_id,right_label,basis,detail,would_connect_persons
SH_0000047,split_organisation,CO_AGRICOLE_TABA,AGRICOLE TABA,CO_TABA_DEVELOPPEMENT_AGRICOLE,TABA DE DEVELOPPEMENT AGRICOLE,shared_registre_commerce,registre_commerce=B81169232009 on both nodes,0
SH_0000048,split_organisation,CO_AGRICOLE_VERGERS_REGUEB,SOCIETE AGRICOLE LES VERGERS DE REGUEB,CO_VERGERS_REGUEB,LES VERGERS DE REGUEB,shared_matricule_fiscal,matricule_fiscal=846860P on both nodes,0
SH_0000049,split_organisation,CO_AGRIMED,AGRIMED,CO_BELDIMED,BELDIMED,shared_matricule_fiscal,matricule_fiscal=839253D on both nodes,1
SH_0000050,split_organisation,CO_AGROPACK,AGROPACK,ORGE_039bebc877d4e9cf6351,ORGE_039bebc877d4e9cf6351,shared_registre_commerce,registre_commerce=B0838202007 on both nodes,0
SH_0000051,split_organisation,CO_AGRO_CRC,AGRO CRC,CO_MISE_EN_VALEUR_DEVELOPPEMENT_AGRICOLE,SOCIETE DE MISE EN VALEUR ET DE DEVELOPPEMENT AGRICOLE,shared_matricule_fiscal,matricule_fiscal=306834H on both nodes,4
SH_0000052,split_organisation,CO_AGRO_CRC,AGRO CRC,CO_MISE_EN_VALEUR_DEVELOPPEMENT_AGRICOLE,SOCIETE DE MISE EN VALEUR ET DE DEVELOPPEMENT AGRICOLE,shared_registre_commerce,registre_commerce=B1123661997 on both nodes,4
SH_0000053,split_organisation,CO_AGRUMES_GOLFE,LES AGRUMES DU GOLFE,ORGE_79f47c4760ec6669b048,ORGE_79f47c4760ec6669b048,shared_matricule_fiscal,matricule_fiscal=1019439G on both nodes,0
SH_0000054,split_organisation,CO_AGRUMES_GOLFE,LES AGRUMES DU GOLFE,ORGE_79f47c4760ec6669b048,ORGE_79f47c4760ec6669b048,shared_registre_commerce,registre_commerce=B81227262012 on both nodes,0
SH_0000055,split_organisation,CO_AIN_FAOUARA_MERIEM,SOCIETE AIN FAOUARA MERIEM,ORGE_a78913ee6a8dfb9c40ee,ORGE_a78913ee6a8dfb9c40ee,shared_registre_commerce,registre_commerce=B2410382006 on both nodes,0
SH_0000056,split_organisation,CO_AIN_FAOUARA_MERIEM,SOCIETE AIN FAOUARA MERIEM,ORGE_e00541ca63625f7bbedd,ORGE_e00541ca63625f7bbedd,shared_registre_commerce,registre_commerce=B2410382006 on both nodes,0
SH_0000057,split_organisation,ORGE_a78913ee6a8dfb9c40ee,ORGE_a78913ee6a8dfb9c40ee,ORGE_e00541ca63625f7bbedd,ORGE_e00541ca63625f7bbedd,shared_registre_commerce,registre_commerce=B2410382006 on both nodes,0
SH_0000058,split_organisation,CO_AIR_CLIM,AIR CLIM,CO_NAVETTE,NAVETTE,shared_matricule_fiscal,matricule_fiscal=1216521Z on both nodes,0
SH_0000059,split_organisation,CO_AIR_CLIM,AIR CLIM,CO_NAVETTE,NAVETTE,shared_registre_commerce,registre_commerce=B01180232011 on both nodes,0
SH_0000060,split_organisation,CO_AIR_SEPARATION_TUNISIE,AIR SEPARATION TUNISIE,CO_VITALAIRE,VITALAIRE,shared_matricule_fiscal,matricule_fiscal=747461A on both nodes,0
SH_0000061,split_organisation,CO_AIR_SEPARATION_TUNISIE,AIR SEPARATION TUNISIE,CO_VITALAIRE,VITALAIRE,shared_registre_commerce,registre_commerce=B171552000 on both nodes,0
SH_0000062,split_organisation,CO_AJMI_FILS_SAFI,SOCIETE AJMI ET FILS SAFI,CO_DASSISTANCE_FISCALE_INFORMATIQUE_SAFI,SOCIETE DASSISTANCE FISCALE ET INFORMATIQUE SAFI,shared_matricule_fiscal,matricule_fiscal=1353091N on both nodes,0
SH_0000063,split_organisation,CO_ALFA,SOCIETE ALFA,ORGE_68575fcfb03293b0ffff,ORGE_68575fcfb03293b0ffff,shared_matricule_fiscal,matricule_fiscal=514133T on both nodes,0
SH_0000064,split_organisation,CO_ALFA,SOCIETE ALFA,CO_ALPHA_GTI_CROISSANCE,ALPHA GTI CROISSANCE,shared_matricule_fiscal,matricule_fiscal=1028545J on both nodes,4
SH_0000065,split_organisation,CO_ALFA,SOCIETE ALFA,ORGE_68575fcfb03293b0ffff,ORGE_68575fcfb03293b0ffff,shared_registre_commerce,registre_commerce=B134092000 on both nodes,0
SH_0000066,split_organisation,CO_ALFA,SOCIETE ALFA,ORGE_8e34aa50d7fe0929080f,ORGE_8e34aa50d7fe0929080f,shared_registre_commerce,registre_commerce=B134092000 on both nodes,0
SH_0000067,split_organisation,ORGE_68575fcfb03293b0ffff,ORGE_68575fcfb03293b0ffff,ORGE_8e34aa50d7fe0929080f,ORGE_8e34aa50d7fe0929080f,shared_registre_commerce,registre_commerce=B134092000 on both nodes,0
SH_0000068,split_organisation,CO_ALFET_EL_MACHIA,ALFET EL-MACHIA,CO_ALFET_EL_MACHIA_SAM,ALFET EL-MACHIA SAM,shared_matricule_fiscal,matricule_fiscal=1426251P on both nodes,0
SH_0000069,split_organisation,CO_ALFET_EL_MACHIA,ALFET EL-MACHIA,CO_ALFET_EL_MACHIA_SAM,ALFET EL-MACHIA SAM,shared_registre_commerce,registre_commerce=B02210102015 on both nodes,0
SH_0000070,split_organisation,CO_ALHIFADH_SICAV,ALHIFADH SICAV,CO_SICAV,SICAV ENTREPRISE,shared_matricule_fiscal,matricule_fiscal=1055155B on both nodes,22
SH_0000071,split_organisation,CO_ALIMENTAIRE_SUD,SOCIETE ALIMENTAIRE DU SUD,CO_ALIMENTAIRE_SUD_S_A_S,SOCIETE ALIMENTAIRE DU SUD S A S,shared_matricule_fiscal,matricule_fiscal=11208A on both nodes,0
SH_0000072,split_organisation,CO_ALIMENTAIRE_SUD,SOCIETE ALIMENTAIRE DU SUD,CO_ALIMENTAIRE_SUD_S_A_S,SOCIETE ALIMENTAIRE DU SUD S A S,shared_registre_commerce,registre_commerce=B0336382008 on both nodes,0
SH_0000073,split_organisation,CO_ALKARAMA_HOLDING,ALKARAMA HOLDING,CO_KARAMA_HOLDING,KARAMA HOLDING,shared_matricule_fiscal,matricule_fiscal=922165A on both nodes,0
SH_0000074,split_organisation,CO_ALKARAMA_HOLDING,ALKARAMA HOLDING,CO_PRINCESSE_HOLDING,CO_PRINCESSE_HOLDING,shared_matricule_fiscal,matricule_fiscal=922165A on both nodes,0
SH_0000075,split_organisation,CO_KARAMA_HOLDING,KARAMA HOLDING,CO_PRINCESSE_HOLDING,CO_PRINCESSE_HOLDING,shared_matricule_fiscal,matricule_fiscal=922165A on both nodes,21
SH_0000076,split_organisation,CO_ALKARAMA_HOLDING,ALKARAMA HOLDING,CO_KARAMA_HOLDING,KARAMA HOLDING,shared_registre_commerce,registre_commerce=B0128702005 on both nodes,0
SH_0000077,split_organisation,CO_ALKARAMA_HOLDING,ALKARAMA HOLDING,CO_PRINCESSE_HOLDING,CO_PRINCESSE_HOLDING,shared_registre_commerce,registre_commerce=B0128702005 on both nodes,0
SH_0000078,split_organisation,CO_ALKARAMA_HOLDING,ALKARAMA HOLDING,ORGE_6250c58466419c46eae1,ORGE_6250c58466419c46eae1,shared_registre_commerce,registre_commerce=B0128702005 on both nodes,0
SH_0000079,split_organisation,CO_KARAMA_HOLDING,KARAMA HOLDING,CO_PRINCESSE_HOLDING,CO_PRINCESSE_HOLDING,shared_registre_commerce,registre_commerce=B0128702005 on both nodes,21
SH_0000080,split_organisation,CO_KARAMA_HOLDING,KARAMA HOLDING,ORGE_6250c58466419c46eae1,ORGE_6250c58466419c46eae1,shared_registre_commerce,registre_commerce=B0128702005 on both nodes,0
SH_0000081,split_organisation,CO_PRINCESSE_HOLDING,CO_PRINCESSE_HOLDING,ORGE_6250c58466419c46eae1,ORGE_6250c58466419c46eae1,shared_registre_commerce,registre_commerce=B0128702005 on both nodes,0
SH_0000082,split_organisation,CO_ALLEMANDE_TECHNOLOGIES_D_ENERGIE_RENOUVELABLE_SATER,SOCIETE ALLEMANDE DES TECHNOLOGIES D'ENERGIE RENOUVELABLE SATER,ORGE_359001c28123b927345e,ORGE_359001c28123b927345e,shared_registre_commerce,registre_commerce=B0147682007 on both nodes,0
SH_0000083,split_organisation,CO_ALLIANCE_FINANCIAL_CORPORATION,ALLIANCE FINANCIAL CORPORATION,CO_ALLIANCE_IMMOBILIERE,ALLIANCE IMMOBILIERE,shared_matricule_fiscal,matricule_fiscal=946778D on both nodes,0
SH_0000084,split_organisation,CO_ALSTOM_TRANSPORT,ALSTOM TRANSPORT,CO_ALSTOM_TRANSPORT_FRANCE,ALSTOM TRANSPORT FRANCE,shared_matricule_fiscal,matricule_fiscal=908793P on both nodes,0
SH_0000085,split_organisation,CO_ALSTOM_TRANSPORT,ALSTOM TRANSPORT,CO_ALSTOM_TRANSPORT_FRANCE,ALSTOM TRANSPORT FRANCE,shared_registre_commerce,registre_commerce=B0111002005 on both nodes,0
SH_0000086,split_organisation,CO_ALTEA_PACKAGING,CO_ALTEA_PACKAGING,CO_ALTEA_PACKAGING_HOLDING_TUNISIE,ALTEA PACKAGING HOLDING TUNISIE,shared_registre_commerce,registre_commerce=B2453132004 on both nodes,0
