onset,terminus,tail,head,spell_id,role,layer,link_status
-4,Inf,77,78,SP_98e31f33845b68b088c6,administrateur,corporate,ambiguous
-4,Inf,79,78,SP_986b479252f278c23e11,pdg,corporate,ambiguous
-15,Inf,80,81,SP_274f2e083fe28d987ad8,gerant,corporate,resolved
-5,Inf,82,83,SP_f87288262272fe872d18,gerant,corporate,resolved
-1,Inf,84,85,SP_4f079baa442b6f3420de,gerant,corporate,resolved
-Inf,1059,86,87,SP_709d6ebf477454cf16ab,dg,corporate,ambiguous
-183,Inf,88,89,SP_6a7117ca158d269a1223,dg,corporate,ambiguous
-15,Inf,90,91,SP_9d96b469fee775e17f9e,administrateur,corporate,resolved
-15,Inf,92,93,SP_f5de22a4a5c584304b7e,administrateur,corporate,resolved
-15,Inf,94,93,SP_822254c4bd97aa71a121,administrateur,corporate,resolved
-15,Inf,95,93,SP_47efdada3699a4906130,administrateur,corporate,ambiguous
-15,Inf,96,93,SP_6ffe683f292976934d40,administrateur,corporate,resolved
-Inf,Inf,92,93,SP_a5314bde48f17be55ac7,president_ca,corporate,resolved
-Inf,Inf,94,93,SP_3218a05f5b66ad7f9bdf,dg,corporate,resolved
-Inf,Inf,95,93,SP_aabf4469c05e5cdfe5d6,dga,corporate,ambiguous
-Inf,Inf,97,98,SP_c724ff28ef14aeca9999,administrateur,corporate,resolved
-Inf,Inf,99,98,SP_14e1f57e4ec3da121522,administrateur,corporate,resolved
-Inf,Inf,100,98,SP_a9ea51474ccbf09035e5,administrateur,corporate,resolved
-Inf,Inf,97,98,SP_d98dd47e98f4c72cb475,pdg,corporate,resolved
-Inf,Inf,101,102,SP_0e7e8b4b471ebef3bb39,cogerant,corporate,ambiguous
-150,Inf,103,104,SP_01a3130a329b8973aa37,commissaire_aux_comptes,corporate,resolved
-52,Inf,105,106,SP_d02a48bc28cdc9b2ec0f,cogerant,corporate,resolved
11,Inf,107,108,SP_a93549fe84308600ca04,gerant,corporate,resolved
-304,Inf,109,110,SP_8e39dabbdd41a9465dd0,administrateur,corporate,resolved
-304,Inf,111,110,SP_5107a1e868b880e1db09,administrateur,corporate,resolved
-10,Inf,112,113,SP_46af1f38857591e11d79,pdg,corporate,ambiguous
-22,Inf,114,115,SP_606914394c6e4130033b,commissaire_aux_comptes,corporate,ambiguous
-37,Inf,116,117,SP_10dcff16c780758d786a,president_ca,corporate,resolved
-37,Inf,118,117,SP_b53952e5e784797753ae,dg,corporate,resolved
-22,Inf,119,120,SP_41a08182f5e90fecdb16,gerant,corporate,resolved
2,Inf,121,122,SP_73bb1d97e5722dd244d0,gerant,corporate,resolved
1,Inf,123,124,SP_0a16c7df249d4854c0b0,gerant,corporate,resolved
2,Inf,125,126,SP_a883fd797b2855c18ff0,gerant,corporate,resolved
-29,Inf,127,128,SP_7a41f5ca45e40e6bcec1,gerant,corporate,ambiguous
-35,Inf,129,130,SP_3699731869f3929f768e,gerant,corporate,resolved
3,Inf,131,132,SP_fa9751d15e9bbac1633f,associe,corporate,resolved
16,Inf,133,134,SP_394881a2c4bdcb8caad9,cogerant,corporate,resolved
0,Inf,135,136,SP_bf13bf538710339dc406,gerant,corporate,resolved
-40,Inf,137,138,SP_a6b4c4a57ed03baf0b5b,gerant,corporate,resolved
17,Inf,139,140,SP_3399a6516a4336bfb32f,commissaire_aux_comptes,corporate,resolved
-14,Inf,141,142,SP_f47b7c338b9502d8ab98,gerant,corporate,resolved
-19,Inf,143,144,SP_224c25149a6de32af7d1,gerant,corporate,resolved
7,Inf,129,145,SP_5a198b9dd6a9e1d73d59,pdg,corporate,resolved
-181,Inf,146,147,SP_72a278ade065e5c9a34f,unspecified,corporate,ambiguous
23,Inf,148,149,SP_4e5c878513e490c64b9f,pdg,corporate,ambiguous
-61,Inf,150,151,SP_4447632ae6c0b6b04380,commissaire_aux_comptes,corporate,resolved
-174,Inf,152,153,SP_f3eeddbee3da7d9b642d,gerant,corporate,resolved
7,Inf,154,155,SP_712402841115f8ba380b,gerant,corporate,resolved
-89,Inf,156,157,SP_58b28d5133d0b27bf09d,gerant,corporate,ambiguous
-89,Inf,158,157,SP_3fc326b268ab903cf952,gerant,corporate,ambiguous
-Inf,Inf,159,160,SP_5d25448e35e1996368df,administrateur,corporate,resolved
2,Inf,161,162,SP_276d681b481e5e238a77,unspecified,corporate,ambiguous
2,Inf,163,162,SP_e7f1e0714829d57a3ca9,unspecified,corporate,resolved
2,Inf,164,162,SP_310f1821aa87da4ef03a,unspecified,corporate,ambiguous
-Inf,1680,165,166,SP_0cde196d126cd288e121,gerant,corporate,ambiguous
-22,Inf,167,168,SP_b5ce2eab75d5e6dde957,gerant,corporate,resolved
-21,Inf,169,170,SP_6065f3d82a49b1de6e6c,pdg,corporate,resolved
7,Inf,171,172,SP_b26c89ac891588bb4815,gerant,corporate,resolved
1,1069,173,174,SP_664b4ff488583c0b955c,gerant,corporate,ambiguous
25,293,175,176,SP_6a6e8ab9b94408c4d914,gerant,corporate,ambiguous
23,Inf,177,178,SP_63abc7873e63391f38d0,gerant,corporate,resolved
-Inf,3,179,180,SP_0b832f632a18e7c187c8,gerant,corporate,resolved
20,Inf,181,182,SP_36ac8c3adf1c1d5402f5,gerant,corporate,resolved
23,1304,183,184,SP_8b46acf97daf932ab7a5,gerant,corporate,resolved
-Inf,28,185,186,SP_d9439f8eb8c233d72d43,gerant,corporate,resolved
28,Inf,187,186,SP_2e9d877b7933440ad58b,cogerant,corporate,resolved
-Inf,29,188,189,SP_1e1e7971dec276649ebd,gerant,corporate,resolved
-300,Inf,58,190,SP_cb06b6246c4246ff373a,commissaire_aux_comptes,corporate,ambiguous
-34,Inf,191,192,SP_5ae0353d9a0791e28772,pdg,corporate,resolved
-88,Inf,193,194,SP_6b6eec6a14c818e85efa,gerant,corporate,ambiguous
-88,Inf,195,194,SP_e5992212f21bc3fe5751,gerant,corporate,ambiguous
29,Inf,196,197,SP_b13c483b9a7e52152938,association_president,corporate,resolved
29,Inf,198,197,SP_d8f967412dd1d1e80d2a,dg,corporate,resolved
29,Inf,199,200,SP_2fd79db36ad1624619c3,administrateur,corporate,resolved
-Inf,-21,201,202,SP_d096ece863bd5007201e,gerant,corporate,resolved
-21,Inf,203,202,SP_cc60ee89364bf45dd965,gerant,corporate,resolved
34,Inf,204,205,SP_f162433e6f27b76aa793,pdg,corporate,ambiguous
-26,168,206,207,SP_1efdc7d2164a562fd6cc,gerant,corporate,resolved
6,Inf,208,209,SP_fb779f4e0bd8d7fd1824,gerant,corporate,resolved
-7,Inf,210,211,SP_6e4d29bec96d8f37f931,gerant,corporate,resolved
27,Inf,212,213,SP_7b32dbdb6e9f396c1dee,gerant,corporate,resolved
21,204,214,215,SP_844fd7adf124b6e978ee,gerant,corporate,ambiguous
-249,Inf,216,217,SP_96975800f19f38b3ac35,dga,corporate,resolved
-62,Inf,218,219,SP_b7f420c09df29bf20556,pdg,corporate,resolved
-581,Inf,220,221,SP_0b6f49a251c98db9c5b8,pdg,corporate,resolved
-Inf,Inf,220,221,SP_4bd0976e8aa97c1c7ea4,unspecified,corporate,resolved
-246,274,222,223,SP_750649a5c96070e03889,president_ca,corporate,resolved
-Inf,37,224,225,SP_684d8cd215178a305c28,cogerant,corporate,resolved
49,Inf,226,227,SP_f02e29cdd531acc0b093,gerant,corporate,ambiguous
22,1740,228,229,SP_035744c05b9c08a2bcb1,gerant,corporate,ambiguous
2,Inf,230,231,SP_59f83b8d543af723e0c4,gerant,corporate,resolved
-183,Inf,232,233,SP_16eacc69bc6884d1b2df,association_president,corporate,resolved
-183,Inf,234,233,SP_bbd7e93373708a21b470,dg,corporate,resolved
23,Inf,148,235,SP_2ff3db0f0920a98a3b3e,pdg,corporate,resolved
-159,Inf,236,237,SP_28b07c54019b599cabfa,gerant,corporate,resolved
-69,Inf,238,239,SP_f517da06cc720b40cb87,gerant,corporate,ambiguous
-78,-70,240,241,SP_c31ed7568f87d3565419,gerant,corporate,resolved
31,Inf,242,243,SP_b23342949d6294900508,cogerant,corporate,resolved
31,Inf,244,243,SP_9c64c78affcd67b334c8,cogerant,corporate,resolved
9,Inf,245,246,SP_d6f637651040ecfbe386,gerant,corporate,resolved
-106,Inf,247,248,SP_11a68a9d5d09b5c9c000,administrateur,corporate,ambiguous
-106,Inf,249,248,SP_957302cb0c629cc3a36b,pdg,corporate,ambiguous
-Inf,Inf,165,250,SP_c57650cf72d7cfe327df,pdg,corporate,ambiguous
-384,Inf,251,252,SP_2e572d17f3f9af4633d2,dg,corporate,resolved
38,Inf,253,254,SP_be778eff54c41c562672,pdg,corporate,resolved
38,Inf,255,254,SP_a3527097f0bed2c997b7,dga,corporate,resolved
-Inf,-475,256,257,SP_53ccf07a8c150f0738d0,administrateur,corporate,ambiguous
18,Inf,258,259,SP_5291dc22dda15a91a106,gerant,corporate,resolved
-Inf,16,260,261,SP_f50dd1837b4299cef2c4,gerant,corporate,ambiguous
-Inf,16,262,261,SP_cfda4e8f31f9657e7519,gerant,corporate,resolved
-327,Inf,263,264,SP_a9a813ae426d90ddc866,gerant,corporate,resolved
42,Inf,141,265,SP_836f58a2c1d156468af3,gerant,corporate,resolved
-3,Inf,266,267,SP_a11f9dd7ba505b8d4fdf,administrateur,corporate,ambiguous
-3,Inf,266,267,SP_7d6091da014d80cc7beb,president_ca,corporate,ambiguous
38,Inf,268,269,SP_51dfb1a1a151522ee45d,pdg,corporate,resolved
24,Inf,270,271,SP_984bfa9789ddf4a462b4,gerant,corporate,resolved
42,Inf,272,273,SP_85e157137e249ef1dacb,gerant,corporate,resolved
-Inf,-3,274,275,SP_2f6e6ec1d8e77f20afe8,administrateur,corporate,ambiguous
-Inf,-3,274,275,SP_add4d557df6ff5b35a10,president_ca,corporate,ambiguous
-Inf,Inf,74,276,SP_a060fe3b3a213a60d14b,pdg,corporate,ambiguous
1,Inf,277,278,SP_fabe54cde7a8e467dcda,gerant,corporate,resolved
50,Inf,279,280,SP_f0eb35ab6eb28aff80b9,gerant,corporate,ambiguous
41,Inf,281,282,SP_98c5a963e07527342e89,gerant,corporate,resolved
56,Inf,283,284,SP_0ec4009f48597b75e54a,gerant,corporate,resolved
-328,Inf,285,286,SP_147cbc4ff56663b6809e,gerant,corporate,resolved
56,Inf,287,288,SP_d3f09713d30ea3a7a6de,gerant,corporate,ambiguous
55,Inf,289,290,SP_664dca44fa1962b7cea1,gerant,corporate,resolved
-319,Inf,291,292,SP_1713d70af6b44a5f1175,gerant,corporate,resolved
-Inf,Inf,256,293,SP_e71c0143f52f150d1a0f,dg,corporate,ambiguous
1,Inf,294,295,SP_601b4e75eea849a04b61,gerant,corporate,resolved
52,Inf,296,297,SP_d7484a034ca7deaefcf0,gerant,corporate,resolved
59,Inf,298,299,SP_43b7b8401a7bd36683f9,gerant,corporate,resolved
17,Inf,300,301,SP_8537ee997c8b6382b83a,gerant,corporate,ambiguous
66,Inf,302,303,SP_b30b6b77a3ab08628bde,gerant,corporate,ambiguous
16,Inf,304,305,SP_f3cd33757990c13029c9,president_ca,corporate,resolved
31,Inf,306,307,SP_3edcbc1a03a091fdf909,pdg,corporate,ambiguous
10,Inf,308,309,SP_f2e1e55f047f93665f24,gerant,corporate,resolved
-Inf,49,310,311,SP_ce734bcca8db6413fd2b,gerant,corporate,resolved
-Inf,49,312,311,SP_3da0b0b5c0e04886c309,gerant,corporate,resolved
-Inf,253,312,311,SP_3da0b0b5c0e04886c309,gerant,corporate,resolved
-29,Inf,313,314,SP_08cff00f3cc538c3492f,unspecified,corporate,resolved
-29,Inf,315,314,SP_a7c0e9ae0f17c2e1c7de,unspecified,corporate,resolved
-29,Inf,316,314,SP_f7acd4fb0dc18b12742d,unspecified,corporate,resolved
36,Inf,103,317,SP_220ce59ab8d4c1c3184e,commissaire_aux_comptes,corporate,ambiguous
36,Inf,318,317,SP_d5b7bc62cae0a715b210,unspecified,corporate,resolved
36,Inf,319,317,SP_c73a3ea8948c11071c58,unspecified,corporate,ambiguous
36,Inf,318,317,SP_26c359a7ea6bf7cc51cf,pdg,corporate,resolved
52,Inf,320,321,SP_d870f06b658c3b7701c4,gerant,corporate,resolved
64,Inf,322,323,SP_e0f8874d81afc180005d,gerant,corporate,resolved
-285,Inf,324,325,SP_5cc7a848c4cf290626e5,dga,corporate,ambiguous
70,Inf,326,327,SP_3114b9e7e051a475718f,association_president,corporate,ambiguous
4,Inf,328,329,SP_aeadd7b960cd04bceffc,gerant,corporate,resolved
-Inf,63,330,331,SP_c670867952a3a633c8a5,gerant,corporate,resolved
-Inf,63,332,331,SP_53b01600291d818edad6,gerant,corporate,resolved
50,Inf,333,334,SP_86b4cbdeefd0d8ced116,president_ca,corporate,resolved
50,Inf,335,334,SP_430bbabb1eb07c23d364,dg,corporate,resolved
45,1568,74,336,SP_d82a510b7c6aed1bf9b1,pdg,corporate,ambiguous
45,Inf,337,336,SP_4a25b4d60c0389eb882e,dga,corporate,ambiguous
45,Inf,338,336,SP_c28d1fb58e52c62e20bd,dga,corporate,ambiguous
-26,Inf,339,340,SP_746b5902c04dd1b6522e,gerant,corporate,ambiguous
-Inf,31,341,342,SP_a65a2805974e9e3af8f1,gerant,corporate,ambiguous
-Inf,Inf,146,343,SP_dbfe2769b3bd0f034acd,gerant,corporate,resolved
56,Inf,344,345,SP_a8b681ac1449a8fe357a,gerant,corporate,resolved
70,Inf,346,347,SP_83e7e38c46d9ae60fd25,gerant,corporate,resolved
46,126,348,349,SP_36930e4770e289d91eb8,gerant,corporate,resolved
70,Inf,350,351,SP_668f7a205c689ff5655f,gerant,corporate,resolved
35,Inf,352,353,SP_5f6d0fc956aa31503f52,gerant,corporate,resolved
21,1036,125,354,SP_a3f058be1d86089b2290,representant,corporate,ambiguous
63,Inf,339,355,SP_a4e0a4e8db9b78c1b348,gerant,corporate,resolved
73,Inf,356,357,SP_905ae72742e554f8acfa,gerant,corporate,resolved
71,Inf,358,359,SP_37f169441737003c333e,gerant,corporate,resolved
-294,Inf,360,361,SP_0d393ec0658d406d755c,gerant,corporate,resolved
78,Inf,362,363,SP_569edda6ec47549b5a69,president_ca,corporate,resolved
50,Inf,364,365,SP_69d7e2f83a58ebcb7dab,gerant,corporate,resolved
63,Inf,165,366,SP_2421b4ecc96ba60eb06f,pdg,corporate,ambiguous
84,Inf,141,367,SP_17698d1ec3873f00e139,gerant,corporate,resolved
55,1770,141,368,SP_653f86ac9d736560a99e,gerant,corporate,resolved
65,1305,369,370,SP_dde34793cb891a6f526e,gerant,corporate,ambiguous
21,Inf,371,372,SP_63e8489e496c98d04b9e,gerant,corporate,resolved
-Inf,0,373,374,SP_b4405033010cea9f02f9,dg,corporate,resolved
-Inf,1400,373,374,SP_b4405033010cea9f02f9,dg,corporate,resolved
-Inf,0,375,374,SP_213ec2b4af8806345384,dg,corporate,resolved
-Inf,-97,376,377,SP_823ca537bcbadc36cb94,pdg,corporate,resolved
-Inf,-97,378,377,SP_ee7bb1e5e4a7359eab40,pdg,corporate,resolved
-Inf,Inf,378,377,SP_302a05eb47cd6e7352a4,pdg,corporate,resolved
-Inf,43,339,379,SP_cdc2736211a4a53e4463,gerant,corporate,resolved
-Inf,64,380,381,SP_22fb622debe4150b4920,gerant,corporate,resolved
55,Inf,114,382,SP_f1d978035105f8ad1828,commissaire_aux_comptes,corporate,resolved
-47,Inf,383,384,SP_fc4ffcff0cb0b8664ad5,gerant,corporate,resolved
60,Inf,385,386,SP_54cbcb053d4888a3da1b,gerant,corporate,resolved
83,Inf,387,388,SP_2b188996c483fae0e10e,gerant,corporate,resolved
86,352,339,389,SP_31aa81e124c9aeb5649f,gerant,corporate,resolved
76,Inf,390,391,SP_81b4c1bd48a81c2c155d,gerant,corporate,resolved
-Inf,81,392,393,SP_dd9de6652b679eb86a99,gerant,corporate,resolved
64,Inf,394,395,SP_cf6854ee9d7755218455,gerant,corporate,resolved
15,Inf,396,397,SP_43e7e4c7386f1dde8fb3,gerant,corporate,resolved
70,Inf,398,399,SP_69f404080af63ddfd1ac,fondateur,corporate,resolved
85,Inf,400,401,SP_f3499cbe0eba7f101052,gerant,corporate,ambiguous
87,Inf,402,403,SP_7f10ea0c67f5fac7b932,gerant,corporate,resolved
77,819,404,405,SP_35657697b74f2a7f17e5,gerant,corporate,resolved
60,203,79,406,SP_6526ec708055c32a931b,dg,corporate,resolved
60,Inf,407,406,SP_7c9565c73816a433edff,dga,corporate,resolved
-Inf,90,408,409,SP_e278bceb7278baf56b34,gerant,corporate,resolved
98,Inf,410,411,SP_f2289159d2b494b273f1,gerant,corporate,resolved
-1736,Inf,412,413,SP_653f3c9748018ab1b74f,gerant,corporate,resolved
-5,520,116,414,SP_5d6f6b019829fffedee2,president_ca,corporate,resolved
-5,520,415,414,SP_15fce0e90fbde352dde8,dg,corporate,resolved
-5,520,416,414,SP_1b2174de187af37a8d29,dga,corporate,resolved
-Inf,93,39,417,SP_da868258c165dd597b79,representant,corporate,resolved
-Inf,90,220,418,SP_058573deddbf24dd6b0f,gerant,corporate,resolved
17,Inf,232,419,SP_1d4aa163e24a2d345248,association_president,corporate,resolved
-Inf,Inf,58,420,SP_2ac7c26c9a676210e73e,representant,corporate,ambiguous
101,Inf,421,422,SP_96b2b6aa47c9a6b56f87,gerant,corporate,resolved
91,Inf,423,424,SP_c5fa555090c705bac59b,gerant,corporate,resolved
23,Inf,425,426,SP_9076455e6bc958de1591,gerant,corporate,resolved
-Inf,Inf,1,427,SP_3e6c91e8ceab01835cc4,president_ca,corporate,resolved
50,Inf,428,429,SP_82a63fbe3b2a117253ad,gerant,corporate,resolved
76,1553,268,430,SP_2fe51b53d31d87f304bf,pdg,corporate,resolved
100,Inf,431,432,SP_8e36f33edaa9ddee3fbe,gerant,corporate,resolved
72,Inf,433,434,SP_200eecc08dacadf4c44f,gerant,corporate,resolved
-113,Inf,435,436,SP_2c00bffede59bca9f230,gerant,corporate,resolved
69,Inf,437,438,SP_4ee386687798058bc090,gerant,corporate,resolved
83,Inf,439,440,SP_08f4a1fde38829332fe9,gerant,corporate,ambiguous
90,Inf,441,442,SP_0466349d2122d964c5ef,gerant,corporate,resolved
-207,Inf,443,444,SP_312ed5a753915e924cc3,dga,corporate,resolved
13,836,15,445,SP_22eed8206f6f4238c26d,president_ca,corporate,resolved
-Inf,Inf,446,447,SP_9830544b9b7283094375,gerant,corporate,resolved
105,Inf,448,449,SP_88b96bc71acd50b0fcaf,unspecified,corporate,resolved
92,Inf,450,451,SP_82c55de28f5d0fb92109,unspecified,corporate,ambiguous
119,Inf,452,453,SP_c69326c932e4b636df09,gerant,corporate,resolved
119,Inf,454,455,SP_3a1c9e959417132dce05,cogerant,corporate,resolved
-259,Inf,456,457,SP_962ec0ca1353e3faa0c8,dga,corporate,resolved
63,Inf,458,459,SP_7792ac0382b119386e9b,unspecified,corporate,resolved
63,Inf,458,459,SP_514a85b886aae45f6380,pdg,corporate,resolved
-Inf,104,460,461,SP_20e6b7eb5cf143eb5e16,cogerant,corporate,ambiguous
105,730,462,463,SP_45794e920b78653aabcf,gerant,corporate,resolved
87,Inf,464,465,SP_f0acb9595413efe50040,administrateur,corporate,resolved
-Inf,84,121,122,SP_df11a404c6b600b0b051,unspecified,corporate,resolved
107,Inf,298,466,SP_0b5a575300b45e7af843,cogerant,corporate,resolved
115,1276,467,468,SP_004b994bf09f10ffbb9e,gerant,corporate,resolved
50,Inf,469,470,SP_d186fa1a81c7b8c3a6a9,gerant,corporate,resolved
119,Inf,471,472,SP_6c539a6d96cbb85774d2,gerant,corporate,resolved
105,Inf,473,474,SP_61cee9c8eceefb314e50,president_ca,corporate,ambiguous
-Inf,91,475,476,SP_3f7b9e53e82854355a30,administrateur,corporate,ambiguous
-70,Inf,477,241,SP_78851774350c5535a699,gerant,corporate,resolved
113,Inf,478,479,SP_8fab733f29cf667b65cb,gerant,corporate,ambiguous
-Inf,Inf,480,479,SP_4e029a50e9f807ed6735,dg,corporate,ambiguous
125,Inf,481,482,SP_f687b474c4510524a958,gerant,corporate,resolved
-Inf,Inf,483,484,SP_8bac67bfd21db58dfda9,administrateur,corporate,resolved
-161,Inf,485,486,SP_955d05f3e3c9fa3d6d34,unspecified,corporate,ambiguous
-161,Inf,487,486,SP_cfebb0657347f528bfbb,unspecified,corporate,ambiguous
-161,Inf,488,486,SP_af83e06bd54d1e38ca8c,unspecified,corporate,ambiguous
-161,Inf,256,486,SP_c9ecc032b9662de11147,unspecified,corporate,ambiguous
-Inf,118,489,490,SP_613d53e171a695738b0b,gerant,corporate,ambiguous
-Inf,125,491,492,SP_4d91095e356d5ada5818,gerant,corporate,resolved
-Inf,107,493,494,SP_5c0998afbb7de58e1aac,gerant,corporate,resolved
112,Inf,495,496,SP_631613f326c7af0f5ad8,administrateur,corporate,resolved
111,Inf,497,498,SP_6cd8f2e573616e97730e,gerant,corporate,resolved
105,Inf,141,499,SP_330452a7992568ced365,dg,corporate,resolved
126,Inf,500,501,SP_70f7b34f1d3d9a21f912,gerant,corporate,resolved
84,Inf,502,503,SP_94fd12367342155fe6df,gerant,corporate,ambiguous
136,Inf,504,505,SP_e19cf37ffb0c58221c89,gerant,corporate,resolved
62,Inf,398,399,SP_b5742ba6ea6c2257de10,pdg,corporate,resolved
101,Inf,506,507,SP_85d94065b278c121714f,administrateur,corporate,resolved
101,Inf,508,507,SP_4c19e7418eddd200d115,administrateur,corporate,resolved
101,Inf,506,507,SP_ebae18d6cb095dc28f67,pdg,corporate,resolved
116,Inf,509,510,SP_935ac2733ea17e1f54de,gerant,corporate,resolved
16,499,232,511,SP_66366eca7f22fa044f35,president_ca,corporate,ambiguous
115,115,512,513,SP_e600f635a4b490f485d8,liquidateur,corporate,resolved
98,Inf,304,514,SP_97def0958128bab06471,president_ca,corporate,ambiguous
98,Inf,304,514,SP_d5e457f16740f837f466,administrateur,corporate,ambiguous
-193,Inf,515,516,SP_cb837a8bca797e554c1e,administrateur,corporate,resolved
-193,Inf,517,516,SP_a7f45796ac92cba3fede,administrateur,corporate,resolved
-193,Inf,518,516,SP_87f21a7103b7733af542,administrateur,corporate,resolved
-193,Inf,519,516,SP_0db220feb64cb72cf7f5,administrateur,corporate,resolved
-Inf,1,520,521,SP_0bfae091941d07697cfd,gerant,corporate,ambiguous
118,470,522,523,SP_82feafebd77f1952e56a,gerant,corporate,resolved
91,1189,524,525,SP_e2b395290f7649c571bd,gerant,corporate,ambiguous
127,261,277,526,SP_f0bc6d4df528aeb49557,gerant,corporate,ambiguous
73,Inf,527,528,SP_2cdfd31cf902f2c831f2,gerant,corporate,ambiguous
122,Inf,529,530,SP_cf05fac81a82991bd744,gerant,corporate,resolved
17,Inf,232,531,SP_abf792e5c5fefdd07363,association_president,corporate,resolved
15,Inf,15,89,SP_387b1e6ed9eb98efe0c5,association_president,corporate,resolved
130,Inf,532,533,SP_bb3848d1efe052fb3302,president_ca,corporate,resolved
100,1660,534,535,SP_58215947091e83189719,gerant,corporate,ambiguous
112,Inf,536,537,SP_1999d0c57b41c97fa1e0,gerant,corporate,resolved
115,Inf,538,539,SP_6da93f0a8f4f272183e8,cogerant,corporate,resolved
141,Inf,540,541,SP_6eb588b99ca593ff8ecc,gerant,corporate,resolved
-105,Inf,542,543,SP_9594a4fd2c0e70c1aac9,gerant,corporate,resolved
71,627,544,545,SP_d41c229c519fb0b1b567,cogerant,corporate,resolved
71,627,546,545,SP_cb2ab4776f83c1f0b957,cogerant,corporate,resolved
136,Inf,547,548,SP_15a549c1b21f9431fc1c,gerant,corporate,resolved
90,Inf,549,550,SP_f538008ce5c98716c4ab,gerant,corporate,resolved
101,Inf,551,552,SP_b21c6a0722495c61f511,dg,corporate,resolved
-Inf,55,29,553,SP_da53c0653aad547df6a4,dg,corporate,resolved
134,750,554,555,SP_7515040792d749147528,gerant,corporate,ambiguous
13,Inf,536,556,SP_aaab350630f65c301a2d,association_president,corporate,resolved
107,Inf,557,558,SP_3ac57df8e1fc17d7c09d,pdg,corporate,resolved
107,Inf,559,558,SP_cc4ba3be9ca755482d7c,dga,corporate,resolved
-Inf,133,560,561,SP_86e4c35c67ba6954af29,gerant,corporate,ambiguous
