period,tail,head,role_canonical,certainty,link_status,dissolution_observed
2008,441,2995,administrateur,probable,resolved,0
2008,446,3121,gerant,certain,resolved,0
2008,456,3912,cogerant,probable,ambiguous,0
2008,464,5221,administrateur,certain,resolved,1
2008,473,4742,pdg,probable,resolved,1
2008,478,4227,administrateur,certain,ambiguous,1
2008,479,5033,pdg,certain,resolved,0
2008,485,2710,gerant,certain,resolved,0
2008,486,5233,gerant,certain,resolved,0
2008,490,4136,pdg,certain,resolved,0
2008,496,3187,dg,certain,ambiguous,1
2008,500,5376,administrateur,probable,ambiguous,0
2008,502,5376,administrateur,probable,ambiguous,0
2008,505,5377,administrateur,certain,resolved,0
2008,506,5377,administrateur,certain,resolved,0
2008,507,5376,administrateur,probable,ambiguous,0
2008,509,2776,gerant,certain,ambiguous,1
2008,510,3740,gerant,certain,resolved,0
2008,511,2936,gerant,certain,resolved,0
2008,512,5325,administrateur,probable,ambiguous,1
2008,524,2825,gerant,certain,ambiguous,0
2008,525,3242,gerant,certain,resolved,0
2008,530,3937,unspecified,certain,ambiguous,1
2008,535,3854,gerant,certain,resolved,0
2008,536,3718,pdg,certain,resolved,0
2008,538,2916,dg,certain,resolved,1
2008,548,5477,administrateur,certain,ambiguous,0
2008,549,5477,administrateur,certain,ambiguous,0
2008,551,5477,administrateur,certain,ambiguous,0
2008,553,4797,dg,certain,resolved,0
2008,554,2934,gerant,certain,resolved,0
2008,556,5396,sous_directeur,certain,ambiguous,0
2008,558,5350,gerant,certain,resolved,0
2008,560,5236,administrateur|pdg,certain,ambiguous,0
2008,565,2659,gerant,possible,resolved,1
2008,565,2664,president_ca,certain,resolved,1
2008,565,3235,association_president,certain,resolved,0
2008,568,2865,gerant,certain,resolved,0
2008,572,5074,administrateur,certain,ambiguous,0
2008,574,2945,gerant,certain,ambiguous,0
2008,576,3173,gerant,certain,ambiguous,1
2008,576,3417,gerant,certain,resolved,0
2008,579,4851,gerant,probable,resolved,1
2008,582,2642,unspecified,certain,ambiguous,0
2008,583,3402,gerant,certain,resolved,0
2008,584,2642,president_ca|unspecified,certain,ambiguous,0
2008,590,2642,dg|unspecified,certain,ambiguous,0
2008,597,3521,pdg,probable,resolved,1
2008,599,4347,pdg,certain,resolved,0
2008,603,5399,unspecified,certain,resolved,0
2008,604,3990,administrateur,certain,resolved,0
