family_a,family_b,period,marriages,marriages_cumulative,first_period
Bahram,Kemiha,1850,1,1,1850
Bahroun,Jazi,1850,1,1,1850
Bahroun,Khaled,1850,1,1,1850
Bartakiz,Makhlouf,1850,1,1,1850
Belkadhi,Hanafi,1850,1,1,1850
Belkadhi,Kilani,1850,1,1,1850
Bellamine,Gaigi,1850,1,1,1850
Bennani,Laatar,1850,1,1,1850
Bennour,Klibi,1850,1,1,1850
Bey,Chaker,1850,2,2,1850
Bey,Gaigi,1850,1,1,1850
Bey,Gara,1850,3,3,1850
Bey,Sunni,1850,1,1,1850
Bokri,Halfaoui,1850,1,1,1850
Boukordegha,Sadfi,1850,1,1,1850
Bramli,Cherif,1850,1,1,1850
Chaabane,Mahmoud,1850,1,1,1850
Chaari,Hmida,1850,1,1,1850
Chaouch,Ghafari,1850,1,1,1850
Chenik,Fayache,1850,1,1,1850
Cherif,Mama,1850,1,1,1850
Cherif,Rassaâ,1850,1,1,1850
Chiboub,Khouja,1850,1,1,1850
Daoud,Gastli,1850,1,1,1850
Darghouth,Kaâouana,1850,1,1,1850
Diba,Ghotbi,1850,1,1,1850
Dimassi,Gastli,1850,1,1,1850
Dimassi,Mghirbi,1850,1,1,1850
Djellouli,Gaigi,1850,1,1,1850
Esseghir,Mrad,1850,1,1,1850
Fadhel,Naima,1850,1,1,1850
Farhat,Zidi,1850,1,1,1850
Garcia,Guiga,1850,1,1,1850
Ghaliounji,Mghazli,1850,1,1,1850
Halim,Menlikli,1850,1,1,1850
Hammamia,Sallem,1850,1,1,1850
Hamouda,Jaouada,1850,1,1,1850
Hamouda,Othman,1850,1,1,1850
Hassoumi,Touibi,1850,1,1,1850
Hazrat,Khan,1850,1,1,1850
Jaafar,Katlane,1850,1,1,1850
Jan,Khan,1850,1,1,1850
Jaouada,Maaouia,1850,1,1,1850
Jemail,Klibi,1850,1,1,1850
Kacem,Osman,1850,1,1,1850
Kahia,Moulk,1850,1,1,1850
Kamel,Rais,1850,1,1,1850
Kamel,Sohlobji,1850,1,1,1850
Khatteche,Sidommou,1850,1,1,1850
Khoud,Mrabet,1850,1,1,1850
Kortbi,Mousli,1850,1,1,1850
Miled,Youssef,1850,1,1,1850
Mlouka,Romdhane,1850,1,1,1850
Mrad,Zidi,1850,1,1,1850
Muscat,Saccoman,1850,1,1,1850
Nakhli,Zarrouk,1850,1,1,1850
Nouisri,Trabelsi,1850,1,1,1850
Romdhane,Senane,1850,1,1,1850
Snoussi,Temimi,1850,1,1,1850
Abdallah,Bey,1875,1,1,1875
Abdallah,Bouthour,1875,1,1,1875
Abdelfatteh,Mrad,1875,1,1,1875
Abdelmoula,Ezzine,1875,1,1,1875
Abdelwahab,Ghariani,1875,1,1,1875
Abdelwahab,Mourali,1875,1,1,1875
Abdennabi,Laatar,1875,1,1,1875
Abdessatar,Osman,1875,1,1,1875
Abid,Essaidi,1875,1,1,1875
Ahmed,Gmati,1875,1,1,1875
Ahmed,Larguèche,1875,1,2,1850
Ali,Beji,1875,1,1,1875
Aljia,Tounsi,1875,1,1,1875
Allal,Bahi,1875,1,1,1875
Allala+béchir,Rassaa,1875,1,1,1875
Almi,Fares,1875,1,1,1875
Almi,Houissa,1875,1,1,1875
Almi,Metheni,1875,1,1,1875
Alouani,Ghariani,1875,1,1,1875
Aloulou,Ayadi,1875,1,1,1875
Amer,Gastli,1875,1,1,1875
Amer,Mghirbi,1875,1,1,1875
Ammar,Bouderbala,1875,2,2,1875
Ammar,Chaouch,1875,1,1,1875
Ammar,Cherif,1875,1,1,1875
Ammar,Gmati,1875,1,1,1875
Ammar,Othman,1875,1,1,1875
Amor,Chaari,1875,1,1,1875
Amor,Hemriti,1875,1,1,1875
Amor,Khoufi,1875,1,1,1875
Amor,Makhlouf,1875,1,1,1875
Amor,Mrad,1875,1,1,1875
Anoun,Hafsia,1875,1,1,1875
Anoun,Malamelli,1875,1,1,1875
Aouij,Osman,1875,1,1,1875
Arbi,Lamine,1875,1,1,1875
Asfouri,Khelil,1875,1,1,1875
Ati,Karoui,1875,1,1,1875
Aubrac,Romdhane,1875,1,1,1875
Ayed,Ezzeddine,1875,1,1,1875
Ayed,Fadhel,1875,1,1,1875
Ayed,Jalal,1875,1,1,1875
Ayed,Klibi,1875,1,1,1875
Ayed,Laayeyda,1875,1,1,1875
Ayed,Salah,1875,1,1,1875
Ayoub,Chaouch,1875,1,1,1875
Azouz,Salhi,1875,1,1,1875
Azzouz,Bey,1875,1,1,1875
Bahram,Mustapha,1875,1,1,1875
Bahram,Shili,1875,1,1,1875
Bahri,Belkadhi,1875,1,1,1875
Bahroun,Jazi,1875,1,2,1850
Bahroun,Maamouri,1875,1,1,1875
Bahroun,Osman,1875,1,1,1875
Bahroun,Slama,1875,1,2,1825
Balti,Belochi,1875,1,1,1875
Balti,Mohamed,1875,1,1,1875
Baoueb,Kchir,1875,1,1,1875
Baraket,Hadjouj,1875,1,1,1875
Barbirou,Gassa,1875,1,1,1875
Battikh,Refai,1875,1,1,1875
Beji,Gaigi,1875,1,1,1875
Belassfer,Zafzouf,1875,1,1,1875
Belhadj,Chadou,1875,1,1,1875
Belhassine,Dellagi,1875,1,1,1875
Belkadhi,Chakroun,1875,1,1,1875
Belkadhi,Hjaiej,1875,1,1,1875
Belkadhi,Sabbahi,1875,1,1,1875
Belkadhi,Sfar,1875,1,1,1875
Belkhodja,Chebil,1875,1,1,1875
Belkhodja,Mamlouk,1875,1,1,1875
Belkhodja,Miled,1875,1,1,1875
Bellakanji,Kazdaghli,1875,1,1,1875
Bellamine,Darghouth,1875,1,1,1875
Bellamine,Hentati,1875,1,1,1875
Belloum,Klibi,1875,1,1,1875
Benzarti,Krout,1875,1,1,1875
Berraiess,Bey,1875,1,1,1875
Bessaïes,Gharbi,1875,1,1,1875
Bettaieb,Chadou,1875,1,1,1875
Bey,Gara,1875,1,4,1850
Bey,Hayder,1875,3,3,1875
Bey,Jaziri,1875,1,1,1875
Bey,Kastellanos,1875,1,1,1875
Bey,Khaznadar,1875,5,5,1875
Bey,Klibi,1875,1,1,1875
Bey,Maria,1875,2,2,1875
Bey,Mehdaoui,1875,1,1,1875
Bey,Radhouane,1875,1,1,1875
Bey,Zakkaria,1875,2,2,1875
Bostangi,Hamba,1875,1,1,1875
Bouchoucha,Ghariani,1875,1,1,1875
Bouderbala,Bouziri,1875,1,1,1875
Boufeid,Guerbâa,1875,1,1,1875
Bouhadra,Mahmoud,1875,1,1,1875
Boukef,Habiba,1875,1,1,1875
Boushaba,Terzi,1875,1,1,1875
Boutiti,Khiari,1875,1,1,1875
Bramli,Khatteche,1875,1,1,1875
Bransi,Koubaji,1875,1,1,1875
Bransi,Malki,1875,1,1,1875
Bransi,Sfaihi,1875,1,1,1875
Béchiri,Zarrouk,1875,1,1,1875
Béhi,Jazi,1875,1,1,1875
Chaabane,Cherif,1875,1,1,1875
Chaabane,Tnani,1875,1,1,1875
Chaari,Gueddiche,1875,1,1,1875
Chadou,Shili,1875,1,1,1875
Cheikh,Kebaili,1875,1,1,1875
Cheikh,Majoul,1875,1,1,1875
Chelaifa,Romdhane,1875,2,2,1875
Cherif,Ghariani,1875,1,1,1875
Cherif,Khadija,1875,1,1,1875
Cherif,Mahdi,1875,1,1,1875
Chiboub,Zid,1875,1,1,1875
Chirine,Ghileb,1875,1,1,1875
Chouaiech,Romdhane,1875,1,1,1875
Daly,Miled,1875,1,1,1875
Daly,Romdhane,1875,1,1,1875
Daoud,Ghattas,1875,1,1,1875
Darghouth,Mami,1875,1,1,1875
Darghouth,Mlouka,1875,1,1,1875
Darghouth,Zouhir,1875,1,1,1875
Dattilo,Mostacci,1875,1,1,1875
Elloumi,Saada,1875,1,1,1875
Ennouri,Miled,1875,1,1,1875
Essaidi,Hanafi,1875,1,1,1875
Essebsi,Kassar,1875,1,1,1875
Essid,Osman,1875,1,1,1875
Ettabaa,Osman,1875,1,1,1875
Ezzine,Gastli,1875,1,1,1875
Ezzine,Halouani,1875,1,1,1875
Ezzine,Jazi,1875,1,1,1875
Ezzine,Khayati,1875,1,1,1875
Ezzine,Mbarek,1875,1,1,1875
Ezzine,Mghirbi,1875,1,2,1800
Ezzine,Okbi,1875,1,1,1875
Farhat,Kahia,1875,1,1,1875
Farza,Souissi,1875,1,1,1875
Fayache,Hamba,1875,1,1,1875
Fayache,Lamine,1875,1,1,1875
Fendri,Mlouka,1875,1,1,1875
Fors,Miled,1875,1,1,1875
Fourati,Kharbouch,1875,1,1,1875
Fourati,Khira,1875,1,1,1875
Fourati,Mlouka,1875,1,1,1875
Frourej,Rahal,1875,1,1,1875
Gaigi,Hachani,1875,1,1,1875
Gara,Osman,1875,1,1,1875
Garouachi,Guiga,1875,1,1,1875
Gastli,Lassoued,1875,2,2,1875
Gastli,Marzouki,1875,1,1,1875
Ghaliounji,Naccache,1875,1,1,1875
Ghariani,Gribaa,1875,1,1,1875
Ghattas,Mahjoub,1875,1,1,1875
Ghorch,Mlouka,1875,1,1,1875
Gmati,Zahar,1875,1,1,1875
Gueddiche,Hemriti,1875,1,1,1875
Guiga,Hchim,1875,1,1,1875
Hachaichi,Lassoued,1875,1,1,1875
Hachaichi,Mooti,1875,1,1,1875
Hached,Romdhane,1875,1,1,1875
Hachefi,Karoui,1875,1,1,1875
Hadjouj,Mustapha,1875,1,1,1875
Hammouda,Miled,1875,1,1,1875
Hammouda,Zidi,1875,1,1,1875
Hamouda,Jaouada,1875,1,2,1850
Hanachi,Kouroghli,1875,1,1,1875
Hanachi,Mekki,1875,1,1,1875
Hemriti,Hmida,1875,1,1,1875
Hmida,May,1875,1,1,1875
Jaafar,Katlane,1875,1,2,1850
Jerbi,Tounsi,1875,1,1,1875
Kacem,Osman,1875,1,2,1850
Kacem,Sefi,1875,1,1,1875
Kahia,Zarrouk,1875,1,1,1875
Katlane,Messaoud,1875,1,1,1875
Katlane,Temimi,1875,1,1,1875
Kebaili,Snoussi,1875,1,1,1875
Kemiha,Khouja,1875,1,1,1875
Khachlouf,Mrad,1875,2,2,1875
Khadijé,Romdhane,1875,1,1,1875
Khalsi,Lasram,1875,1,1,1875
Khelifa,Mrad,1875,1,1,1875
Khouini,Wardalitou,1875,1,1,1875
Laatar,Sassi,1875,1,1,1875
Laroussi,Mahmoud,1875,1,1,1875
Maamouri,Zitouna,1875,1,1,1875
Mabrouk,Romdhane,1875,1,1,1875
Makhlouf,Miled,1875,1,1,1875
Makhlouf,Zidi,1875,1,1,1875
Mallek,Triki,1875,1,1,1875
Mansour,Mousli,1875,1,1,1875
Marie,Romdhane,1875,1,1,1875
Mlouka,Sarraj,1875,1,1,1875
Mlouka,Sefi,1875,1,1,1875
Mouaffak,Torjemane,1875,1,1,1875
Moulehom,Zbouna,1875,1,1,1875
Nouri,Tnani,1875,1,1,1875
Osman,Othman,1875,1,1,1875
Rassaa,Tarek,1875,1,1,1875
Riza-Pacha,Romdhane,1875,1,1,1875
Romdhane,Sadia,1875,1,1,1875
Romdhane,Savier,1875,1,1,1875
Romdhane,Turque,1875,1,1,1875
Salha,Troudi,1875,1,1,1875
Sallem,Selmene,1875,1,1,1875
Sbaouelgi,Tabbakh,1875,1,1,1875
Selmene,Younes,1875,1,1,1875
Snoussi,Zakkaria,1875,1,1,1875
Tamzali,Zmerli,1875,1,1,1875
Tlatli,Yahia,1875,1,1,1875
Abassi,Cherif,1900,1,1,1900
Abbar,Asmi,1900,1,1,1900
Abbassi,Cherif,1900,1,1,1900
Abbassi,Karoui,1900,1,1,1900
Abbou,Okbi,1900,1,1,1900
Abdallah,Gobrane,1900,1,1,1900
Abdallah,Krid,1900,1,1,1900
Abdallah,Mabrouk,1900,1,1,1900
Abdallah,Slama,1900,1,1,1900
Abdelaali,Rebai,1900,1,1,1900
Abdelghani,Allal,1900,1,1,1900
Abdeljaoued,Ateb,1900,1,1,1900
Abdeljaoued,Chaabane,1900,1,1,1900
Abdeljaoued,Fehri,1900,1,1,1900
Abdelli,Mabrouk,1900,1,1,1900
Abdelli,Mlouka,1900,2,2,1900
Abdelmoula,Labbane,1900,1,1,1900
Abdelmoula,Moula,1900,1,1,1900
Abdelmoumen,Naji,1900,2,2,1900
Abdelmoumen,Omrane,1900,1,1,1900
Abdelwahab,Okbi,1900,1,1,1900
Abdelwahab,Tamzali,1900,1,1,1900
Abdessatar,Bahi,1900,1,1,1900
Abid,Hachicha,1900,1,1,1900
Abid,Rachdi,1900,1,1,1900
Ahmed,Ammar,1900,1,1,1900
Ahmed,Khelil,1900,1,1,1900
Ahmed,Larguèche,1900,1,3,1850
Aissa,Bouchoucha,1900,1,1,1900
Aissa,Dhiaf,1900,1,1,1900
Aissa,Essid,1900,1,1,1900
Aissaoui,Cherif,1900,1,1,1900
Aissaoui,Rezgui,1900,1,1,1900
Aissaoui,Troudi,1900,1,1,1900
Ajroud,Boufares,1900,1,1,1900
Ali,Essid,1900,1,1,1900
Allal,Gmati,1900,1,1,1900
Allouache,Hafsia,1900,1,1,1900
Almi,Driss,1900,1,1,1900
Almi,Mokaddem,1900,1,1,1900
Almi,Sebaï,1900,1,1,1900
Alouini,Atallah,1900,1,1,1900
Amara,Ismail,1900,1,1,1900
Ammar,Brahim,1900,1,2,1850
Ammar,Chaabane,1900,1,1,1900
Ammar,Dhifallah,1900,1,1,1900
Ammar,Errais,1900,1,1,1900
Ammar,Sedrine,1900,1,1,1900
Ammar,Temimi,1900,1,1,1900
Amor,Cheraki,1900,1,1,1900
Amor,Gueddiche,1900,1,1,1900
Amor,Jaouada,1900,1,1,1900
Amor,Mrad,1900,1,2,1875
Amor,Zammit,1900,1,1,1900
Amor,Zidi,1900,1,2,1850
Anane,Gaigi,1900,1,1,1900
Aouij,Azzouz,1900,1,1,1900
Aouij,Chtioui,1900,1,1,1900
Arfaoui,Belochi,1900,1,1,1900
Arfaoui,Garbouj,1900,1,1,1900
Asli,Taoufik,1900,1,1,1900
Atallah,Kechrid,1900,1,1,1900
Atallah,Rammah,1900,1,1,1900
Ati,Attia,1900,1,1,1900
Ati,Chaouachi,1900,1,1,1900
Ati,Chaouch,1900,1,1,1900
Ati,Derouiche,1900,1,1,1900
Ati,Zouiten,1900,1,1,1900
Attia,Meddeb,1900,1,1,1900
Ayari,Cheriki,1900,1,1,1900
Ayari,Kotrane,1900,1,1,1900
Ayed,Frikha,1900,1,1,1900
Ayed,Gordah,1900,1,1,1900
Ayed,Kourda,1900,2,2,1900
Ayed,Pietro,1900,1,1,1900
Ayed,Yahia,1900,1,1,1900
Ayed,Younes,1900,1,1,1900
Ayed,Younsi,1900,1,1,1900
Ayoub,Halouani,1900,1,1,1900
Azouz,Boufares,1900,1,1,1900
Azzabi,Bennour,1900,1,1,1900
Azzouna,Bransi,1900,1,1,1900
Azzouz,Bey,1900,1,2,1875
Azzouz,Memmi,1900,1,1,1900
Azzouz,Zarrouk,1900,1,1,1900
Aïssaoui,Douagi,1900,1,1,1900
Babbou,Belkhodja,1900,1,1,1900
Babbou,Ghachem,1900,1,1,1900
Baccar,Jerbi,1900,1,1,1900
Baccouche,Temimi,1900,1,1,1900
Badssi,Bousnina,1900,1,1,1900
Badssi,Halouani,1900,1,1,1900
Badssi,Maaouia,1900,1,1,1900
Baffoun,Okbi,1900,1,1,1900
Bahri,Chammam,1900,1,1,1900
Bahroun,Mbarek,1900,1,1,1900
Bahroun,Meddeb,1900,1,1,1900
Bahroun,Mghirbi,1900,1,1,1900
Baili,Ennigrou,1900,1,1,1900
Baltagi,Guebila,1900,1,1,1900
Balti,Belochi,1900,1,2,1875
Baoueb,Gammoudi,1900,1,1,1900
Baoueb,Noomane,1900,1,1,1900
Baraket,Mooti,1900,1,1,1900
Bartakiz,Charfeddine,1900,1,1,1900
Basly,Chaabane,1900,1,1,1900
Basti,Ismail,1900,1,1,1900
Begum,Shah,1900,1,1,1900
Beji,Mabrouk,1900,1,1,1900
Belghith,Farza,1900,1,1,1900
Belhassen,Bennani,1900,1,1,1900
Belhassine,Sévre,1900,1,1,1900
Belhouane,Belkadhi,1900,1,1,1900
Belhouane,Sfar,1900,2,2,1900
Belino,Bey,1900,1,1,1900
Belkadhi,Bouhaouala,1900,1,1,1900
Belkadhi,Darghouth,1900,1,1,1900
Belkhiria,Hachicha,1900,1,1,1900
Belkhodja,Mamlouk,1900,1,2,1875
Bellagha,Guilbert,1900,1,1,1900
Bellagha,Leplang,1900,1,1,1900
Bellakanji,Mamlouk,1900,1,1,1900
Bellamine,Darghouth,1900,1,2,1875
Belochi,Hanifi,1900,1,1,1900
Belochi,Mahmoud,1900,1,1,1900
Benjabr,Sghaier,1900,2,2,1900
Bennani,Bouthour,1900,1,1,1900
Bennani,Gammoudi,1900,1,1,1900
Bennour,Tabbakh,1900,1,1,1900
Berrached,Zribi,1900,1,1,1900
Berraiess,Bey,1900,1,2,1875
Berrais,Gammoudi,1900,1,1,1900
Berrazaga,Maamouri,1900,1,1,1900
Berrim,Cherif,1900,1,1,1900
Besbes,Mzali,1900,1,1,1900
Bessaies,Takali,1900,2,2,1900
Bessaïes,Euch,1900,1,1,1900
Bessaïes,Medelgi,1900,1,1,1900
Besseoud,Hanachi,1900,1,1,1900
Bessrour,Hantous,1900,1,1,1900
Bey,Cherif,1900,3,3,1900
Bey,Darghouth,1900,2,2,1900
Bey,Ennaifer,1900,1,1,1900
Bey,Fellah,1900,1,1,1900
Bey,Gara,1900,2,6,1850
Bey,Ghariani,1900,1,1,1900
Bey,Hayder,1900,6,9,1875
Bey,Kahia,1900,4,5,1825
Bey,Lahbib,1900,1,1,1900
Bey,Mamlouk,1900,1,2,1800
Bey,Peypoch,1900,1,1,1900
Bey,Radhouane,1900,1,2,1875
Bey,Zakkaria,1900,1,3,1875
Bezdah,Lassoued,1900,1,1,1900
Blaiech,Kechrid,1900,1,1,1900
Bornaz,Chaabane,1900,1,1,1900
Bornaz,Larguèche,1900,1,1,1900
Bostangi,Chaabane,1900,1,1,1900
Bostangi,Saada,1900,1,1,1900
Bouassida,Zaafrani,1900,1,1,1900
Bouattour,Triki,1900,1,1,1900
Bouaziz,Cherif,1900,1,1,1900
Bouaziz,Zehani,1900,1,1,1900
Bouden,Malouche,1900,1,1,1900
Bouderbala,Gaigi,1900,1,1,1900
Boudjedra,Othman,1900,1,1,1900
Boufares,Karabi,1900,1,1,1900
Boufares,Memmi,1900,1,1,1900
Boufares,Triki,1900,1,1,1900
Bouhadra,Mahmoud,1900,1,2,1875
Bouhageb,Hamba,1900,1,1,1900
Bouhejba,Hachaichi,1900,1,1,1900
Bouhejba,Mahjoub,1900,1,1,1900
Bouhlila,Lassoued,1900,1,1,1900
Boujeh,Malouche,1900,1,1,1900
Boujellabia,Kaouech,1900,1,1,1900
Boukef,Jaafar,1900,1,1,1900
Boukef,Louzir,1900,1,1,1900
Bouker,Salem,1900,1,1,1900
Boukordegha,Darragi,1900,1,1,1900
Boulares,Chaabane,1900,1,1,1900
Bouraoui,Kechrid,1900,1,1,1900
Bourara,Yacoubi,1900,1,1,1900
Bouratbine,Maamouri,1900,1,1,1900
Bouricha,Siala,1900,1,1,1900
Boushaba,Toumi,1900,1,1,1900
Bousnina,Thabet,1900,1,1,1900
Boutiba,Chaouch,1900,2,2,1900
Boutiba,Farhat,1900,1,1,1900
Boutiba,Nagti,1900,1,1,1900
Boutiti,Mahmoud,1900,1,1,1900
Boutouria,Mrad,1900,1,1,1900
Bouzahra,Kaffel,1900,1,1,1900
Bouzid,Hantous,1900,1,1,1900
Bouziri,Mrad,1900,1,1,1900
Brahim,Chaabane,1900,1,1,1900
Bramli,Farza,1900,1,1,1900
Bransi,Ghariani,1900,1,1,1900
Bsiri,Essid,1900,1,1,1900
Bully,Messaadi,1900,1,1,1900
Béchiri,Karoui,1900,1,1,1900
Béhi,Omrane,1900,1,1,1900
Chaabane,Chedly,1900,1,1,1900
Chaabane,Halouani,1900,1,1,1900
Chaabane,Mami,1900,1,1,1900
Chaabane,Sonzoni,1900,1,1,1900
Chaari,Chtourou,1900,1,1,1900
Chaari,Hemriti,1900,3,3,1900
Chaari,Madani,1900,1,1,1900
Chaari,Mahjoub,1900,2,2,1900
Chaari,Miled,1900,1,1,1900
Chaari,Mrad,1900,1,1,1900
Chadou,Naccache,1900,1,1,1900
Chahtour,Mrad,1900,1,1,1900
Chaker,Slama,1900,1,1,1900
Chamakh,Kortobi,1900,1,1,1900
Chamakh,Masmoudi,1900,1,1,1900
Chamakh,Mustapha,1900,1,1,1900
Chamakh,Soua,1900,1,1,1900
Chamakh,Thameur,1900,1,1,1900
Chaouachi,Darghouth,1900,1,1,1900
Chaouachi,Gammoudi,1900,1,1,1900
Chaouachi,Kefi,1900,1,1,1900
Chaouch,Taleb,1900,1,1,1900
Charchour,Nabli,1900,1,1,1900
Chargui,Jaouada,1900,1,1,1900
Chargui,Mlouka,1900,1,1,1900
Charrad,Gueddiche,1900,1,1,1900
Chaâbane,Maamouri,1900,1,1,1900
Chedly,Hachaichi,1900,1,1,1900
Chedly,Lakhoua,1900,1,1,1900
Chedly,Mahmoud,1900,1,1,1900
Cheikh,Zouhir,1900,1,1,1900
Chelaifa,Sebaï,1900,1,1,1900
Chelaifa,Zardoumi,1900,2,2,1900
Chelbi,Gara,1900,1,1,1900
Chelbi,Khaznadar,1900,1,1,1900
Chelbi,Tnani,1900,1,1,1900
Chemakh,Zakour,1900,1,1,1900
Cherif,Ghalleb,1900,1,1,1900
Cherif,Halouani,1900,2,2,1900
Cherif,Lakhdar,1900,1,1,1900
Cherif,Mahrez,1900,1,1,1900
Cherif,Mongalgi,1900,1,1,1900
Cherif,Ouedherfi,1900,1,1,1900
Cherif,Riahi,1900,1,1,1900
Cherif,Saada,1900,1,1,1900
Cheriki,Hassaïri,1900,1,1,1900
Chichini,Hanachi,1900,1,1,1900
Chouk,Karoui,1900,1,1,1900
Choukair,Klibi,1900,1,1,1900
Chtioui,Ghattas,1900,1,1,1900
Chtioui,Halouani,1900,1,1,1900
Dabbebi,Slamia,1900,1,1,1900
Daghfous,Gastli,1900,1,1,1900
Dallegi,Romdhane,1900,1,1,1900
Daoud,Ettabaa,1900,1,1,1900
Daoulet,Daoulette,1900,1,1,1900
Darghouth,Dziri,1900,2,2,1900
Darghouth,Hentati,1900,1,1,1900
Darghouth,Khatteche,1900,1,1,1900
Darghouth,Sadfi,1900,1,1,1900
Darghouth,Thabet,1900,1,1,1900
Debbiche,Fourati,1900,1,1,1900
Delavacherie,Kebaili,1900,1,1,1900
Derouiche,Zmerli,1900,1,1,1900
Dhif,Kechrid,1900,1,1,1900
Dhraief,Romdhane,1900,1,1,1900
Dhrif,Mlouka,1900,1,1,1900
Dhrif,Trabelsi,1900,1,1,1900
Dimassi,Sebaï,1900,1,1,1900
Djait,Douagi,1900,1,1,1900
Djilani,Karoui,1900,1,1,1900
Douik,Temimi,1900,1,1,1900
Dziri,Sahli,1900,1,1,1900
Elloumi,Naji,1900,1,1,1900
Ennabli,Sabbagh,1900,1,1,1900
Ennaifer,Jaafar,1900,1,1,1900
Ennaifer,Kacem,1900,1,1,1900
Ennigrou,Karoui,1900,1,1,1900
