family,people,marriages,allies,endogamous
Harzallah,11,8,6,0
Halouani,10,8,7,0
Zouiten,86,7,6,0
Hammami,63,7,7,0
Hassine,52,7,7,0
Guellaty,48,7,7,0
Sebaï,40,7,7,0
Jaafoura,36,7,7,0
Bessaies,35,7,6,0
Tounsi,35,7,7,0
Sellami,33,7,7,0
Ennouri,32,7,7,0
Kilani,32,7,7,0
Hamila,28,7,7,0
Maaref,28,7,7,0
Thabet,28,7,6,0
Anane,27,7,7,2
Hanafi,26,7,5,0
Boukef,22,7,6,0
Saidane,22,7,7,0
Hassoumi,21,7,6,1
Fakher,20,7,7,0
Zehani,20,7,6,1
Debbiche,19,7,7,0
Kebaili,19,7,7,0
Khattech,19,7,7,0
Gammoudi,18,7,7,0
Daghfous,17,7,7,0
Sakli,17,7,7,4
Boubaker,16,7,7,0
Bousnina,16,7,6,0
Letaïef,16,7,7,0
Ghanem,15,7,7,0
Jerbi,15,7,7,0
Jennat,12,7,7,0
Mokdad,12,7,7,0
Amer,11,7,5,0
Soua,10,7,7,1
Yamak,10,7,7,0
Messaadi,9,7,6,0
Redissi,8,7,5,0
Mzali,199,6,6,1
Djait,109,6,5,0
Dellagi,95,6,6,0
Mbazaa,76,6,6,0
Benzarti,74,6,6,0
Beji,65,6,5,0
Zouaoui,62,6,5,0
Essaidi,49,6,5,0
Bostangi,47,6,6,0
Mourali,47,6,6,0
Besbes,39,6,6,0
Oueslati,39,6,6,0
Kefi,37,6,6,0
Zaied,37,6,6,0
Jemail,34,6,5,0
Haouet,32,6,6,0
Masmoudi,32,6,6,1
Boutiba,31,6,5,0
Omrane,31,6,6,1
Baccar,29,6,6,0
Chaker,29,6,5,0
Bouderbala,26,6,5,0
Kastalli,25,6,6,0
Sghaier,24,6,5,0
Azzabi,23,6,6,0
Laouiti,23,6,4,0
Sadfi,23,6,6,0
Jed,20,6,6,2
Kourda,19,6,4,0
Bouassida,18,6,6,0
Anoun,17,6,6,0
Hamouda,17,6,5,0
Saiji,17,6,5,0
Zbidi,16,6,5,0
Ayachi,15,6,6,0
Fehri,14,6,5,0
Kolsi,14,6,6,0
Bouguerra,13,6,6,1
Kaabachi,12,6,6,0
Kammoun,12,6,6,0
Logani,12,6,6,0
Khrouf,11,6,6,0
Balti,10,6,5,0
Bouhafa,8,6,6,0
Mâatouk,8,6,6,0
Chahmi,7,6,6,0
Dhrif,7,6,6,0
Frini,6,6,6,0
Hadid,6,6,6,0
Belhassen,69,5,5,0
Khaled,59,5,5,0
Agha,58,5,5,0
Slim,54,5,5,0
Hassen,53,5,5,0
Landolsi,40,5,5,0
Kabani,32,5,5,0
Abdelli,31,5,4,0
Accacha,30,5,5,0
Belkhiria,29,5,5,1
Bouattour,28,5,5,2
Douagi,28,5,5,0
Khiari,28,5,5,0
Babbou,27,5,5,0
Berrim,27,5,3,1
Chebbi,27,5,5,0
Lakhdhar,27,5,5,0
Malki,25,5,5,1
Soudani,24,5,5,0
Dhifallah,23,5,5,0
Chelli,22,5,5,0
Hassairi,22,5,5,0
Guizani,21,5,5,0
Bornaz,20,5,4,0
Hmida,20,5,3,0
Fadhel,19,5,5,0
Kooli,19,5,4,0
Mechim,19,5,5,0
Mehdaoui,19,5,5,0
Mzoughi,19,5,4,0
Zenaidi,19,5,5,0
Chatti,16,5,5,0
Ghaliounji,16,5,5,0
Hamda,16,5,5,0
Gribaa,15,5,5,0
Essaddam,14,5,5,0
Fendri,14,5,5,0
Lazrak,14,5,4,0
Mlayah,14,5,5,0
Souissi,13,5,5,0
Kassaagi,12,5,5,0
Sanhaji,12,5,5,0
Guellouz,11,5,4,0
Jemiaa,11,5,5,0
Refai,11,5,5,1
Brahem,10,5,5,0
Bransi,10,5,5,0
Chahtour,10,5,3,0
Jamel,10,5,5,0
Khayati,10,5,4,0
Chaâbane,9,5,5,0
Ghali,9,5,5,0
Guerbâa,8,5,5,0
Jebali,8,5,5,0
Labbane,8,5,5,0
Talbi,8,5,5,0
Arfaoui,7,5,5,0
Jelassi,7,5,5,0
Jerad,5,5,5,0
Sarsar,5,5,4,0
Jouini,97,4,4,0
Boussen,95,4,4,0
Haffani,79,4,4,0
Bourguiba,78,4,4,0
Nouira,78,4,4,0
Mokrani,66,4,4,0
Ouahchi,61,4,3,0
Laroussi,59,4,4,0
Labidi,55,4,4,0
Douik,45,4,4,0
Houissa,40,4,4,2
Mellouli,37,4,4,0
Medelgi,36,4,4,1
Bouhaouala,35,4,4,0
Okbi,33,4,4,0
Boukhris,32,4,4,0
Bouhachem,30,4,4,0
Naccache,29,4,4,0
Hicheri,28,4,3,0
Khatteche,28,4,4,0
Abbassi,27,4,4,1
Balma,27,4,4,0
M'barek,27,4,4,0
Khodja,26,4,2,0
Cheriki,25,4,4,0
Chérif,24,4,4,0
Kouki,24,4,4,0
Mehiri,24,4,4,0
Ouakdi,24,4,4,0
Arfa,22,4,4,0
Sidoumou,21,4,4,0
Naouar,20,4,4,0
Rais,20,4,4,0
Smida,20,4,4,0
Tanfous,20,4,4,0
Hadjouj,19,4,4,0
Manai,19,4,4,0
Charfi,17,4,4,0
Nouri,17,4,4,0
Ferjani,16,4,4,0
Yahmed,16,4,4,0
Abdelwahab,15,4,4,0
Abdennabi,14,4,4,1
Azizi,14,4,4,0
Aïssa,14,4,4,0
Boukordegha,14,4,4,0
Rachid,14,4,4,0
Charfeddine,13,4,4,0
Fakhfakh,13,4,3,0
Laatar,13,4,4,0
Asses,12,4,4,0
Bahram,12,4,4,0
Bouhadra,12,4,2,1
Gmach,12,4,3,0
Khil,12,4,4,0
Malek,12,4,4,0
Allal,11,4,4,0
Bessaidi,11,4,4,0
Bessrour,11,4,4,0
Drissi,11,4,4,0
Essoussi,11,4,4,0
Hlioui,11,4,4,0
Slimen,11,4,3,0
Ateb,10,4,4,0
Charrad,10,4,3,0
Chouchene,10,4,4,0
Helali,10,4,4,0
Lahmer,10,4,4,0
Mechri,10,4,4,0
Naceur,10,4,4,0
Rekik,10,4,4,0
Ameur,8,4,4,0
Makni,8,4,3,0
Manjour,8,4,4,0
Naanaa,8,4,4,0
Shili,8,4,4,0
Smati,8,4,4,0
Trad,8,4,3,0
Hanayen,7,4,4,0
Hchim,7,4,3,0
Hendaoui,7,4,4,0
Khalfet,7,4,3,0
Langar,7,4,3,0
Medimagh,7,4,4,0
Rachdi,7,4,4,0
Younes,7,4,3,0
Zaghouani,7,4,4,0
Bouzayen,6,4,4,0
Charchour,6,4,4,0
Khachlouf,6,4,3,0
Majdoub,6,4,3,0
Messaoud,6,4,4,0
Zakraoui,6,4,4,0
Badssi,5,4,4,0
Ennabli,5,4,4,0
Fersi,5,4,4,0
Hechmi,5,4,3,0
Miladi,5,4,4,0
Boukardougha,4,4,3,0
Frikha,4,4,4,0
Gannouni,4,4,4,0
Garnaoui,4,4,4,0
Kobrosli,4,4,4,0
Marouki,4,4,4,0
Mohamed,4,4,4,0
Djellouli,139,3,3,0
Mohsen,78,3,3,0
Abbes,56,3,3,0
Bouzgarrou,55,3,3,0
Bhouri,50,3,3,0
Zaïed,50,3,3,0
Cheraki,49,3,3,0
Bessaïes,47,3,3,2
Messaoudi,44,3,3,0
Djaït,42,3,3,0
Tabbane,42,3,3,0
Chaar,35,3,3,0
Madani,35,3,3,0
Mnakbi,31,3,3,0
Bokri,30,3,3,0
Guiza,30,3,3,0
Raffo,30,3,3,0
Saidi,30,3,3,0
Lahmandi,29,3,3,0
Gana,25,3,3,0
Ellouze,24,3,3,0
Takali,24,3,2,0
Ghedira,23,3,3,0
Bouaziz,22,3,3,0
Boutouria,22,3,3,0
Béchiri,22,3,3,0
Chakroun,22,3,3,0
Jedidi,22,3,3,0
Bouchnak,21,3,3,0
Bramli,21,3,3,0
Saïed,21,3,3,0
Radhouane,20,3,2,0
Bouchoucha,19,3,3,0
Mzah,18,3,3,0
Ounis,18,3,3,0
Rebai,17,3,3,0
Bezdah,16,3,3,0
Said,16,3,2,0
Abbou,15,3,3,0
Aoun,15,3,3,0
Battikh,15,3,3,0
Cadhi,15,3,3,0
Laribi,15,3,3,0
Abderrazak,14,3,3,0
Allani,14,3,3,0
Smaoui,14,3,3,0
Ferchiou,13,3,2,0
Jouhri,13,3,3,0
Saccoman,13,3,3,0
Tabka,13,3,2,0
Asmi,12,3,3,0
Bartakiz,12,3,3,0
Dakhlaoui,12,3,3,0
Khalfallah,12,3,3,0
Khlass,12,3,3,0
Allagui,11,3,3,0
Chammam,11,3,3,0
Jamoussi,11,3,3,0
Sallem,11,3,3,0
Baltagi,10,3,3,0
Basti,10,3,2,0
Dhif,10,3,3,0
Fahoum,10,3,3,0
Fennira,10,3,3,1
Tarrouche,10,3,3,0
Bouziri,9,3,3,0
Hadriche,9,3,3,0
Jeribi,9,3,3,0
Koubaji,9,3,3,0
Marzouki,9,3,3,0
Zribi,9,3,3,0
Ariguib,8,3,2,0
Daly,8,3,3,0
Kebir,8,3,2,2
Khoufi,8,3,3,0
Mezhoud,8,3,3,0
Soltane,8,3,3,0
Tahenti,8,3,3,0
Habiba,7,3,3,0
Khomsi,7,3,3,0
Louati,7,3,3,0
Nakaa,7,3,3,0
Tekaya,7,3,3,0
Tirari,7,3,3,0
Trimèche,7,3,3,0
Zarraa,7,3,2,0
Azaiez,6,3,3,0
Badr,6,3,3,0
Baffoun,6,3,3,1
Bergaoui,6,3,3,0
Bizid,6,3,3,0
Chekir,6,3,3,0
Guezmir,6,3,3,0
Hamdia,6,3,3,0
Hamrouni,6,3,3,0
Hedda,6,3,2,0
Kaouech,6,3,3,0
Nabli,6,3,3,0
Samandi,6,3,3,0
Tahri,6,3,3,0
Tortorici,6,3,3,0
Belkahia,5,3,3,0
Berrachid,5,3,3,0
Bourara,5,3,3,0
Fazaa,5,3,3,0
Houas,5,3,3,0
Mahdi,5,3,3,0
Miaoui,5,3,3,0
Sidommou,5,3,3,0
Slimani,5,3,3,0
Zerzeri,5,3,3,0
Aloui,4,3,3,0
Ayeb,4,3,3,0
Bennaceur,4,3,3,0
Bouden,4,3,3,0
Boutiti,4,3,3,0
Euchi,4,3,3,0
Fellah,4,3,3,0
Ferchichi,4,3,3,0
Harrouch,4,3,3,0
Lejri,4,3,3,0
Lioui,4,3,3,0
Mahrez,4,3,3,0
Mascaro,4,3,3,0
Zouabi,4,3,2,0
Ach,3,3,3,0
Bouhlila,3,3,3,0
Bouzakoura,3,3,3,0
Chabchoub,3,3,3,0
Chargui,3,3,3,0
Fors,3,3,3,0
Hammouda,3,3,3,0
Khessaïri,3,3,2,0
Laamari,3,3,3,0
Néji,3,3,3,0
Soula,3,3,3,0
Challouf,2,3,3,0
Khefacha,50,2,2,0
Mekki,50,2,2,0
Skandrani,46,2,2,0
M'timet,43,2,2,0
Zahar,38,2,2,0
Gamra,36,2,2,0
Bejaoui,33,2,2,0
Halfaoui,33,2,2,0
Mnara,33,2,2,0
Bouzid,31,2,2,0
Damergi,28,2,2,0
Hayouni,27,2,2,1
Kalai,27,2,2,0
Skander,26,2,2,0
Jied,25,2,2,0
Thameur,25,2,2,0
Chennoufi,24,2,2,0
Baly,23,2,2,0
Sanchou,22,2,2,0
Hamdi,21,2,2,0
Kalfat,21,2,1,0
Rustum,20,2,2,0
Tamzali,19,2,2,0
Mazigh,18,2,2,0
Nafti,18,2,2,0
Baklouti,17,2,2,0
Amri,16,2,2,0
Bekir,16,2,2,0
Kharrat,16,2,2,0
Ksontini,16,2,2,0
Tritar,16,2,2,0
Zorgati,16,2,2,0
Belhaj,15,2,2,0
Chaabini,15,2,2,0
Guissi,15,2,2,0
Kaffel,15,2,2,0
Zardoumi,15,2,1,0
Herelli,14,2,2,0
Chouaieb,13,2,2,0
Ghazzai,13,2,2,0
Rezgui,13,2,2,0
Abdessatar,12,2,2,0
Aloulou,12,2,2,0
Bouzguenda,12,2,2,0
Hjaiej,12,2,2,0
Khalifa,12,2,2,0
Mhirsi,12,2,2,0
Ouali,12,2,2,0
Zitoun,12,2,2,0
Boussabah,11,2,2,3
Dahmani,11,2,2,0
Ghafari,11,2,2,0
Msaed,11,2,2,0
Noomen,11,2,2,0
Sfaxi,11,2,2,0
Zaher,11,2,2,1
Kchir,10,2,2,0
Khayat,10,2,2,0
Sayadi,10,2,2,0
Zahouani,10,2,2,0
Abdelghani,9,2,2,0
Bellakanji,9,2,2,0
Béhi,9,2,2,0
Chouaiech,9,2,2,0
Drira,9,2,2,0
Marzoug,9,2,1,0
Meziou,9,2,2,1
Babay,8,2,2,0
Basly,8,2,2,0
Blouza,8,2,2,0
Bouker,8,2,2,0
Charni,8,2,2,0
Ghozzi,8,2,2,0
Hammi,8,2,2,0
Jmal,8,2,2,0
Kasbi,8,2,2,0
Labassi,8,2,2,0
Larnaout,8,2,2,0
Saffar,8,2,2,0
Srarfi,8,2,2,0
Barbirou,7,2,2,0
Bettaieb,7,2,2,0
Boufeden,7,2,2,1
Boughedir,7,2,2,0
Braham,7,2,2,0
Chebaane,7,2,2,0
Dhaou,7,2,2,0
Dhaoui,7,2,2,0
Essaïes,7,2,2,0
Frija,7,2,2,0
Hannachi,7,2,2,0
Khenissi,7,2,2,0
Lakhdar,7,2,2,0
Mahbouli,7,2,2,0
Mghazli,7,2,2,0
Mhenni,7,2,2,0
Mouelhi,7,2,2,0
Naffati,7,2,2,0
Nejma,7,2,2,0
Saighi,7,2,1,0
Sanaa,7,2,2,0
Sayah,7,2,2,0
Seklani,7,2,2,0
Sohlobji,7,2,2,0
Zanned,7,2,2,0
Zekri,7,2,2,0
Bouaouina,6,2,2,0
Boulaaba,6,2,2,0
Bouneb,6,2,2,0
Bouratbine,6,2,2,0
Bouzouaya,6,2,2,0
Fourti,6,2,2,0
Gaeta,6,2,2,0
Gouider,6,2,2,0
Haouari,6,2,2,0
Kerkeni,6,2,2,0
Khan,6,2,2,2
Kolli,6,2,2,0
Kort,6,2,2,0
Kortobi,6,2,2,0
Kouroghli,6,2,2,0
Kridan,6,2,2,0
M'Rad,6,2,2,0
Malamelli,6,2,2,1
Mebazaa,6,2,2,0
Salhi,6,2,2,0
Sunni,6,2,2,0
Vignale,6,2,2,0
Aidoudi,5,2,2,0
Bader,5,2,2,0
Benjabr,5,2,1,0
Boushaba,5,2,2,0
Chabbouh,5,2,2,0
Dali,5,2,2,0
Gafsi,5,2,2,0
Ghalleb,5,2,2,0
Halim,5,2,2,0
Jeljeli,5,2,2,0
Karrech,5,2,2,0
Kemiha,5,2,2,0
Krid,5,2,2,0
Mehri,5,2,2,0
Messaoudia,5,2,2,0
Mezni,5,2,2,0
Nila,5,2,2,0
Ressaissi,5,2,2,0
Arous,4,2,2,0
Belghith,4,2,2,0
Boulahya,4,2,2,0
Boutara,4,2,2,0
Chouk,4,2,2,0
Dougaz,4,2,2,0
Ellili,4,2,2,0
Fatima,4,2,1,0
Gaied,4,2,2,0
Ghodhbane,4,2,2,0
Jeguirim,4,2,2,0
Kaaniche,4,2,2,0
Kateb,4,2,2,0
Korbi,4,2,2,0
Krarti,4,2,2,0
Ksibi,4,2,2,0
Longo,4,2,2,0
Maamer,4,2,1,0
Naouali,4,2,2,0
Nefzi,4,2,2,0
Ouenzerfi,4,2,2,0
Rammah,4,2,2,0
Touil,4,2,2,0
Triaa,4,2,2,0
Zneiguia,4,2,2,0
Abda,3,2,2,0
Berraiess,3,2,1,0
Binous,3,2,2,0
Boudjedra,3,2,2,0
Boulares,3,2,2,0
Brini,3,2,2,0
Fedhila,3,2,1,0
Fitouri,3,2,2,0
Gahbiche,3,2,2,0
Garbouj,3,2,2,0
Gueddas,3,2,2,0
Hosni,3,2,2,0
Ketata,3,2,2,0
Khira,3,2,2,0
Krichen,3,2,2,0
Krichene,3,2,2,0
Lajimi,3,2,1,0
Menzeli,3,2,2,0
Mghaieth,3,2,2,0
Méliani,3,2,2,0
Nacef,3,2,2,0
Ouertatani,3,2,2,0
Saadaoui,3,2,2,0
Samet,3,2,2,0
Yacoubi,3,2,2,0
Zeghab,3,2,2,0
Allouache,2,2,2,0
Bouaissi,2,2,1,0
Bouderba,2,2,2,0
Boujbel,2,2,2,0
Bouzouita,2,2,2,0
Bouzrara,2,2,2,0
Bsiri,2,2,2,0
Daoudi,2,2,2,0
Daoulette,2,2,2,0
Derbal,2,2,2,0
Fegaier,2,2,2,0
Gmiha,2,2,2,0
Grami,2,2,2,0
Guerfal,2,2,2,0
Guetat,2,2,2,0
Hajem,2,2,2,0
Hajjami,2,2,2,0
Hamdoun,2,2,2,0
Haouech,2,2,2,0
Hassaïri,2,2,2,0
Hedhli,2,2,2,0
Hellal,2,2,2,0
Karray,2,2,2,0
Khanfir,2,2,2,0
Kmiha,2,2,2,0
Lajnef,2,2,2,0
Landjerit,2,2,2,0
Laouirine,2,2,2,0
Layouni,2,2,2,0
Lengliz,2,2,2,0
Maaroufi,2,2,2,0
Maria,2,2,1,0
Marie,2,2,2,0
Mechti,2,2,2,0
Mooti,2,2,2,0
Naas,2,2,1,0
Noomane,2,2,2,0
Samoud,2,2,2,0
Sancho,2,2,2,0
Saïda,2,2,2,0
Tabbakh,2,2,2,0
Tarhouni,2,2,2,0
Touhami,2,2,2,0
Zakiz,2,2,2,0
Zammit,2,2,2,0
Zaouak,2,2,2,0
Zlitni,2,2,2,0
Sefi,1,2,2,0
Essaied,100,1,1,0
Zaouche,80,1,1,0
Tej,71,1,1,0
Chenik,51,1,1,0
Halima,50,1,1,0
Abdelkader,47,1,1,0
Laouani,40,1,1,0
ناجي,35,1,1,0
Kaak,33,1,1,0
Boussoffara,32,1,1,0
Abdelaali,31,1,1,0
Stamrad,30,1,1,0
Bayar,23,1,1,1
Ghileb,22,1,1,0
Arab,21,1,1,0
Ouni,21,1,1,0
Dallegi,20,1,1,0
Mokhtar,20,1,1,0
Saïd,20,1,1,0
Settari,20,1,1,0
Chouikha,19,1,1,0
Tarzi,19,1,1,0
Amira,18,1,1,0
Frih,18,1,1,0
Mamoghli,18,1,1,0
Zrelli,18,1,1,0
Allouche,17,1,1,0
Bayoudh,17,1,1,0
Boukraa,16,1,1,0
Dannouni,16,1,1,0
Gherab,16,1,1,0
Maherzi,16,1,1,0
Chaabouni,15,1,1,0
Dey,15,1,1,0
Matri,15,1,1,0
Sfaihi,15,1,1,0
Skhiri,15,1,1,0
Azzaiez,14,1,1,0
Jaiet,14,1,1,0
Labbene,14,1,1,0
Mahouachi,14,1,1,0
Nakhli,14,1,1,0
Amraoui,13,1,1,0
Marrakchi,13,1,1,0
Mejri,13,1,1,0
Moalla,13,1,1,0
Nachi,13,1,1,0
Souayah,13,1,1,0
Tobji,13,1,1,0
Chateur,12,1,1,0
Greche,12,1,1,0
Idir,12,1,1,0
Khadhar,12,1,1,0
M'rad,12,1,1,0
Mzabi,12,1,1,0
Zaouia,12,1,1,0
Asfouri,11,1,1,0
Djehane,11,1,1,0
Miceli,11,1,1,0
Benna,10,1,1,0
Cheikhrouhou,10,1,1,0
Daaloul,10,1,1,0
Fraj,10,1,1,0
Hamoudia,10,1,1,0
Jaïbi,10,1,1,0
Kalaï,10,1,1,0
Mazouni,10,1,1,0
Medalji,10,1,1,0
Najjar,10,1,1,0
Nouisri,10,1,1,0
Rokbani,10,1,1,0
Snène,10,1,1,0
Ahres,9,1,1,0
Bouaoija,9,1,1,0
Bouhageb,9,1,1,0
Friaa,9,1,1,0
Gobrane,9,1,1,0
Hmani,9,1,1,0
Jemia,9,1,1,0
Kadın,9,1,1,0
Kraiem,9,1,1,0
Taktak,9,1,1,0
Tlili,9,1,1,0
Benzina,8,1,1,0
Boulakbeche,8,1,1,0
Chabbeh,8,1,1,0
Chamekh,8,1,1,0
Darragi,8,1,1,0
Essadem,8,1,1,0
Ghliss,8,1,1,0
Ghrib,8,1,1,0
Jarraya,8,1,1,0
Kazdaghli,8,1,1,0
Khamassi,8,1,1,0
Ladhari,8,1,1,0
Lamroussi,8,1,1,0
Majouli,8,1,1,0
Meliani,8,1,1,0
Mihoub,8,1,1,0
Mizrioui,8,1,1,0
Saleh,8,1,1,0
Sebai,8,1,1,0
Zaouali,8,1,1,0
Ajam,7,1,1,0
Atrous,7,1,1,0
Chaibi,7,1,1,0
Choukair,7,1,1,0
Ghaoui,7,1,1,0
Haddad-Parfait,7,1,1,0
Hizem,7,1,1,0
Karra,7,1,1,0
Lagha,7,1,1,0
Marzouk,7,1,1,0
Mesrati,7,1,1,0
