page_uid,pdf_page,folio,image_sha256,text_sha256,n_chars,arabic_char_frac,ocr_engine,ocr_version,ocr_config,status,needs_review
aalam:p053,53,51,f6930eba64918161b48892df4f432a2ca7c9de54504504374613a8633d0747f3,04557e78bb45aafc0bb43d7784d080a6b1737b4757bd88ce03f27a9f0c974dd0,1373,0.9754,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p054,54,52,701621985ceed2ddce013864a855856725317657592a4863fd2ffa0a1d38e6d7,4227a54eb7aee967314e877e730120695efa49b4bb83782f8f0a1c2007481c47,1519,0.9632,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p055,55,53,089218c18ff29becdbcd90abb1583c588e7849444001925c18e6dbc4291886ef,6f318411cc0157ef7526af9524a3f577b816e58023d94a17c94b85557c7a0019,1419,0.981,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p056,56,54,3ba3a5940a999d84450cbfa65f5d9ac470a9ab708766cdb532d748073a899d69,3befae71dfbc417cc1ddeeda81457ad0d458c8cf64e48dc1f02cc72d49d11e4e,1338,0.982,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p057,57,55,2a26f85f7920fd5ff4f4e7e51c0725c6b3f26a3804065abcb09b2c80c3c6a86f,839f09c68e18fde3e19b4ea991c57be3fbb585e27cd4eea3dcfdf8a102aea4ed,1046,0.9603,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p058,58,56,3e86e3b6edfbfbe5bfacf4d59c7ad3f15c2b482e1808140bc854b1ea8aebb9f2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0.0,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,empty,yes
aalam:p059,59,57,6af8fedc81804ea391d61abb9e1223693c43ce0f1d270a2e365a10d1ac3eaf7a,21de29f157164e563905ee81eb72e0ee9d357aa36c35a1a07e6c74c16facdc82,887,0.9053,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p060,60,58,df4b3c14214e660aabe4bd489e633acaa6e0d2dfc659ae1e3677b5bda90db8f7,ac801c8a8dbc8f2d39929c8ef0c58ef5e968a8992667c9ab931be2b6d674d00c,1524,0.9761,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p061,61,59,e274461be811a8deea62e5e0956af087830be10bb05366e304fcdb4d95fb96b7,a8df5fcaeae8be1c833daf4eff49d85f50c93b7369fda02470c1326512a07fcb,1581,0.9825,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p062,62,60,fa396a03743ee856daca7e1e2763a691f785e0a0fdad3b15b22b025253657c24,a57d7a92724484ed872021b27a0167653ae328ab7cae72c0706a3a7f981574b8,1494,0.978,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p063,63,61,50fe95c77acd73961acec012de0bbd7c8900d5fbd7c968a1a2e2b20fa7d863a4,f39721f20ba8eb70236e5de074079315463e6f3a84ec66bb12c7cb6a51096490,904,0.9812,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p064,64,62,3e86e3b6edfbfbe5bfacf4d59c7ad3f15c2b482e1808140bc854b1ea8aebb9f2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0.0,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,empty,yes
aalam:p065,65,63,8ac31c40ff317801f575d8ff97e7af9e928e9a0c448d82414d811be8b1082558,2bf59b031c43598a75c253fe8d1e1ae5ea6c01efa88a3cd4acddf164217da2e8,888,0.926,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p066,66,64,67117239cd710258f3f86b0e1c9d0843309216a97b249040dcc4070798219ded,c76ac8b879b891d9a7db6c1b889ff816fb3ba84e518d371ea96dc7f73c21e479,1477,0.9738,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p067,67,65,c5f281a8b69cd8824d9bca628b1b753d72a04e0a990ab8c30b2640f0afaa75b4,aa265e45a91e5ea31e0b7e584036afd3846f82d957cb0003fcf2b28fbf30e128,1551,0.9797,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p068,68,66,ff153192a6a728fa3cb7e15921fed7593dedf529b3f0a285ff93d110bc9e5ca3,de1e15b3eae0dbb4a836456e46cc43fb9337b639fd1657ccd3a7dfe63a8e8678,1455,0.9807,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p069,69,67,56e4cd75604fccabbf7b88eef3925326fa16a5836a21803f35d4f4faee1b5ebc,e2604781b1a5d912dc26b8c4168181819c58591ee760509ce4d8d3d847dd3955,1466,0.9656,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p070,70,68,86a527ed7f0ab00bcb25ba6cbb9d26f15fb2a8da40890925615e2165b9a97611,0281992756f0e2c1f769cf1e9c8fffc458c99bfb17890cc492611d3d36fe4e22,1446,0.9749,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p071,71,69,caed8210eb06049e21968aec3343e8428cfd2c77adda6bef584649ade4a9ad73,7f1e9b98a59d3763d0ec493e64ee1f5789e592a1b84bc7d46866dc8fa55a0f6a,1432,0.9795,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p072,72,70,a5d88bd3c82c505791ece3c0226b0394ec0932bc83e56053161c61dc59b70f3c,11baa9e14a3d2e1e57e4d61456b4bce1436483295ee391723031521cce8515bd,1387,0.9665,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
