rank,node_id,label,node_class,draw_class,betweenness,coreness,x,y
42,PERSON_BOURICHA_KHALED,KHALED BOURICHA,individual,person,4162938.7,5,0.3974,-0.2221
43,PARTY_MOUVEMENT_ENNAHDHA,MOUVEMENT ENNAHDHA,party / parliamentary bloc,state,4149294.1,4,0.7944,-0.1361
44,GOV_CHAHED_GOVERNMENT,CHAHED GOVERNMENT,state body,state,4128482.0,4,0.3591,0.2421
45,CO_BANQUE_TUNISO_KOWEITIENNE,BANQUE TUNISO KOWEITIENNE BTK,company,private,4064847.2,4,-0.0740,0.0171
46,PERSON_MAHJOUB_MOHAMED,MOHAMED MAHJOUB,individual,person,4055713.2,4,0.6077,-0.2723
47,PARTYSTR_ENNAHDAS_SHURA_COUNCIL,ENNAHDAS SHURA COUNCIL,party / parliamentary bloc,state,4013702.9,4,0.7001,0.0965
48,CO_STEG_ENERGIES_RENOUVELABLES_STEG,STEG ENERGIES RENOUVELABLES STEG ER,company,private,3896763.8,4,-0.0623,-0.4592
49,ORG_TUNISIAN_AUTOMOTIVE_ASSOCIATION,TUNISIAN AUTOMOTIVE ASSOCIATION,association / union,private,3878089.2,4,0.3258,-0.7679
50,CO_HANNIBAL_LEASE,HANNIBAL LEASE,company,private,3800910.4,4,0.1371,0.5069
51,PERSON_ABDELKEFI_FADHEL,FADHEL ABDELKEFI,individual,person,3772907.1,5,0.3884,0.0064
52,CO_TUNINVEST_SICAR,TUNINVEST SICAR,company,private,3753838.1,5,0.3847,-0.4740
53,CO_TAWASOL_GROUP_HOLDING,TAWASOL GROUP HOLDING TGH,company,private,3689208.3,4,0.1636,-0.0638
54,PERSON_BENAYED_ABDESALEM,ABDESSALEM BEN-AYED,individual,person,3618070.1,4,-0.1837,-0.4783
55,PERSON_RIAHI_MOHAMED,MOHAMED RIAHI,individual,person,3574454.4,5,-0.2091,-0.3667
56,CO_CARTHAGE_CEMENT,CARTHAGE CEMENT,company,private,3542403.8,4,0.0901,-0.1276
57,CO_TUNISIENNE_ACTIVITES_PETROLIERES_ETAP,ENTREPRISE TUNISIENNE DES ACTIVITES PETROLIERES ETAP,company,private,3501909.1,5,-0.1734,-0.1473
58,ORGE_0389a7f4dfdae8a6cf88,Objectifs,company,private,3399119.2,3,0.7436,-0.0573
59,CO_NUTRIMIX,NUTRIMIX,company,private,3392147.9,5,0.3653,-0.1430
60,CO_BANQUE_TUNISIE,BANQUE DE TUNISIE BT,company,private,3376256.3,5,0.4215,-0.0425
